Date,Vanguard Long-Term Corporate Bond_Open_average,Vanguard Long-Term Corporate Bond_Open_max,Vanguard Long-Term Corporate Bond_Open_volatility,Vanguard Long-Term Corporate Bond_Open_change,Vanguard Long-Term Corporate Bond_High_average,Vanguard Long-Term Corporate Bond_High_max,Vanguard Long-Term Corporate Bond_High_volatility,Vanguard Long-Term Corporate Bond_High_change,Vanguard Long-Term Corporate Bond_Low_average,Vanguard Long-Term Corporate Bond_Low_max,Vanguard Long-Term Corporate Bond_Low_volatility,Vanguard Long-Term Corporate Bond_Low_change,Vanguard Long-Term Corporate Bond_Close_average,Vanguard Long-Term Corporate Bond_Close_max,Vanguard Long-Term Corporate Bond_Close_volatility,Vanguard Long-Term Corporate Bond_Close_change
2017-09-10,93.83,93.83,0.0,0.0,93.83,93.83,0.0,0.0,93.46,93.46,0.0,0.0,93.68,93.68,0.0,0.0
2017-09-17,94.21,94.21,0.0,0.0,94.58,94.58,0.0,0.0,94.1,94.1,0.0,0.0,94.51,94.51,0.0,0.0
2017-09-24,94.13,94.13,0.0,0.0,94.14,94.14,0.0,0.0,93.84,93.84,0.0,0.0,93.93,93.93,0.0,0.0
2017-10-01,93.81,93.81,0.0,0.0,93.98,93.98,0.0,0.0,93.78,93.78,0.0,0.0,93.98,93.98,0.0,0.0
2017-10-08,94.65,94.65,0.0,0.0,94.7,94.7,0.0,0.0,94.42,94.42,0.0,0.0,94.5,94.5,0.0,0.0
2017-10-15,94.12,94.12,0.0,0.0,94.3,94.3,0.0,0.0,94.02,94.02,0.0,0.0,94.11,94.11,0.0,0.0
2017-10-22,94.4,94.4,0.0,0.0,94.54,94.54,0.0,0.0,94.16,94.16,0.0,0.0,94.54,94.54,0.0,0.0
2017-10-29,94.75,94.75,0.0,0.0,94.87,94.87,0.0,0.0,94.59,94.59,0.0,0.0,94.75,94.75,0.0,0.0
2017-11-05,93.69,93.69,0.0,0.0,93.69,93.69,0.0,0.0,93.31,93.31,0.0,0.0,93.43,93.43,0.0,0.0
2017-11-12,94.16,94.16,0.0,0.0,94.3,94.3,0.0,0.0,94.0,94.0,0.0,0.0,94.26,94.26,0.0,0.0
2017-11-19,95.04,95.04,0.0,0.0,95.34,95.34,0.0,0.0,94.8,94.8,0.0,0.0,95.13,95.13,0.0,0.0
2017-11-26,94.66,94.66,0.0,0.0,95.01,95.01,0.0,0.0,94.56,94.56,0.0,0.0,94.87,94.87,0.0,0.0
2017-12-03,95.31,95.31,0.0,0.0,95.54,95.54,0.0,0.0,95.11,95.11,0.0,0.0,95.17,95.17,0.0,0.0
2017-12-10,96.33,96.33,0.0,0.0,96.33,96.33,0.0,0.0,95.74,95.74,0.0,0.0,95.85,95.85,0.0,0.0
2017-12-17,95.08,95.08,0.0,0.0,95.17,95.17,0.0,0.0,94.91,94.91,0.0,0.0,94.94,94.94,0.0,0.0
2017-12-24,95.67,95.67,0.0,0.0,95.86,95.86,0.0,0.0,95.55,95.55,0.0,0.0,95.75,95.75,0.0,0.0
2017-12-31,95.4,95.4,0.0,0.0,95.4,95.4,0.0,0.0,94.98,94.98,0.0,0.0,95.14,95.14,0.0,0.0
2018-01-07,94.92,94.92,0.0,0.0,95.52,95.52,0.0,0.0,94.77,94.77,0.0,0.0,95.46,95.46,0.0,0.0
2018-01-14,94.39,94.39,0.0,0.0,94.48,94.48,0.0,0.0,94.11,94.11,0.0,0.0,94.18,94.18,0.0,0.0
2018-01-21,94.75,94.75,0.0,0.0,94.84,94.84,0.0,0.0,94.3,94.3,0.0,0.0,94.63,94.63,0.0,0.0
2018-01-28,92.37,92.37,0.0,0.0,93.26,93.26,0.0,0.0,91.91,91.91,0.0,0.0,92.5,92.5,0.0,0.0
2018-02-04,90.75,90.75,0.0,0.0,91.44,91.44,0.0,0.0,90.75,90.75,0.0,0.0,90.79,90.79,0.0,0.0
2018-02-11,91.18,91.18,0.0,0.0,91.36,91.36,0.0,0.0,91.01,91.01,0.0,0.0,91.25,91.25,0.0,0.0
2018-02-18,91.41,91.41,0.0,0.0,91.41,91.41,0.0,0.0,90.84,90.84,0.0,0.0,90.96,90.96,0.0,0.0
2018-02-25,90.19,90.19,0.0,0.0,90.25,90.25,0.0,0.0,89.55,89.55,0.0,0.0,89.79,89.79,0.0,0.0
2018-03-04,89.83,89.83,0.0,0.0,89.99,89.99,0.0,0.0,89.75,89.75,0.0,0.0,89.92,89.92,0.0,0.0
2018-03-11,90.18,90.18,0.0,0.0,90.38,90.38,0.0,0.0,90.1,90.1,0.0,0.0,90.13,90.13,0.0,0.0
2018-03-18,89.85,89.85,0.0,0.0,89.99,89.99,0.0,0.0,89.63,89.63,0.0,0.0,89.75,89.75,0.0,0.0
2018-03-25,90.94,90.94,0.0,0.0,91.15,91.15,0.0,0.0,90.6,90.6,0.0,0.0,91.02,91.02,0.0,0.0
2018-04-01,90.85,90.85,0.0,0.0,91.19,91.19,0.0,0.0,90.72,90.72,0.0,0.0,90.99,90.99,0.0,0.0
2018-04-08,90.84,90.84,0.0,0.0,91.08,91.08,0.0,0.0,90.8,90.8,0.0,0.0,91.01,91.01,0.0,0.0
2018-04-15,89.1,89.1,0.0,0.0,89.3,89.3,0.0,0.0,89.0,89.0,0.0,0.0,89.12,89.12,0.0,0.0
2018-04-22,89.09,89.09,0.0,0.0,89.09,89.09,0.0,0.0,88.67,88.67,0.0,0.0,88.75,88.75,0.0,0.0
2018-04-29,87.93,87.93,0.0,0.0,87.99,87.99,0.0,0.0,87.8,87.8,0.0,0.0,87.84,87.84,0.0,0.0
2018-05-06,88.59,88.59,0.0,0.0,88.73,88.73,0.0,0.0,88.41,88.41,0.0,0.0,88.45,88.45,0.0,0.0
2018-05-13,87.3,87.3,0.0,0.0,87.65,87.65,0.0,0.0,87.3,87.3,0.0,0.0,87.55,87.55,0.0,0.0
2018-05-20,88.51,88.51,0.0,0.0,88.77,88.77,0.0,0.0,88.51,88.51,0.0,0.0,88.77,88.77,0.0,0.0
2018-05-27,88.22,88.22,0.0,0.0,88.29,88.29,0.0,0.0,87.87,87.87,0.0,0.0,87.89,87.89,0.0,0.0
2018-06-03,87.49,87.49,0.0,0.0,87.8,87.8,0.0,0.0,87.39,87.39,0.0,0.0,87.79,87.79,0.0,0.0
2018-06-10,88.17,88.17,0.0,0.0,88.17,88.17,0.0,0.0,87.74,87.74,0.0,0.0,87.93,87.93,0.0,0.0
2018-06-17,87.07,87.07,0.0,0.0,87.12,87.12,0.0,0.0,86.7,86.7,0.0,0.0,86.79,86.79,0.0,0.0
2018-06-24,87.36,87.36,0.0,0.0,87.42,87.42,0.0,0.0,87.02,87.02,0.0,0.0,87.22,87.22,0.0,0.0
2018-07-01,88.52,88.52,0.0,0.0,88.72,88.72,0.0,0.0,88.31,88.31,0.0,0.0,88.69,88.69,0.0,0.0
2018-07-08,88.97,88.97,0.0,0.0,89.06,89.06,0.0,0.0,88.72,88.72,0.0,0.0,89.05,89.05,0.0,0.0
2018-07-15,88.05,88.05,0.0,0.0,88.1,88.1,0.0,0.0,87.54,87.54,0.0,0.0,87.73,87.73,0.0,0.0
2018-07-22,88.68,88.68,0.0,0.0,88.8,88.8,0.0,0.0,88.54,88.54,0.0,0.0,88.62,88.62,0.0,0.0
2018-07-29,88.8,88.8,0.0,0.0,88.98,88.98,0.0,0.0,88.58,88.58,0.0,0.0,88.84,88.84,0.0,0.0
2018-08-05,88.22,88.22,0.0,0.0,88.27,88.27,0.0,0.0,88.08,88.08,0.0,0.0,88.22,88.22,0.0,0.0
2018-08-12,89.51,89.51,0.0,0.0,89.73,89.73,0.0,0.0,89.39,89.39,0.0,0.0,89.57,89.57,0.0,0.0
2018-08-19,89.5,89.5,0.0,0.0,89.5,89.5,0.0,0.0,89.13,89.13,0.0,0.0,89.16,89.16,0.0,0.0
2018-08-26,89.14,89.14,0.0,0.0,89.14,89.14,0.0,0.0,88.51,88.51,0.0,0.0,88.54,88.54,0.0,0.0
2018-09-02,87.69,87.69,0.0,0.0,87.99,87.99,0.0,0.0,87.69,87.69,0.0,0.0,87.95,87.95,0.0,0.0
2018-09-09,87.87,87.87,0.0,0.0,88.16,88.16,0.0,0.0,87.86,87.86,0.0,0.0,87.97,87.97,0.0,0.0
2018-09-16,87.39,87.39,0.0,0.0,87.55,87.55,0.0,0.0,87.23,87.23,0.0,0.0,87.36,87.36,0.0,0.0
2018-09-23,87.59,87.59,0.0,0.0,87.73,87.73,0.0,0.0,87.39,87.39,0.0,0.0,87.44,87.44,0.0,0.0
2018-09-30,85.61,85.61,0.0,0.0,85.69,85.69,0.0,0.0,85.46,85.46,0.0,0.0,85.5,85.5,0.0,0.0
2018-10-07,86.17,86.17,0.0,0.0,86.26,86.26,0.0,0.0,85.83,85.83,0.0,0.0,85.86,85.86,0.0,0.0
2018-10-14,85.47,85.47,0.0,0.0,85.69,85.69,0.0,0.0,85.22,85.22,0.0,0.0,85.22,85.22,0.0,0.0
2018-10-21,85.38,85.38,0.0,0.0,85.38,85.38,0.0,0.0,84.98,84.98,0.0,0.0,85.05,85.05,0.0,0.0
2018-10-28,83.95,83.95,0.0,0.0,84.19,84.19,0.0,0.0,83.95,83.95,0.0,0.0,84.04,84.04,0.0,0.0
2018-11-04,84.88,84.88,0.0,0.0,84.98,84.98,0.0,0.0,84.62,84.62,0.0,0.0,84.73,84.73,0.0,0.0
2018-11-11,83.68,83.68,0.0,0.0,83.73,83.73,0.0,0.0,83.46,83.46,0.0,0.0,83.63,83.63,0.0,0.0
2018-11-18,84.0,84.0,0.0,0.0,84.25,84.25,0.0,0.0,83.89,83.89,0.0,0.0,84.0,84.0,0.0,0.0
2018-11-25,83.55,83.55,0.0,0.0,83.73,83.73,0.0,0.0,83.51,83.51,0.0,0.0,83.6,83.6,0.0,0.0
2018-12-02,84.5,84.5,0.0,0.0,84.56,84.56,0.0,0.0,84.11,84.11,0.0,0.0,84.37,84.37,0.0,0.0
2018-12-09,85.31,85.31,0.0,0.0,85.51,85.51,0.0,0.0,85.27,85.27,0.0,0.0,85.45,85.45,0.0,0.0
2018-12-16,85.13,85.13,0.0,0.0,85.13,85.13,0.0,0.0,84.48,84.48,0.0,0.0,84.62,84.62,0.0,0.0
2018-12-23,85.18,85.18,0.0,0.0,85.25,85.25,0.0,0.0,84.83,84.83,0.0,0.0,85.18,85.18,0.0,0.0
2018-12-30,85.73,85.73,0.0,0.0,86.0,86.0,0.0,0.0,85.48,85.48,0.0,0.0,85.55,85.55,0.0,0.0
2019-01-06,85.84,85.84,0.0,0.0,85.99,85.99,0.0,0.0,85.5,85.5,0.0,0.0,85.55,85.55,0.0,0.0
2019-01-13,85.85,85.85,0.0,0.0,86.1,86.1,0.0,0.0,85.83,85.83,0.0,0.0,85.99,85.99,0.0,0.0
2019-01-20,86.81,86.81,0.0,0.0,87.01,87.01,0.0,0.0,86.72,86.72,0.0,0.0,86.87,86.87,0.0,0.0
2019-01-27,87.68,87.68,0.0,0.0,87.94,87.94,0.0,0.0,87.49,87.49,0.0,0.0,87.85,87.85,0.0,0.0
2019-02-03,88.42,88.42,0.0,0.0,88.47,88.47,0.0,0.0,88.17,88.17,0.0,0.0,88.31,88.31,0.0,0.0
2019-02-10,88.07,88.07,0.0,0.0,88.46,88.46,0.0,0.0,88.07,88.07,0.0,0.0,88.46,88.46,0.0,0.0
2019-02-17,88.33,88.33,0.0,0.0,88.39,88.39,0.0,0.0,88.15,88.15,0.0,0.0,88.32,88.32,0.0,0.0
2019-02-24,87.49,87.49,0.0,0.0,87.71,87.71,0.0,0.0,87.37,87.37,0.0,0.0,87.51,87.51,0.0,0.0
2019-03-03,88.23,88.23,0.0,0.0,88.39,88.39,0.0,0.0,88.08,88.08,0.0,0.0,88.39,88.39,0.0,0.0
2019-03-10,88.63,88.63,0.0,0.0,88.76,88.76,0.0,0.0,88.57,88.57,0.0,0.0,88.68,88.68,0.0,0.0
2019-03-17,90.56,90.56,0.0,0.0,91.18,91.18,0.0,0.0,90.37,90.37,0.0,0.0,90.78,90.78,0.0,0.0
2019-03-24,90.8,90.8,0.0,0.0,90.81,90.81,0.0,0.0,90.29,90.29,0.0,0.0,90.32,90.32,0.0,0.0
2019-03-31,90.65,90.65,0.0,0.0,90.7,90.7,0.0,0.0,90.46,90.46,0.0,0.0,90.63,90.63,0.0,0.0
2019-04-07,91.28,91.28,0.0,0.0,91.31,91.31,0.0,0.0,91.07,91.07,0.0,0.0,91.16,91.16,0.0,0.0
2019-04-14,90.75,90.75,0.0,0.0,90.86,90.86,0.0,0.0,90.5,90.5,0.0,0.0,90.59,90.59,0.0,0.0
2019-04-21,91.52,91.52,0.0,0.0,91.57,91.57,0.0,0.0,91.25,91.25,0.0,0.0,91.33,91.33,0.0,0.0
2019-04-28,91.19,91.19,0.0,0.0,91.41,91.41,0.0,0.0,91.05,91.05,0.0,0.0,91.34,91.34,0.0,0.0
2019-05-05,91.02,91.02,0.0,0.0,91.18,91.18,0.0,0.0,90.79,90.79,0.0,0.0,91.09,91.09,0.0,0.0
2019-05-12,91.53,91.53,0.0,0.0,91.58,91.58,0.0,0.0,91.2,91.2,0.0,0.0,91.2,91.2,0.0,0.0
2019-05-19,91.88,91.88,0.0,0.0,91.95,91.95,0.0,0.0,91.74,91.74,0.0,0.0,91.95,91.95,0.0,0.0
2019-05-26,93.06,93.06,0.0,0.0,93.25,93.25,0.0,0.0,92.81,92.81,0.0,0.0,93.13,93.13,0.0,0.0
2019-06-02,93.53,93.53,0.0,0.0,93.67,93.67,0.0,0.0,93.38,93.38,0.0,0.0,93.5,93.5,0.0,0.0
2019-06-09,93.95,93.95,0.0,0.0,94.12,94.12,0.0,0.0,93.84,93.84,0.0,0.0,94.09,94.09,0.0,0.0
2019-06-16,96.3,96.3,0.0,0.0,96.73,96.73,0.0,0.0,96.3,96.3,0.0,0.0,96.56,96.56,0.0,0.0
2019-06-23,97.04,97.04,0.0,0.0,97.22,97.22,0.0,0.0,96.45,96.45,0.0,0.0,96.99,96.99,0.0,0.0
2019-06-30,96.94,96.94,0.0,0.0,97.06,97.06,0.0,0.0,96.5,96.5,0.0,0.0,96.51,96.51,0.0,0.0
2019-07-07,95.84,95.84,0.0,0.0,95.99,95.99,0.0,0.0,95.67,95.67,0.0,0.0,95.89,95.89,0.0,0.0
2019-07-14,96.95,96.95,0.0,0.0,97.08,97.08,0.0,0.0,96.75,96.75,0.0,0.0,96.75,96.75,0.0,0.0
2019-07-21,97.21,97.21,0.0,0.0,97.44,97.44,0.0,0.0,97.14,97.14,0.0,0.0,97.17,97.17,0.0,0.0
