Date,iShares MBS_Open_average,iShares MBS_Open_max,iShares MBS_Open_volatility,iShares MBS_Open_change,iShares MBS_High_average,iShares MBS_High_max,iShares MBS_High_volatility,iShares MBS_High_change,iShares MBS_Low_average,iShares MBS_Low_max,iShares MBS_Low_volatility,iShares MBS_Low_change,iShares MBS_Close_average,iShares MBS_Close_max,iShares MBS_Close_volatility,iShares MBS_Close_change
2017-05-28,107.16,107.16,0.0,0.0,107.32,107.32,0.0,0.0,107.16,107.16,0.0,0.0,107.23,107.23,0.0,0.0
2017-06-04,107.1,107.1,0.0,0.0,107.25,107.25,0.0,0.0,107.09,107.09,0.0,0.0,107.1,107.1,0.0,0.0
2017-06-11,107.16,107.16,0.0,0.0,107.18,107.18,0.0,0.0,107.07,107.07,0.0,0.0,107.13,107.13,0.0,0.0
2017-06-18,107.33,107.33,0.0,0.0,107.34,107.34,0.0,0.0,107.23,107.23,0.0,0.0,107.27,107.27,0.0,0.0
2017-06-25,106.56,106.56,0.0,0.0,106.56,106.56,0.0,0.0,106.29,106.29,0.0,0.0,106.3,106.3,0.0,0.0
2017-07-02,106.43,106.43,0.0,0.0,106.49,106.49,0.0,0.0,106.4,106.4,0.0,0.0,106.48,106.48,0.0,0.0
2017-07-09,106.74,106.74,0.0,0.0,106.84,106.84,0.0,0.0,106.71,106.71,0.0,0.0,106.73,106.73,0.0,0.0
2017-07-16,107.06,107.06,0.0,0.0,107.1,107.1,0.0,0.0,107.01,107.01,0.0,0.0,107.07,107.07,0.0,0.0
2017-07-23,107.03,107.03,0.0,0.0,107.09,107.09,0.0,0.0,107.0,107.0,0.0,0.0,107.09,107.09,0.0,0.0
2017-07-30,107.03,107.03,0.0,0.0,107.12,107.12,0.0,0.0,107.0,107.0,0.0,0.0,107.06,107.06,0.0,0.0
2017-08-06,107.18,107.18,0.0,0.0,107.23,107.23,0.0,0.0,107.1,107.1,0.0,0.0,107.17,107.17,0.0,0.0
2017-08-13,107.27,107.27,0.0,0.0,107.31,107.31,0.0,0.0,107.21,107.21,0.0,0.0,107.25,107.25,0.0,0.0
2017-08-20,107.41,107.41,0.0,0.0,107.49,107.49,0.0,0.0,107.38,107.38,0.0,0.0,107.48,107.48,0.0,0.0
2017-08-27,107.45,107.45,0.0,0.0,107.45,107.45,0.0,0.0,107.3,107.3,0.0,0.0,107.33,107.33,0.0,0.0
2017-09-03,107.51,107.51,0.0,0.0,107.52,107.52,0.0,0.0,107.41,107.41,0.0,0.0,107.43,107.43,0.0,0.0
2017-09-10,107.23,107.23,0.0,0.0,107.31,107.31,0.0,0.0,107.23,107.23,0.0,0.0,107.29,107.29,0.0,0.0
2017-09-17,107.26,107.26,0.0,0.0,107.38,107.38,0.0,0.0,107.23,107.23,0.0,0.0,107.36,107.36,0.0,0.0
2017-09-24,107.03,107.03,0.0,0.0,107.04,107.04,0.0,0.0,106.91,106.91,0.0,0.0,106.99,106.99,0.0,0.0
2017-10-01,106.84,106.84,0.0,0.0,106.9,106.9,0.0,0.0,106.82,106.82,0.0,0.0,106.9,106.9,0.0,0.0
2017-10-08,107.16,107.16,0.0,0.0,107.22,107.22,0.0,0.0,107.06,107.06,0.0,0.0,107.17,107.17,0.0,0.0
2017-10-15,106.85,106.85,0.0,0.0,106.9,106.9,0.0,0.0,106.84,106.84,0.0,0.0,106.86,106.86,0.0,0.0
2017-10-22,106.8,106.8,0.0,0.0,106.94,106.94,0.0,0.0,106.79,106.79,0.0,0.0,106.94,106.94,0.0,0.0
2017-10-29,106.88,106.88,0.0,0.0,106.96,106.96,0.0,0.0,106.87,106.87,0.0,0.0,106.93,106.93,0.0,0.0
2017-11-05,106.62,106.62,0.0,0.0,106.64,106.64,0.0,0.0,106.52,106.52,0.0,0.0,106.52,106.52,0.0,0.0
2017-11-12,106.6,106.6,0.0,0.0,106.65,106.65,0.0,0.0,106.5,106.5,0.0,0.0,106.59,106.59,0.0,0.0
2017-11-19,106.8,106.8,0.0,0.0,106.85,106.85,0.0,0.0,106.76,106.76,0.0,0.0,106.79,106.79,0.0,0.0
2017-11-26,106.32,106.32,0.0,0.0,106.44,106.44,0.0,0.0,106.27,106.27,0.0,0.0,106.43,106.43,0.0,0.0
2017-12-03,106.54,106.54,0.0,0.0,106.54,106.54,0.0,0.0,106.43,106.43,0.0,0.0,106.43,106.43,0.0,0.0
2017-12-10,106.62,106.62,0.0,0.0,106.63,106.63,0.0,0.0,106.53,106.53,0.0,0.0,106.58,106.58,0.0,0.0
2017-12-17,106.22,106.22,0.0,0.0,106.29,106.29,0.0,0.0,106.22,106.22,0.0,0.0,106.27,106.27,0.0,0.0
2017-12-24,106.55,106.55,0.0,0.0,106.62,106.62,0.0,0.0,106.53,106.53,0.0,0.0,106.59,106.59,0.0,0.0
2017-12-31,106.53,106.53,0.0,0.0,106.53,106.53,0.0,0.0,106.39,106.39,0.0,0.0,106.41,106.41,0.0,0.0
2018-01-07,106.04,106.04,0.0,0.0,106.19,106.19,0.0,0.0,106.03,106.03,0.0,0.0,106.16,106.16,0.0,0.0
2018-01-14,105.63,105.63,0.0,0.0,105.67,105.67,0.0,0.0,105.56,105.56,0.0,0.0,105.59,105.59,0.0,0.0
2018-01-21,105.38,105.38,0.0,0.0,105.44,105.44,0.0,0.0,105.29,105.29,0.0,0.0,105.4,105.4,0.0,0.0
2018-01-28,104.5,104.5,0.0,0.0,105.17,105.17,0.0,0.0,104.36,104.36,0.0,0.0,104.97,104.97,0.0,0.0
2018-02-04,104.34,104.34,0.0,0.0,104.38,104.38,0.0,0.0,104.2,104.2,0.0,0.0,104.33,104.33,0.0,0.0
2018-02-11,104.34,104.34,0.0,0.0,104.37,104.37,0.0,0.0,104.25,104.25,0.0,0.0,104.32,104.32,0.0,0.0
2018-02-18,104.53,104.53,0.0,0.0,104.57,104.57,0.0,0.0,104.37,104.37,0.0,0.0,104.38,104.38,0.0,0.0
2018-02-25,104.26,104.26,0.0,0.0,104.29,104.29,0.0,0.0,103.92,103.92,0.0,0.0,103.95,103.95,0.0,0.0
2018-03-04,104.03,104.03,0.0,0.0,104.14,104.14,0.0,0.0,104.01,104.01,0.0,0.0,104.14,104.14,0.0,0.0
2018-03-11,104.15,104.15,0.0,0.0,104.24,104.24,0.0,0.0,104.11,104.11,0.0,0.0,104.15,104.15,0.0,0.0
2018-03-18,104.23,104.23,0.0,0.0,104.33,104.33,0.0,0.0,104.2,104.2,0.0,0.0,104.24,104.24,0.0,0.0
2018-03-25,104.26,104.26,0.0,0.0,104.49,104.49,0.0,0.0,104.24,104.24,0.0,0.0,104.39,104.39,0.0,0.0
2018-04-01,104.34,104.34,0.0,0.0,104.45,104.45,0.0,0.0,104.32,104.32,0.0,0.0,104.45,104.45,0.0,0.0
2018-04-08,104.13,104.13,0.0,0.0,104.31,104.31,0.0,0.0,104.12,104.12,0.0,0.0,104.3,104.3,0.0,0.0
2018-04-15,103.65,103.65,0.0,0.0,103.66,103.66,0.0,0.0,103.58,103.58,0.0,0.0,103.61,103.61,0.0,0.0
2018-04-22,103.84,103.84,0.0,0.0,103.85,103.85,0.0,0.0,103.77,103.77,0.0,0.0,103.81,103.81,0.0,0.0
2018-04-29,103.72,103.72,0.0,0.0,103.72,103.72,0.0,0.0,103.65,103.65,0.0,0.0,103.67,103.67,0.0,0.0
2018-05-06,103.57,103.57,0.0,0.0,103.57,103.57,0.0,0.0,103.51,103.51,0.0,0.0,103.52,103.52,0.0,0.0
2018-05-13,103.11,103.11,0.0,0.0,103.22,103.22,0.0,0.0,103.08,103.08,0.0,0.0,103.21,103.21,0.0,0.0
2018-05-20,103.8,103.8,0.0,0.0,103.9,103.9,0.0,0.0,103.8,103.8,0.0,0.0,103.89,103.89,0.0,0.0
2018-05-27,103.77,103.77,0.0,0.0,103.8,103.8,0.0,0.0,103.61,103.61,0.0,0.0,103.61,103.61,0.0,0.0
2018-06-03,103.38,103.38,0.0,0.0,103.46,103.46,0.0,0.0,103.38,103.38,0.0,0.0,103.41,103.41,0.0,0.0
2018-06-10,103.78,103.78,0.0,0.0,103.79,103.79,0.0,0.0,103.69,103.69,0.0,0.0,103.71,103.71,0.0,0.0
2018-06-17,103.79,103.79,0.0,0.0,103.89,103.89,0.0,0.0,103.79,103.79,0.0,0.0,103.83,103.83,0.0,0.0
2018-06-24,103.99,103.99,0.0,0.0,104.0,104.0,0.0,0.0,103.8,103.8,0.0,0.0,103.8,103.8,0.0,0.0
2018-07-01,104.0,104.0,0.0,0.0,104.05,104.05,0.0,0.0,103.95,103.95,0.0,0.0,104.0,104.0,0.0,0.0
2018-07-08,104.08,104.08,0.0,0.0,104.09,104.09,0.0,0.0,103.99,103.99,0.0,0.0,104.08,104.08,0.0,0.0
2018-07-15,103.92,103.92,0.0,0.0,103.93,103.93,0.0,0.0,103.65,103.65,0.0,0.0,103.67,103.67,0.0,0.0
2018-07-22,103.65,103.65,0.0,0.0,103.7,103.7,0.0,0.0,103.62,103.62,0.0,0.0,103.65,103.65,0.0,0.0
2018-07-29,103.72,103.72,0.0,0.0,103.81,103.81,0.0,0.0,103.7,103.7,0.0,0.0,103.78,103.78,0.0,0.0
2018-08-05,104.03,104.03,0.0,0.0,104.09,104.09,0.0,0.0,103.98,103.98,0.0,0.0,103.98,103.98,0.0,0.0
2018-08-12,104.18,104.18,0.0,0.0,104.32,104.32,0.0,0.0,104.17,104.17,0.0,0.0,104.31,104.31,0.0,0.0
2018-08-19,104.27,104.27,0.0,0.0,104.27,104.27,0.0,0.0,104.21,104.21,0.0,0.0,104.24,104.24,0.0,0.0
2018-08-26,104.21,104.21,0.0,0.0,104.27,104.27,0.0,0.0,104.16,104.16,0.0,0.0,104.2,104.2,0.0,0.0
2018-09-02,103.62,103.62,0.0,0.0,103.7,103.7,0.0,0.0,103.61,103.61,0.0,0.0,103.65,103.65,0.0,0.0
2018-09-09,103.31,103.31,0.0,0.0,103.48,103.48,0.0,0.0,103.31,103.31,0.0,0.0,103.4,103.4,0.0,0.0
2018-09-16,103.06,103.06,0.0,0.0,103.15,103.15,0.0,0.0,103.04,103.04,0.0,0.0,103.07,103.07,0.0,0.0
2018-09-23,103.08,103.08,0.0,0.0,103.09,103.09,0.0,0.0,102.99,102.99,0.0,0.0,102.99,102.99,0.0,0.0
2018-09-30,102.26,102.26,0.0,0.0,102.28,102.28,0.0,0.0,102.14,102.14,0.0,0.0,102.14,102.14,0.0,0.0
2018-10-07,102.48,102.48,0.0,0.0,102.54,102.54,0.0,0.0,102.4,102.4,0.0,0.0,102.48,102.48,0.0,0.0
2018-10-14,102.28,102.28,0.0,0.0,102.29,102.29,0.0,0.0,102.2,102.2,0.0,0.0,102.22,102.22,0.0,0.0
2018-10-21,102.72,102.72,0.0,0.0,102.76,102.76,0.0,0.0,102.63,102.63,0.0,0.0,102.72,102.72,0.0,0.0
2018-10-28,101.82,101.82,0.0,0.0,101.88,101.88,0.0,0.0,101.76,101.76,0.0,0.0,101.82,101.82,0.0,0.0
2018-11-04,102.08,102.08,0.0,0.0,102.15,102.15,0.0,0.0,102.08,102.08,0.0,0.0,102.15,102.15,0.0,0.0
2018-11-11,102.69,102.69,0.0,0.0,102.87,102.87,0.0,0.0,102.69,102.69,0.0,0.0,102.75,102.75,0.0,0.0
2018-11-18,102.66,102.66,0.0,0.0,102.72,102.72,0.0,0.0,102.65,102.65,0.0,0.0,102.71,102.71,0.0,0.0
2018-11-25,102.88,102.88,0.0,0.0,103.02,103.02,0.0,0.0,102.87,102.87,0.0,0.0,103.02,103.02,0.0,0.0
2018-12-02,103.79,103.79,0.0,0.0,103.89,103.89,0.0,0.0,103.7,103.7,0.0,0.0,103.81,103.81,0.0,0.0
2018-12-09,103.66,103.66,0.0,0.0,103.79,103.79,0.0,0.0,103.64,103.64,0.0,0.0,103.79,103.79,0.0,0.0
2018-12-16,104.13,104.13,0.0,0.0,104.23,104.23,0.0,0.0,104.08,104.08,0.0,0.0,104.13,104.13,0.0,0.0
2018-12-23,104.37,104.37,0.0,0.0,104.7,104.7,0.0,0.0,104.36,104.36,0.0,0.0,104.65,104.65,0.0,0.0
2018-12-30,104.99,104.99,0.0,0.0,105.02,105.02,0.0,0.0,104.73,104.73,0.0,0.0,104.78,104.78,0.0,0.0
2019-01-06,104.9,104.9,0.0,0.0,104.9,104.9,0.0,0.0,104.74,104.74,0.0,0.0,104.83,104.83,0.0,0.0
2019-01-13,104.68,104.68,0.0,0.0,104.74,104.74,0.0,0.0,104.5,104.5,0.0,0.0,104.63,104.63,0.0,0.0
2019-01-20,104.68,104.68,0.0,0.0,104.8,104.8,0.0,0.0,104.64,104.64,0.0,0.0,104.74,104.74,0.0,0.0
2019-01-27,104.8,104.8,0.0,0.0,104.85,104.85,0.0,0.0,104.74,104.74,0.0,0.0,104.82,104.82,0.0,0.0
2019-02-03,105.11,105.11,0.0,0.0,105.14,105.14,0.0,0.0,105.05,105.05,0.0,0.0,105.12,105.12,0.0,0.0
2019-02-10,105.05,105.05,0.0,0.0,105.08,105.08,0.0,0.0,105.01,105.01,0.0,0.0,105.08,105.08,0.0,0.0
2019-02-17,105.21,105.21,0.0,0.0,105.25,105.25,0.0,0.0,105.17,105.17,0.0,0.0,105.24,105.24,0.0,0.0
2019-02-24,104.71,104.71,0.0,0.0,104.79,104.79,0.0,0.0,104.66,104.66,0.0,0.0,104.74,104.74,0.0,0.0
2019-03-03,105.19,105.19,0.0,0.0,105.2,105.2,0.0,0.0,105.12,105.12,0.0,0.0,105.2,105.2,0.0,0.0
2019-03-10,105.53,105.53,0.0,0.0,105.56,105.56,0.0,0.0,105.5,105.5,0.0,0.0,105.55,105.55,0.0,0.0
2019-03-17,106.24,106.24,0.0,0.0,106.43,106.43,0.0,0.0,106.18,106.18,0.0,0.0,106.29,106.29,0.0,0.0
2019-03-24,105.94,105.94,0.0,0.0,105.97,105.97,0.0,0.0,105.66,105.66,0.0,0.0,105.71,105.71,0.0,0.0
2019-03-31,105.9,105.9,0.0,0.0,105.93,105.93,0.0,0.0,105.81,105.81,0.0,0.0,105.81,105.81,0.0,0.0
2019-04-07,105.73,105.73,0.0,0.0,105.81,105.81,0.0,0.0,105.72,105.72,0.0,0.0,105.81,105.81,0.0,0.0
2019-04-14,105.73,105.73,0.0,0.0,105.73,105.73,0.0,0.0,105.65,105.65,0.0,0.0,105.65,105.65,0.0,0.0
2019-04-21,105.99,105.99,0.0,0.0,106.02,106.02,0.0,0.0,105.89,105.89,0.0,0.0,105.95,105.95,0.0,0.0
2019-04-28,105.93,105.93,0.0,0.0,105.98,105.98,0.0,0.0,105.89,105.89,0.0,0.0,105.89,105.89,0.0,0.0
2019-05-05,106.15,106.15,0.0,0.0,106.25,106.25,0.0,0.0,106.13,106.13,0.0,0.0,106.2,106.2,0.0,0.0
2019-05-12,106.24,106.24,0.0,0.0,106.27,106.27,0.0,0.0,106.12,106.12,0.0,0.0,106.15,106.15,0.0,0.0
2019-05-19,106.5,106.5,0.0,0.0,106.54,106.54,0.0,0.0,106.47,106.47,0.0,0.0,106.52,106.52,0.0,0.0
2019-05-26,106.84,106.84,0.0,0.0,107.09,107.09,0.0,0.0,106.83,106.83,0.0,0.0,107.02,107.02,0.0,0.0
2019-06-02,107.14,107.14,0.0,0.0,107.14,107.14,0.0,0.0,106.9,106.9,0.0,0.0,106.91,106.91,0.0,0.0
2019-06-09,107.06,107.06,0.0,0.0,107.08,107.08,0.0,0.0,107.0,107.0,0.0,0.0,107.04,107.04,0.0,0.0
2019-06-16,107.42,107.42,0.0,0.0,107.5,107.5,0.0,0.0,107.4,107.4,0.0,0.0,107.48,107.48,0.0,0.0
2019-06-23,107.32,107.32,0.0,0.0,107.37,107.37,0.0,0.0,107.17,107.17,0.0,0.0,107.29,107.29,0.0,0.0
2019-06-30,107.51,107.51,0.0,0.0,107.53,107.53,0.0,0.0,107.34,107.34,0.0,0.0,107.35,107.35,0.0,0.0
2019-07-07,107.35,107.35,0.0,0.0,107.44,107.44,0.0,0.0,107.35,107.35,0.0,0.0,107.42,107.42,0.0,0.0
2019-07-14,107.69,107.69,0.0,0.0,107.73,107.73,0.0,0.0,107.65,107.65,0.0,0.0,107.68,107.68,0.0,0.0
2019-07-21,107.71,107.71,0.0,0.0,107.73,107.73,0.0,0.0,107.64,107.64,0.0,0.0,107.67,107.67,0.0,0.0
2019-07-28,107.93,107.93,0.0,0.0,108.06,108.06,0.0,0.0,107.87,107.87,0.0,0.0,108.04,108.04,0.0,0.0
2019-08-04,107.98,107.98,0.0,0.0,108.12,108.12,0.0,0.0,107.92,107.92,0.0,0.0,108.04,108.04,0.0,0.0
2019-08-11,108.14,108.14,0.0,0.0,108.16,108.16,0.0,0.0,108.1,108.1,0.0,0.0,108.11,108.11,0.0,0.0
2019-08-18,108.26,108.26,0.0,0.0,108.32,108.32,0.0,0.0,108.09,108.09,0.0,0.0,108.09,108.09,0.0,0.0
2019-08-25,108.34,108.34,0.0,0.0,108.53,108.53,0.0,0.0,108.32,108.32,0.0,0.0,108.5,108.5,0.0,0.0
