Date,Ranger Equity Bear_Open_average,Ranger Equity Bear_Open_max,Ranger Equity Bear_Open_min,Ranger Equity Bear_Open_volatility,Ranger Equity Bear_Open_change,Ranger Equity Bear_High_average,Ranger Equity Bear_High_max,Ranger Equity Bear_High_min,Ranger Equity Bear_High_volatility,Ranger Equity Bear_High_change,Ranger Equity Bear_Low_average,Ranger Equity Bear_Low_max,Ranger Equity Bear_Low_min,Ranger Equity Bear_Low_volatility,Ranger Equity Bear_Low_change,Ranger Equity Bear_Close_average,Ranger Equity Bear_Close_max,Ranger Equity Bear_Close_min,Ranger Equity Bear_Close_volatility,Ranger Equity Bear_Close_change
2018-04-01,8.21,8.21,8.21,0.0,0.0,8.37,8.37,8.37,0.0,0.0,8.16,8.16,8.16,0.0,0.0,8.3,8.3,8.3,0.0,0.0
2018-04-08,8.19,8.19,8.19,0.0,0.0,8.29,8.29,8.29,0.0,0.0,8.19,8.19,8.19,0.0,0.0,8.25,8.25,8.25,0.0,0.0
2018-04-15,8.19,8.19,8.19,0.0,0.0,8.3,8.3,8.3,0.0,0.0,8.19,8.19,8.19,0.0,0.0,8.29,8.29,8.29,0.0,0.0
2018-04-22,8.29,8.29,8.29,0.0,0.0,8.32,8.32,8.32,0.0,0.0,8.26,8.26,8.26,0.0,0.0,8.32,8.32,8.32,0.0,0.0
2018-04-29,8.54,8.54,8.54,0.0,0.0,8.56,8.56,8.56,0.0,0.0,8.35,8.35,8.35,0.0,0.0,8.41,8.41,8.41,0.0,0.0
2018-05-06,8.21,8.21,8.21,0.0,0.0,8.21,8.21,8.21,0.0,0.0,8.15,8.15,8.15,0.0,0.0,8.15,8.15,8.15,0.0,0.0
2018-05-13,8.11,8.11,8.11,0.0,0.0,8.11,8.11,8.11,0.0,0.0,8.08,8.08,8.08,0.0,0.0,8.1,8.1,8.1,0.0,0.0
2018-05-20,8.09,8.09,8.09,0.0,0.0,8.09,8.09,8.09,0.0,0.0,8.04,8.04,8.04,0.0,0.0,8.05,8.05,8.05,0.0,0.0
2018-05-27,8.11,8.11,8.11,0.0,0.0,8.12,8.12,8.12,0.0,0.0,8.07,8.07,8.07,0.0,0.0,8.1,8.1,8.1,0.0,0.0
2018-06-03,7.91,7.91,7.91,0.0,0.0,7.91,7.91,7.91,0.0,0.0,7.83,7.83,7.83,0.0,0.0,7.83,7.83,7.83,0.0,0.0
2018-06-10,7.77,7.77,7.77,0.0,0.0,7.79,7.79,7.79,0.0,0.0,7.71,7.71,7.71,0.0,0.0,7.71,7.71,7.71,0.0,0.0
2018-06-17,7.68,7.68,7.68,0.0,0.0,7.72,7.72,7.72,0.0,0.0,7.66,7.66,7.66,0.0,0.0,7.71,7.71,7.71,0.0,0.0
2018-06-24,7.77,7.77,7.77,0.0,0.0,7.8,7.8,7.8,0.0,0.0,7.72,7.72,7.72,0.0,0.0,7.8,7.8,7.8,0.0,0.0
2018-07-01,7.68,7.68,7.68,0.0,0.0,7.68,7.68,7.68,0.0,0.0,7.6,7.6,7.6,0.0,0.0,7.61,7.61,7.61,0.0,0.0
2018-07-08,7.6,7.6,7.6,0.0,0.0,7.6,7.6,7.6,0.0,0.0,7.55,7.55,7.55,0.0,0.0,7.59,7.59,7.59,0.0,0.0
2018-07-15,7.54,7.54,7.54,0.0,0.0,7.58,7.58,7.58,0.0,0.0,7.52,7.52,7.52,0.0,0.0,7.58,7.58,7.58,0.0,0.0
2018-07-22,7.5,7.5,7.5,0.0,0.0,7.63,7.63,7.63,0.0,0.0,7.49,7.49,7.49,0.0,0.0,7.6,7.6,7.6,0.0,0.0
2018-07-29,7.53,7.53,7.53,0.0,0.0,7.55,7.55,7.55,0.0,0.0,7.49,7.49,7.49,0.0,0.0,7.49,7.49,7.49,0.0,0.0
2018-08-05,7.41,7.41,7.41,0.0,0.0,7.43,7.43,7.43,0.0,0.0,7.38,7.38,7.38,0.0,0.0,7.41,7.41,7.41,0.0,0.0
2018-08-12,7.53,7.53,7.53,0.0,0.0,7.56,7.56,7.56,0.0,0.0,7.44,7.44,7.44,0.0,0.0,7.45,7.45,7.45,0.0,0.0
2018-08-19,7.38,7.38,7.38,0.0,0.0,7.41,7.41,7.41,0.0,0.0,7.36,7.36,7.36,0.0,0.0,7.39,7.39,7.39,0.0,0.0
2018-08-26,7.37,7.37,7.37,0.0,0.0,7.42,7.42,7.42,0.0,0.0,7.35,7.35,7.35,0.0,0.0,7.35,7.35,7.35,0.0,0.0
2018-09-02,7.43,7.43,7.43,0.0,0.0,7.45,7.45,7.45,0.0,0.0,7.37,7.37,7.37,0.0,0.0,7.42,7.42,7.42,0.0,0.0
2018-09-09,7.38,7.38,7.38,0.0,0.0,7.38,7.38,7.38,0.0,0.0,7.32,7.32,7.32,0.0,0.0,7.34,7.34,7.34,0.0,0.0
2018-09-16,7.28,7.28,7.28,0.0,0.0,7.28,7.28,7.28,0.0,0.0,7.22,7.22,7.22,0.0,0.0,7.24,7.24,7.24,0.0,0.0
2018-09-23,7.39,7.39,7.39,0.0,0.0,7.39,7.39,7.39,0.0,0.0,7.33,7.33,7.33,0.0,0.0,7.36,7.36,7.36,0.0,0.0
2018-09-30,7.6,7.6,7.6,0.0,0.0,7.73,7.73,7.73,0.0,0.0,7.57,7.57,7.57,0.0,0.0,7.68,7.68,7.68,0.0,0.0
2018-10-07,7.98,7.98,7.98,0.0,0.0,8.1,8.1,8.1,0.0,0.0,7.85,7.85,7.85,0.0,0.0,8.03,8.03,8.03,0.0,0.0
2018-10-14,7.98,7.98,7.98,0.0,0.0,8.07,8.07,8.07,0.0,0.0,7.89,7.89,7.89,0.0,0.0,8.04,8.04,8.04,0.0,0.0
2018-10-21,8.27,8.27,8.27,0.0,0.0,8.39,8.39,8.39,0.0,0.0,8.15,8.15,8.15,0.0,0.0,8.28,8.28,8.28,0.0,0.0
2018-10-28,7.71,7.71,7.71,0.0,0.0,7.78,7.78,7.78,0.0,0.0,7.66,7.66,7.66,0.0,0.0,7.75,7.75,7.75,0.0,0.0
2018-11-04,7.65,7.65,7.65,0.0,0.0,7.74,7.74,7.74,0.0,0.0,7.64,7.64,7.64,0.0,0.0,7.69,7.69,7.69,0.0,0.0
2018-11-11,7.79,7.79,7.79,0.0,0.0,7.84,7.84,7.84,0.0,0.0,7.74,7.74,7.74,0.0,0.0,7.74,7.74,7.74,0.0,0.0
2018-11-18,7.97,7.97,7.97,0.0,0.0,7.99,7.99,7.99,0.0,0.0,7.87,7.87,7.87,0.0,0.0,7.92,7.92,7.92,0.0,0.0
2018-11-25,7.79,7.79,7.79,0.0,0.0,7.81,7.81,7.81,0.0,0.0,7.71,7.71,7.71,0.0,0.0,7.71,7.71,7.71,0.0,0.0
2018-12-02,7.97,7.97,7.97,0.0,0.0,8.22,8.22,8.22,0.0,0.0,7.92,7.92,7.92,0.0,0.0,8.18,8.18,8.18,0.0,0.0
2018-12-09,8.31,8.31,8.31,0.0,0.0,8.38,8.38,8.38,0.0,0.0,8.24,8.24,8.24,0.0,0.0,8.37,8.37,8.37,0.0,0.0
2018-12-16,8.69,8.69,8.69,0.0,0.0,8.93,8.93,8.93,0.0,0.0,8.62,8.62,8.62,0.0,0.0,8.92,8.92,8.92,0.0,0.0
2018-12-23,8.44,8.44,8.44,0.0,0.0,8.53,8.53,8.53,0.0,0.0,8.33,8.33,8.33,0.0,0.0,8.48,8.48,8.48,0.0,0.0
2018-12-30,8.47,8.47,8.47,0.0,0.0,8.5,8.5,8.5,0.0,0.0,8.22,8.22,8.22,0.0,0.0,8.26,8.26,8.26,0.0,0.0
2019-01-06,7.88,7.88,7.88,0.0,0.0,7.92,7.92,7.92,0.0,0.0,7.8,7.8,7.8,0.0,0.0,7.84,7.84,7.84,0.0,0.0
2019-01-13,7.73,7.73,7.73,0.0,0.0,7.73,7.73,7.73,0.0,0.0,7.57,7.57,7.57,0.0,0.0,7.61,7.61,7.61,0.0,0.0
2019-01-20,7.71,7.71,7.71,0.0,0.0,7.71,7.71,7.71,0.0,0.0,7.61,7.61,7.61,0.0,0.0,7.64,7.64,7.64,0.0,0.0
2019-01-27,7.41,7.41,7.41,0.0,0.0,7.42,7.42,7.42,0.0,0.0,7.36,7.36,7.36,0.0,0.0,7.4,7.4,7.4,0.0,0.0
2019-02-03,7.45,7.45,7.45,0.0,0.0,7.48,7.48,7.48,0.0,0.0,7.4,7.4,7.4,0.0,0.0,7.43,7.43,7.43,0.0,0.0
2019-02-10,7.14,7.14,7.14,0.0,0.0,7.14,7.14,7.14,0.0,0.0,7.05,7.05,7.05,0.0,0.0,7.07,7.07,7.07,0.0,0.0
2019-02-17,6.99,6.99,6.99,0.0,0.0,6.99,6.99,6.99,0.0,0.0,6.88,6.88,6.88,0.0,0.0,6.89,6.89,6.89,0.0,0.0
2019-02-24,6.82,6.82,6.82,0.0,0.0,6.82,6.82,6.82,0.0,0.0,6.74,6.74,6.74,0.0,0.0,6.77,6.77,6.77,0.0,0.0
2019-03-03,7.02,7.02,7.02,0.0,0.0,7.1,7.1,7.1,0.0,0.0,7.0,7.0,7.0,0.0,0.0,7.01,7.01,7.01,0.0,0.0
2019-03-10,6.92,6.92,6.92,0.0,0.0,6.94,6.94,6.94,0.0,0.0,6.89,6.89,6.89,0.0,0.0,6.92,6.92,6.92,0.0,0.0
2019-03-17,6.87,6.87,6.87,0.0,0.0,7.03,7.03,7.03,0.0,0.0,6.87,6.87,6.87,0.0,0.0,7.03,7.03,7.03,0.0,0.0
2019-03-24,6.87,6.87,6.87,0.0,0.0,6.88,6.88,6.88,0.0,0.0,6.82,6.82,6.82,0.0,0.0,6.84,6.84,6.84,0.0,0.0
2019-03-31,6.65,6.65,6.65,0.0,0.0,6.66,6.66,6.66,0.0,0.0,6.62,6.62,6.62,0.0,0.0,6.62,6.62,6.62,0.0,0.0
2019-04-07,6.59,6.59,6.59,0.0,0.0,6.61,6.61,6.61,0.0,0.0,6.55,6.55,6.55,0.0,0.0,6.57,6.57,6.57,0.0,0.0
2019-04-14,6.58,6.58,6.58,0.0,0.0,6.58,6.58,6.58,0.0,0.0,6.51,6.51,6.51,0.0,0.0,6.53,6.53,6.53,0.0,0.0
2019-04-21,6.53,6.53,6.53,0.0,0.0,6.56,6.56,6.56,0.0,0.0,6.45,6.45,6.45,0.0,0.0,6.45,6.45,6.45,0.0,0.0
2019-04-28,6.47,6.47,6.47,0.0,0.0,6.47,6.47,6.47,0.0,0.0,6.39,6.39,6.39,0.0,0.0,6.41,6.41,6.41,0.0,0.0
2019-05-05,6.54,6.54,6.54,0.0,0.0,6.62,6.62,6.62,0.0,0.0,6.5,6.5,6.5,0.0,0.0,6.51,6.51,6.51,0.0,0.0
2019-05-12,6.6,6.6,6.6,0.0,0.0,6.64,6.64,6.64,0.0,0.0,6.55,6.55,6.55,0.0,0.0,6.63,6.63,6.63,0.0,0.0
2019-05-19,6.7,6.7,6.7,0.0,0.0,6.75,6.75,6.75,0.0,0.0,6.69,6.69,6.69,0.0,0.0,6.71,6.71,6.71,0.0,0.0
2019-05-26,6.93,6.93,6.93,0.0,0.0,6.95,6.95,6.95,0.0,0.0,6.9,6.9,6.9,0.0,0.0,6.95,6.95,6.95,0.0,0.0
2019-06-02,6.71,6.71,6.71,0.0,0.0,6.71,6.71,6.71,0.0,0.0,6.65,6.65,6.65,0.0,0.0,6.68,6.68,6.68,0.0,0.0
2019-06-09,6.6,6.6,6.6,0.0,0.0,6.64,6.64,6.64,0.0,0.0,6.6,6.6,6.6,0.0,0.0,6.64,6.64,6.64,0.0,0.0
2019-06-16,6.5,6.5,6.5,0.0,0.0,6.5,6.5,6.5,0.0,0.0,6.42,6.42,6.42,0.0,0.0,6.43,6.43,6.43,0.0,0.0
2019-06-23,6.43,6.43,6.43,0.0,0.0,6.43,6.43,6.43,0.0,0.0,6.37,6.37,6.37,0.0,0.0,6.38,6.38,6.38,0.0,0.0
2019-06-30,6.44,6.44,6.44,0.0,0.0,6.47,6.47,6.47,0.0,0.0,6.41,6.41,6.41,0.0,0.0,6.42,6.42,6.42,0.0,0.0
2019-07-07,6.48,6.48,6.48,0.0,0.0,6.48,6.48,6.48,0.0,0.0,6.38,6.38,6.38,0.0,0.0,6.4,6.4,6.4,0.0,0.0
2019-07-14,6.51,6.51,6.51,0.0,0.0,6.52,6.52,6.52,0.0,0.0,6.47,6.47,6.47,0.0,0.0,6.52,6.52,6.52,0.0,0.0
2019-07-21,6.46,6.46,6.46,0.0,0.0,6.46,6.46,6.46,0.0,0.0,6.41,6.41,6.41,0.0,0.0,6.44,6.44,6.44,0.0,0.0
2019-07-28,6.66,6.66,6.66,0.0,0.0,6.76,6.76,6.76,0.0,0.0,6.64,6.64,6.64,0.0,0.0,6.72,6.72,6.72,0.0,0.0
2019-08-04,6.79,6.79,6.79,0.0,0.0,6.9,6.9,6.9,0.0,0.0,6.79,6.79,6.79,0.0,0.0,6.9,6.9,6.9,0.0,0.0
2019-08-11,7.27,7.27,7.27,0.0,0.0,7.27,7.27,7.27,0.0,0.0,7.12,7.12,7.12,0.0,0.0,7.13,7.13,7.13,0.0,0.0
2019-08-18,7.05,7.05,7.05,0.0,0.0,7.24,7.24,7.24,0.0,0.0,7.02,7.02,7.02,0.0,0.0,7.22,7.22,7.22,0.0,0.0
2019-08-25,6.98,6.98,6.98,0.0,0.0,7.01,7.01,7.01,0.0,0.0,6.91,6.91,6.91,0.0,0.0,6.99,6.99,6.99,0.0,0.0
2019-09-01,6.8,6.8,6.8,0.0,0.0,6.87,6.87,6.87,0.0,0.0,6.77,6.77,6.77,0.0,0.0,6.81,6.81,6.81,0.0,0.0
2019-09-08,6.3,6.3,6.3,0.0,0.0,6.33,6.33,6.33,0.0,0.0,6.24,6.24,6.24,0.0,0.0,6.3,6.3,6.3,0.0,0.0
2019-09-15,6.43,6.43,6.43,0.0,0.0,6.48,6.48,6.48,0.0,0.0,6.39,6.39,6.39,0.0,0.0,6.46,6.46,6.46,0.0,0.0
2019-09-22,6.55,6.55,6.55,0.0,0.0,6.62,6.62,6.62,0.0,0.0,6.52,6.52,6.52,0.0,0.0,6.6,6.6,6.6,0.0,0.0
2019-09-29,6.78,6.78,6.78,0.0,0.0,6.82,6.82,6.82,0.0,0.0,6.72,6.72,6.72,0.0,0.0,6.74,6.74,6.74,0.0,0.0
2019-10-06,6.75,6.75,6.75,0.0,0.0,6.75,6.75,6.75,0.0,0.0,6.57,6.57,6.57,0.0,0.0,6.64,6.64,6.64,0.0,0.0
2019-10-13,6.57,6.57,6.57,0.0,0.0,6.62,6.62,6.62,0.0,0.0,6.52,6.52,6.52,0.0,0.0,6.58,6.58,6.58,0.0,0.0
2019-10-20,6.36,6.36,6.36,0.0,0.0,6.36,6.36,6.36,0.0,0.0,6.25,6.25,6.25,0.0,0.0,6.25,6.25,6.25,0.0,0.0
2019-10-27,6.34,6.34,6.34,0.0,0.0,6.35,6.35,6.35,0.0,0.0,6.15,6.15,6.15,0.0,0.0,6.17,6.17,6.17,0.0,0.0
2019-11-03,5.98,5.98,5.98,0.0,0.0,5.98,5.98,5.98,0.0,0.0,5.9,5.9,5.9,0.0,0.0,5.91,5.91,5.91,0.0,0.0
2019-11-10,5.93,5.93,5.93,0.0,0.0,5.94,5.94,5.94,0.0,0.0,5.87,5.87,5.87,0.0,0.0,5.88,5.88,5.88,0.0,0.0
2019-11-17,5.91,5.91,5.91,0.0,0.0,5.94,5.94,5.94,0.0,0.0,5.86,5.86,5.86,0.0,0.0,5.87,5.87,5.87,0.0,0.0
2019-11-24,5.72,5.72,5.72,0.0,0.0,5.77,5.77,5.77,0.0,0.0,5.72,5.72,5.72,0.0,0.0,5.74,5.74,5.74,0.0,0.0
2019-12-01,5.74,5.74,5.74,0.0,0.0,5.75,5.75,5.75,0.0,0.0,5.67,5.67,5.67,0.0,0.0,5.67,5.67,5.67,0.0,0.0
2019-12-08,5.52,5.52,5.52,0.0,0.0,5.58,5.58,5.58,0.0,0.0,5.49,5.49,5.49,0.0,0.0,5.57,5.57,5.57,0.0,0.0
2019-12-15,5.44,5.44,5.44,0.0,0.0,5.47,5.47,5.47,0.0,0.0,5.42,5.42,5.42,0.0,0.0,5.44,5.44,5.44,0.0,0.0
2019-12-22,5.34,5.34,5.34,0.0,0.0,5.41,5.41,5.41,0.0,0.0,5.34,5.34,5.34,0.0,0.0,5.4,5.4,5.4,0.0,0.0
2019-12-29,5.41,5.41,5.41,0.0,0.0,5.42,5.42,5.42,0.0,0.0,5.37,5.37,5.37,0.0,0.0,5.37,5.37,5.37,0.0,0.0
