Date,iShares GNMA Bond_Open_average,iShares GNMA Bond_Open_max,iShares GNMA Bond_Open_volatility,iShares GNMA Bond_Open_change,iShares GNMA Bond_High_average,iShares GNMA Bond_High_max,iShares GNMA Bond_High_volatility,iShares GNMA Bond_High_change,iShares GNMA Bond_Low_average,iShares GNMA Bond_Low_max,iShares GNMA Bond_Low_volatility,iShares GNMA Bond_Low_change,iShares GNMA Bond_Close_average,iShares GNMA Bond_Close_max,iShares GNMA Bond_Close_volatility,iShares GNMA Bond_Close_change
2016-07-03,50.72,50.72,0.0,0.0,51.09,51.09,0.0,0.0,50.72,50.72,0.0,0.0,50.97,50.97,0.0,0.0
2016-07-10,51.07,51.07,0.0,0.0,51.12,51.12,0.0,0.0,50.91,50.91,0.0,0.0,51.02,51.02,0.0,0.0
2016-07-17,51.08,51.08,0.0,0.0,51.09,51.09,0.0,0.0,50.83,50.83,0.0,0.0,50.94,50.94,0.0,0.0
2016-07-24,50.93,50.93,0.0,0.0,51.11,51.11,0.0,0.0,50.82,50.82,0.0,0.0,51.01,51.01,0.0,0.0
2016-07-31,51.06,51.06,0.0,0.0,51.12,51.12,0.0,0.0,50.85,50.85,0.0,0.0,51.03,51.03,0.0,0.0
2016-08-07,51.0,51.0,0.0,0.0,51.26,51.26,0.0,0.0,51.0,51.0,0.0,0.0,51.1,51.1,0.0,0.0
2016-08-14,51.05,51.05,0.0,0.0,51.14,51.14,0.0,0.0,50.94,50.94,0.0,0.0,51.0,51.0,0.0,0.0
2016-08-21,50.87,50.87,0.0,0.0,51.1,51.1,0.0,0.0,50.87,50.87,0.0,0.0,51.06,51.06,0.0,0.0
2016-08-28,51.07,51.07,0.0,0.0,51.07,51.07,0.0,0.0,50.81,50.81,0.0,0.0,50.9,50.9,0.0,0.0
2016-09-04,50.92,50.92,0.0,0.0,50.92,50.92,0.0,0.0,50.78,50.78,0.0,0.0,50.84,50.84,0.0,0.0
2016-09-11,51.0,51.0,0.0,0.0,51.0,51.0,0.0,0.0,50.82,50.82,0.0,0.0,50.84,50.84,0.0,0.0
2016-09-18,51.13,51.13,0.0,0.0,51.13,51.13,0.0,0.0,50.95,50.95,0.0,0.0,50.97,50.97,0.0,0.0
2016-09-25,51.15,51.15,0.0,0.0,51.15,51.15,0.0,0.0,50.94,50.94,0.0,0.0,50.94,50.94,0.0,0.0
2016-10-02,50.96,50.96,0.0,0.0,50.96,50.96,0.0,0.0,50.85,50.85,0.0,0.0,50.91,50.91,0.0,0.0
2016-10-09,50.94,50.94,0.0,0.0,50.95,50.95,0.0,0.0,50.89,50.89,0.0,0.0,50.9,50.9,0.0,0.0
2016-10-16,50.9,50.9,0.0,0.0,50.98,50.98,0.0,0.0,50.9,50.9,0.0,0.0,50.94,50.94,0.0,0.0
2016-10-23,50.96,50.96,0.0,0.0,50.96,50.96,0.0,0.0,50.85,50.85,0.0,0.0,50.86,50.86,0.0,0.0
2016-10-30,50.84,50.84,0.0,0.0,50.88,50.88,0.0,0.0,50.77,50.77,0.0,0.0,50.77,50.77,0.0,0.0
2016-11-06,50.28,50.28,0.0,0.0,50.64,50.64,0.0,0.0,50.15,50.15,0.0,0.0,50.22,50.22,0.0,0.0
2016-11-13,50.13,50.13,0.0,0.0,50.19,50.19,0.0,0.0,49.96,49.96,0.0,0.0,50.1,50.1,0.0,0.0
2016-11-20,49.8,49.8,0.0,0.0,50.0,50.0,0.0,0.0,49.74,49.74,0.0,0.0,49.97,49.97,0.0,0.0
2016-11-27,49.85,49.85,0.0,0.0,49.85,49.85,0.0,0.0,49.59,49.59,0.0,0.0,49.6,49.6,0.0,0.0
2016-12-04,49.84,49.84,0.0,0.0,49.84,49.84,0.0,0.0,49.73,49.73,0.0,0.0,49.78,49.78,0.0,0.0
2016-12-11,49.5,49.5,0.0,0.0,49.52,49.52,0.0,0.0,49.33,49.33,0.0,0.0,49.45,49.45,0.0,0.0
2016-12-18,49.54,49.54,0.0,0.0,49.54,49.54,0.0,0.0,49.38,49.38,0.0,0.0,49.39,49.39,0.0,0.0
2016-12-25,49.74,49.74,0.0,0.0,49.77,49.77,0.0,0.0,49.58,49.58,0.0,0.0,49.68,49.68,0.0,0.0
2017-01-01,49.66,49.66,0.0,0.0,49.87,49.87,0.0,0.0,49.66,49.66,0.0,0.0,49.82,49.82,0.0,0.0
2017-01-08,49.76,49.76,0.0,0.0,49.77,49.77,0.0,0.0,49.62,49.62,0.0,0.0,49.62,49.62,0.0,0.0
2017-01-15,49.57,49.57,0.0,0.0,49.82,49.82,0.0,0.0,49.57,49.57,0.0,0.0,49.69,49.69,0.0,0.0
2017-01-22,49.74,49.74,0.0,0.0,49.74,49.74,0.0,0.0,49.61,49.61,0.0,0.0,49.62,49.62,0.0,0.0
2017-01-29,49.58,49.58,0.0,0.0,49.74,49.74,0.0,0.0,49.58,49.58,0.0,0.0,49.72,49.72,0.0,0.0
2017-02-05,49.82,49.82,0.0,0.0,49.82,49.82,0.0,0.0,49.66,49.66,0.0,0.0,49.67,49.67,0.0,0.0
2017-02-12,49.93,49.93,0.0,0.0,49.93,49.93,0.0,0.0,49.69,49.69,0.0,0.0,49.72,49.72,0.0,0.0
2017-02-19,50.01,50.01,0.0,0.0,50.03,50.03,0.0,0.0,49.81,49.81,0.0,0.0,49.87,49.87,0.0,0.0
2017-02-26,49.38,49.38,0.0,0.0,49.53,49.53,0.0,0.0,49.38,49.38,0.0,0.0,49.5,49.5,0.0,0.0
2017-03-05,49.23,49.23,0.0,0.0,49.23,49.23,0.0,0.0,49.07,49.07,0.0,0.0,49.19,49.19,0.0,0.0
2017-03-12,49.39,49.39,0.0,0.0,49.61,49.61,0.0,0.0,49.34,49.34,0.0,0.0,49.61,49.61,0.0,0.0
2017-03-19,49.71,49.71,0.0,0.0,49.81,49.81,0.0,0.0,49.65,49.65,0.0,0.0,49.73,49.73,0.0,0.0
2017-03-26,49.58,49.58,0.0,0.0,49.82,49.82,0.0,0.0,49.58,49.58,0.0,0.0,49.68,49.68,0.0,0.0
2017-04-02,49.73,49.73,0.0,0.0,49.76,49.76,0.0,0.0,49.67,49.67,0.0,0.0,49.74,49.74,0.0,0.0
2017-04-09,49.94,49.94,0.0,0.0,50.04,50.04,0.0,0.0,49.86,49.86,0.0,0.0,49.86,49.86,0.0,0.0
2017-04-16,49.93,49.93,0.0,0.0,49.95,49.95,0.0,0.0,49.76,49.76,0.0,0.0,49.9,49.9,0.0,0.0
2017-04-23,49.71,49.71,0.0,0.0,49.86,49.86,0.0,0.0,49.67,49.67,0.0,0.0,49.67,49.67,0.0,0.0
2017-04-30,49.82,49.82,0.0,0.0,49.82,49.82,0.0,0.0,49.62,49.62,0.0,0.0,49.62,49.62,0.0,0.0
2017-05-07,49.72,49.72,0.0,0.0,49.86,49.86,0.0,0.0,49.72,49.72,0.0,0.0,49.86,49.86,0.0,0.0
2017-05-14,49.9,49.9,0.0,0.0,50.04,50.04,0.0,0.0,49.89,49.89,0.0,0.0,49.91,49.91,0.0,0.0
2017-05-21,49.98,49.98,0.0,0.0,50.09,50.09,0.0,0.0,49.98,49.98,0.0,0.0,50.06,50.06,0.0,0.0
2017-05-28,49.98,49.98,0.0,0.0,50.1,50.1,0.0,0.0,49.98,49.98,0.0,0.0,50.04,50.04,0.0,0.0
2017-06-04,50.0,50.0,0.0,0.0,50.03,50.03,0.0,0.0,49.95,49.95,0.0,0.0,49.98,49.98,0.0,0.0
2017-06-11,49.82,49.82,0.0,0.0,49.99,49.99,0.0,0.0,49.82,49.82,0.0,0.0,49.82,49.82,0.0,0.0
2017-06-18,49.97,49.97,0.0,0.0,50.02,50.02,0.0,0.0,49.89,49.89,0.0,0.0,49.97,49.97,0.0,0.0
2017-06-25,49.68,49.68,0.0,0.0,49.68,49.68,0.0,0.0,49.47,49.47,0.0,0.0,49.49,49.49,0.0,0.0
2017-07-02,49.66,49.66,0.0,0.0,49.66,49.66,0.0,0.0,49.51,49.51,0.0,0.0,49.61,49.61,0.0,0.0
2017-07-09,49.73,49.73,0.0,0.0,49.75,49.75,0.0,0.0,49.6,49.6,0.0,0.0,49.63,49.63,0.0,0.0
2017-07-16,49.93,49.93,0.0,0.0,49.93,49.93,0.0,0.0,49.84,49.84,0.0,0.0,49.86,49.86,0.0,0.0
2017-07-23,49.79,49.79,0.0,0.0,49.84,49.84,0.0,0.0,49.79,49.79,0.0,0.0,49.81,49.81,0.0,0.0
2017-07-30,49.84,49.84,0.0,0.0,49.84,49.84,0.0,0.0,49.71,49.71,0.0,0.0,49.81,49.81,0.0,0.0
2017-08-06,49.73,49.73,0.0,0.0,49.88,49.88,0.0,0.0,49.73,49.73,0.0,0.0,49.79,49.79,0.0,0.0
2017-08-13,49.89,49.89,0.0,0.0,49.94,49.94,0.0,0.0,49.82,49.82,0.0,0.0,49.94,49.94,0.0,0.0
2017-08-20,49.92,49.92,0.0,0.0,49.97,49.97,0.0,0.0,49.91,49.91,0.0,0.0,49.97,49.97,0.0,0.0
2017-08-27,49.92,49.92,0.0,0.0,49.96,49.96,0.0,0.0,49.82,49.82,0.0,0.0,49.84,49.84,0.0,0.0
2017-09-03,49.97,49.97,0.0,0.0,49.97,49.97,0.0,0.0,49.88,49.88,0.0,0.0,49.92,49.92,0.0,0.0
2017-09-10,49.98,49.98,0.0,0.0,49.99,49.99,0.0,0.0,49.81,49.81,0.0,0.0,49.82,49.82,0.0,0.0
2017-09-17,49.97,49.97,0.0,0.0,49.97,49.97,0.0,0.0,49.84,49.84,0.0,0.0,49.91,49.91,0.0,0.0
2017-09-24,49.93,49.93,0.0,0.0,49.93,49.93,0.0,0.0,49.76,49.76,0.0,0.0,49.82,49.82,0.0,0.0
2017-10-01,49.74,49.74,0.0,0.0,49.8,49.8,0.0,0.0,49.72,49.72,0.0,0.0,49.75,49.75,0.0,0.0
2017-10-08,49.89,49.89,0.0,0.0,49.9,49.9,0.0,0.0,49.84,49.84,0.0,0.0,49.85,49.85,0.0,0.0
2017-10-15,49.67,49.67,0.0,0.0,49.8,49.8,0.0,0.0,49.6,49.6,0.0,0.0,49.8,49.8,0.0,0.0
2017-10-22,49.8,49.8,0.0,0.0,49.82,49.82,0.0,0.0,49.63,49.63,0.0,0.0,49.79,49.79,0.0,0.0
2017-10-29,49.77,49.77,0.0,0.0,49.83,49.83,0.0,0.0,49.72,49.72,0.0,0.0,49.8,49.8,0.0,0.0
2017-11-05,49.5,49.5,0.0,0.0,49.65,49.65,0.0,0.0,49.5,49.5,0.0,0.0,49.6,49.6,0.0,0.0
2017-11-12,49.71,49.71,0.0,0.0,49.71,49.71,0.0,0.0,49.62,49.62,0.0,0.0,49.66,49.66,0.0,0.0
2017-11-19,49.64,49.64,0.0,0.0,49.77,49.77,0.0,0.0,49.64,49.64,0.0,0.0,49.73,49.73,0.0,0.0
2017-11-26,49.45,49.45,0.0,0.0,49.63,49.63,0.0,0.0,49.45,49.45,0.0,0.0,49.55,49.55,0.0,0.0
2017-12-03,49.54,49.54,0.0,0.0,49.64,49.64,0.0,0.0,49.54,49.54,0.0,0.0,49.56,49.56,0.0,0.0
2017-12-10,49.67,49.67,0.0,0.0,49.68,49.68,0.0,0.0,49.57,49.57,0.0,0.0,49.6,49.6,0.0,0.0
2017-12-17,49.5,49.5,0.0,0.0,49.5,49.5,0.0,0.0,49.39,49.39,0.0,0.0,49.46,49.46,0.0,0.0
2017-12-24,49.46,49.46,0.0,0.0,49.59,49.59,0.0,0.0,49.46,49.46,0.0,0.0,49.48,49.48,0.0,0.0
2017-12-31,49.46,49.46,0.0,0.0,49.53,49.53,0.0,0.0,49.4,49.4,0.0,0.0,49.48,49.48,0.0,0.0
2018-01-07,49.28,49.28,0.0,0.0,49.37,49.37,0.0,0.0,49.28,49.28,0.0,0.0,49.31,49.31,0.0,0.0
2018-01-14,49.24,49.24,0.0,0.0,49.27,49.27,0.0,0.0,49.08,49.08,0.0,0.0,49.1,49.1,0.0,0.0
2018-01-21,48.96,48.96,0.0,0.0,49.04,49.04,0.0,0.0,48.93,48.93,0.0,0.0,48.94,48.94,0.0,0.0
2018-01-28,48.55,48.55,0.0,0.0,48.73,48.73,0.0,0.0,48.41,48.41,0.0,0.0,48.59,48.59,0.0,0.0
2018-02-04,48.41,48.41,0.0,0.0,48.49,48.49,0.0,0.0,48.4,48.4,0.0,0.0,48.43,48.43,0.0,0.0
2018-02-11,48.38,48.38,0.0,0.0,48.48,48.48,0.0,0.0,48.33,48.33,0.0,0.0,48.48,48.48,0.0,0.0
2018-02-18,48.38,48.38,0.0,0.0,48.52,48.52,0.0,0.0,48.38,48.38,0.0,0.0,48.38,48.38,0.0,0.0
2018-02-25,48.39,48.39,0.0,0.0,48.39,48.39,0.0,0.0,48.23,48.23,0.0,0.0,48.25,48.25,0.0,0.0
2018-03-04,48.25,48.25,0.0,0.0,48.49,48.49,0.0,0.0,48.25,48.25,0.0,0.0,48.43,48.43,0.0,0.0
2018-03-11,48.31,48.31,0.0,0.0,48.5,48.5,0.0,0.0,48.29,48.29,0.0,0.0,48.33,48.33,0.0,0.0
2018-03-18,48.42,48.42,0.0,0.0,48.54,48.54,0.0,0.0,48.32,48.32,0.0,0.0,48.51,48.51,0.0,0.0
2018-03-25,48.47,48.47,0.0,0.0,48.68,48.68,0.0,0.0,48.42,48.42,0.0,0.0,48.47,48.47,0.0,0.0
2018-04-01,48.47,48.47,0.0,0.0,48.6,48.6,0.0,0.0,48.37,48.37,0.0,0.0,48.53,48.53,0.0,0.0
2018-04-08,48.5,48.5,0.0,0.0,48.6,48.6,0.0,0.0,48.43,48.43,0.0,0.0,48.6,48.6,0.0,0.0
2018-04-15,48.24,48.24,0.0,0.0,48.28,48.28,0.0,0.0,48.13,48.13,0.0,0.0,48.16,48.16,0.0,0.0
2018-04-22,48.35,48.35,0.0,0.0,48.4,48.4,0.0,0.0,48.23,48.23,0.0,0.0,48.23,48.23,0.0,0.0
2018-04-29,48.27,48.27,0.0,0.0,48.28,48.28,0.0,0.0,48.18,48.18,0.0,0.0,48.2,48.2,0.0,0.0
2018-05-06,48.19,48.19,0.0,0.0,48.3,48.3,0.0,0.0,48.12,48.12,0.0,0.0,48.28,48.28,0.0,0.0
2018-05-13,47.96,47.96,0.0,0.0,48.05,48.05,0.0,0.0,47.93,47.93,0.0,0.0,47.97,47.97,0.0,0.0
2018-05-20,48.12,48.12,0.0,0.0,48.37,48.37,0.0,0.0,48.12,48.12,0.0,0.0,48.36,48.36,0.0,0.0
2018-05-27,48.28,48.28,0.0,0.0,48.39,48.39,0.0,0.0,48.28,48.28,0.0,0.0,48.3,48.3,0.0,0.0
2018-06-03,48.08,48.08,0.0,0.0,48.23,48.23,0.0,0.0,48.02,48.02,0.0,0.0,48.23,48.23,0.0,0.0
2018-06-10,48.31,48.31,0.0,0.0,48.43,48.43,0.0,0.0,48.22,48.22,0.0,0.0,48.36,48.36,0.0,0.0
2018-06-17,48.38,48.38,0.0,0.0,48.43,48.43,0.0,0.0,48.27,48.27,0.0,0.0,48.31,48.31,0.0,0.0
2018-06-24,48.37,48.37,0.0,0.0,48.47,48.47,0.0,0.0,48.25,48.25,0.0,0.0,48.41,48.41,0.0,0.0
2018-07-01,48.38,48.38,0.0,0.0,48.49,48.49,0.0,0.0,48.34,48.34,0.0,0.0,48.45,48.45,0.0,0.0
2018-07-08,48.5,48.5,0.0,0.0,48.57,48.57,0.0,0.0,48.4,48.4,0.0,0.0,48.57,48.57,0.0,0.0
2018-07-15,48.43,48.43,0.0,0.0,48.43,48.43,0.0,0.0,48.35,48.35,0.0,0.0,48.39,48.39,0.0,0.0
2018-07-22,48.28,48.28,0.0,0.0,48.44,48.44,0.0,0.0,48.28,48.28,0.0,0.0,48.42,48.42,0.0,0.0
2018-07-29,48.31,48.31,0.0,0.0,48.45,48.45,0.0,0.0,48.26,48.26,0.0,0.0,48.43,48.43,0.0,0.0
2018-08-05,48.6,48.6,0.0,0.0,48.6,48.6,0.0,0.0,48.38,48.38,0.0,0.0,48.51,48.51,0.0,0.0
2018-08-12,48.44,48.44,0.0,0.0,48.6,48.6,0.0,0.0,48.41,48.41,0.0,0.0,48.51,48.51,0.0,0.0
2018-08-19,48.53,48.53,0.0,0.0,48.66,48.66,0.0,0.0,48.45,48.45,0.0,0.0,48.52,48.52,0.0,0.0
2018-08-26,48.41,48.41,0.0,0.0,48.6,48.6,0.0,0.0,48.41,48.41,0.0,0.0,48.49,48.49,0.0,0.0
2018-09-02,48.27,48.27,0.0,0.0,48.28,48.28,0.0,0.0,48.19,48.19,0.0,0.0,48.24,48.24,0.0,0.0
2018-09-09,48.2,48.2,0.0,0.0,48.2,48.2,0.0,0.0,48.13,48.13,0.0,0.0,48.13,48.13,0.0,0.0
2018-09-16,48.04,48.04,0.0,0.0,48.21,48.21,0.0,0.0,47.99,47.99,0.0,0.0,48.06,48.06,0.0,0.0
2018-09-23,47.97,47.97,0.0,0.0,48.14,48.14,0.0,0.0,47.9,47.9,0.0,0.0,48.06,48.06,0.0,0.0
2018-09-30,47.37,47.37,0.0,0.0,47.6,47.6,0.0,0.0,47.36,47.36,0.0,0.0,47.55,47.55,0.0,0.0
2018-10-07,47.79,47.79,0.0,0.0,47.79,47.79,0.0,0.0,47.65,47.65,0.0,0.0,47.7,47.7,0.0,0.0
2018-10-14,47.66,47.66,0.0,0.0,47.69,47.69,0.0,0.0,47.55,47.55,0.0,0.0,47.55,47.55,0.0,0.0
2018-10-21,47.76,47.76,0.0,0.0,47.89,47.89,0.0,0.0,47.76,47.76,0.0,0.0,47.76,47.76,0.0,0.0
2018-10-28,47.34,47.34,0.0,0.0,47.41,47.41,0.0,0.0,47.29,47.29,0.0,0.0,47.32,47.32,0.0,0.0
2018-11-04,47.45,47.45,0.0,0.0,47.54,47.54,0.0,0.0,47.45,47.45,0.0,0.0,47.46,47.46,0.0,0.0
2018-11-11,48.15,48.15,0.0,0.0,48.83,48.83,0.0,0.0,47.82,47.82,0.0,0.0,47.82,47.82,0.0,0.0
2018-11-18,47.86,47.86,0.0,0.0,47.86,47.86,0.0,0.0,47.67,47.67,0.0,0.0,47.72,47.72,0.0,0.0
2018-11-25,47.94,47.94,0.0,0.0,47.96,47.96,0.0,0.0,47.85,47.85,0.0,0.0,47.95,47.95,0.0,0.0
2018-12-02,48.2,48.2,0.0,0.0,48.27,48.27,0.0,0.0,48.14,48.14,0.0,0.0,48.21,48.21,0.0,0.0
2018-12-09,48.16,48.16,0.0,0.0,48.32,48.32,0.0,0.0,48.16,48.16,0.0,0.0,48.32,48.32,0.0,0.0
2018-12-16,48.58,48.58,0.0,0.0,48.58,48.58,0.0,0.0,48.43,48.43,0.0,0.0,48.48,48.48,0.0,0.0
2018-12-23,48.65,48.65,0.0,0.0,48.73,48.73,0.0,0.0,48.58,48.58,0.0,0.0,48.7,48.7,0.0,0.0
2018-12-30,48.87,48.87,0.0,0.0,48.87,48.87,0.0,0.0,48.79,48.79,0.0,0.0,48.79,48.79,0.0,0.0
2019-01-06,48.83,48.83,0.0,0.0,48.83,48.83,0.0,0.0,48.74,48.74,0.0,0.0,48.76,48.76,0.0,0.0
2019-01-13,48.73,48.73,0.0,0.0,48.82,48.82,0.0,0.0,48.65,48.65,0.0,0.0,48.76,48.76,0.0,0.0
2019-01-20,48.77,48.77,0.0,0.0,48.8,48.8,0.0,0.0,48.7,48.7,0.0,0.0,48.74,48.74,0.0,0.0
2019-01-27,48.72,48.72,0.0,0.0,48.79,48.79,0.0,0.0,48.68,48.68,0.0,0.0,48.74,48.74,0.0,0.0
2019-02-03,48.92,48.92,0.0,0.0,48.96,48.96,0.0,0.0,48.89,48.89,0.0,0.0,48.91,48.91,0.0,0.0
2019-02-10,48.98,48.98,0.0,0.0,49.01,49.01,0.0,0.0,48.92,48.92,0.0,0.0,49.01,49.01,0.0,0.0
2019-02-17,49.01,49.01,0.0,0.0,49.01,49.01,0.0,0.0,48.92,48.92,0.0,0.0,48.96,48.96,0.0,0.0
2019-02-24,48.71,48.71,0.0,0.0,48.84,48.84,0.0,0.0,48.71,48.71,0.0,0.0,48.82,48.82,0.0,0.0
2019-03-03,49.1,49.1,0.0,0.0,49.1,49.1,0.0,0.0,48.98,48.98,0.0,0.0,49.01,49.01,0.0,0.0
2019-03-10,49.14,49.14,0.0,0.0,49.17,49.17,0.0,0.0,49.12,49.12,0.0,0.0,49.12,49.12,0.0,0.0
2019-03-17,49.42,49.42,0.0,0.0,49.53,49.53,0.0,0.0,49.4,49.4,0.0,0.0,49.51,49.51,0.0,0.0
2019-03-24,49.36,49.36,0.0,0.0,49.36,49.36,0.0,0.0,49.2,49.2,0.0,0.0,49.2,49.2,0.0,0.0
2019-03-31,49.26,49.26,0.0,0.0,49.27,49.27,0.0,0.0,49.19,49.19,0.0,0.0,49.22,49.22,0.0,0.0
2019-04-07,49.25,49.25,0.0,0.0,49.25,49.25,0.0,0.0,49.19,49.19,0.0,0.0,49.24,49.24,0.0,0.0
2019-04-14,49.21,49.21,0.0,0.0,49.24,49.24,0.0,0.0,49.2,49.2,0.0,0.0,49.24,49.24,0.0,0.0
2019-04-21,49.33,49.33,0.0,0.0,49.36,49.36,0.0,0.0,49.28,49.28,0.0,0.0,49.32,49.32,0.0,0.0
2019-04-28,49.5,49.5,0.0,0.0,49.5,49.5,0.0,0.0,49.27,49.27,0.0,0.0,49.35,49.35,0.0,0.0
2019-05-05,49.45,49.45,0.0,0.0,49.46,49.46,0.0,0.0,49.4,49.4,0.0,0.0,49.45,49.45,0.0,0.0
2019-05-12,49.39,49.39,0.0,0.0,49.49,49.49,0.0,0.0,49.39,49.39,0.0,0.0,49.49,49.49,0.0,0.0
2019-05-19,49.59,49.59,0.0,0.0,49.61,49.61,0.0,0.0,49.56,49.56,0.0,0.0,49.6,49.6,0.0,0.0
2019-05-26,49.73,49.73,0.0,0.0,49.74,49.74,0.0,0.0,49.7,49.7,0.0,0.0,49.7,49.7,0.0,0.0
2019-06-02,49.76,49.76,0.0,0.0,49.81,49.81,0.0,0.0,49.76,49.76,0.0,0.0,49.76,49.76,0.0,0.0
2019-06-09,49.77,49.77,0.0,0.0,49.81,49.81,0.0,0.0,49.74,49.74,0.0,0.0,49.76,49.76,0.0,0.0
2019-06-16,50.04,50.04,0.0,0.0,50.04,50.04,0.0,0.0,49.98,49.98,0.0,0.0,50.0,50.0,0.0,0.0
2019-06-23,50.04,50.04,0.0,0.0,50.04,50.04,0.0,0.0,49.93,49.93,0.0,0.0,50.0,50.0,0.0,0.0
2019-06-30,50.09,50.09,0.0,0.0,50.09,50.09,0.0,0.0,50.02,50.02,0.0,0.0,50.05,50.05,0.0,0.0
2019-07-07,49.93,49.93,0.0,0.0,49.97,49.97,0.0,0.0,49.93,49.93,0.0,0.0,49.97,49.97,0.0,0.0
2019-07-14,50.22,50.22,0.0,0.0,50.22,50.22,0.0,0.0,50.11,50.11,0.0,0.0,50.18,50.18,0.0,0.0
2019-07-21,50.15,50.15,0.0,0.0,50.19,50.19,0.0,0.0,50.14,50.14,0.0,0.0,50.18,50.18,0.0,0.0
2019-07-28,50.15,50.15,0.0,0.0,50.45,50.45,0.0,0.0,50.14,50.14,0.0,0.0,50.45,50.45,0.0,0.0
2019-08-04,50.24,50.24,0.0,0.0,50.28,50.28,0.0,0.0,50.24,50.24,0.0,0.0,50.27,50.27,0.0,0.0
2019-08-11,50.24,50.24,0.0,0.0,50.27,50.27,0.0,0.0,50.21,50.21,0.0,0.0,50.24,50.24,0.0,0.0
