Date,iShares Morningstar Mid-Cap Value_Open_average,iShares Morningstar Mid-Cap Value_Open_max,iShares Morningstar Mid-Cap Value_Open_volatility,iShares Morningstar Mid-Cap Value_Open_change,iShares Morningstar Mid-Cap Value_High_average,iShares Morningstar Mid-Cap Value_High_max,iShares Morningstar Mid-Cap Value_High_volatility,iShares Morningstar Mid-Cap Value_High_change,iShares Morningstar Mid-Cap Value_Low_average,iShares Morningstar Mid-Cap Value_Low_max,iShares Morningstar Mid-Cap Value_Low_volatility,iShares Morningstar Mid-Cap Value_Low_change,iShares Morningstar Mid-Cap Value_Close_average,iShares Morningstar Mid-Cap Value_Close_max,iShares Morningstar Mid-Cap Value_Close_volatility,iShares Morningstar Mid-Cap Value_Close_change
2017-04-09,145.81,145.81,0.0,0.0,146.52,146.52,0.0,0.0,145.53,145.53,0.0,0.0,146.5,146.5,0.0,0.0
2017-04-16,148.91,148.91,0.0,0.0,148.91,148.91,0.0,0.0,147.86,147.86,0.0,0.0,148.24,148.24,0.0,0.0
2017-04-23,148.21,148.21,0.0,0.0,148.21,148.21,0.0,0.0,147.39,147.39,0.0,0.0,147.87,147.87,0.0,0.0
2017-04-30,147.57,147.57,0.0,0.0,147.57,147.57,0.0,0.0,146.67,146.67,0.0,0.0,147.13,147.13,0.0,0.0
2017-05-07,146.24,146.24,0.0,0.0,147.23,147.23,0.0,0.0,146.24,146.24,0.0,0.0,146.97,146.97,0.0,0.0
2017-05-14,145.45,145.45,0.0,0.0,146.07,146.07,0.0,0.0,145.45,145.45,0.0,0.0,146.07,146.07,0.0,0.0
2017-05-21,147.05,147.05,0.0,0.0,147.05,147.05,0.0,0.0,146.74,146.74,0.0,0.0,146.95,146.95,0.0,0.0
2017-05-28,148.05,148.05,0.0,0.0,148.42,148.42,0.0,0.0,147.62,147.62,0.0,0.0,147.62,147.62,0.0,0.0
2017-06-04,148.24,148.24,0.0,0.0,148.96,148.96,0.0,0.0,148.24,148.24,0.0,0.0,148.86,148.86,0.0,0.0
2017-06-11,149.77,149.77,0.0,0.0,150.01,150.01,0.0,0.0,149.4,149.4,0.0,0.0,149.84,149.84,0.0,0.0
2017-06-18,147.69,147.69,0.0,0.0,148.97,148.97,0.0,0.0,147.69,147.69,0.0,0.0,148.97,148.97,0.0,0.0
2017-06-25,148.43,148.43,0.0,0.0,149.54,149.54,0.0,0.0,148.43,148.43,0.0,0.0,149.33,149.33,0.0,0.0
2017-07-02,146.63,146.63,0.0,0.0,147.65,147.65,0.0,0.0,146.63,146.63,0.0,0.0,147.28,147.28,0.0,0.0
2017-07-09,149.23,149.23,0.0,0.0,149.89,149.89,0.0,0.0,149.23,149.23,0.0,0.0,149.68,149.68,0.0,0.0
2017-07-16,149.54,149.54,0.0,0.0,149.68,149.68,0.0,0.0,149.5,149.5,0.0,0.0,149.51,149.51,0.0,0.0
2017-07-23,150.04,150.04,0.0,0.0,150.04,150.04,0.0,0.0,149.31,149.31,0.0,0.0,149.69,149.69,0.0,0.0
2017-07-30,149.31,149.31,0.0,0.0,149.59,149.59,0.0,0.0,149.24,149.24,0.0,0.0,149.42,149.42,0.0,0.0
2017-08-06,146.88,146.88,0.0,0.0,148.05,148.05,0.0,0.0,146.88,146.88,0.0,0.0,147.57,147.57,0.0,0.0
2017-08-13,144.7,144.7,0.0,0.0,144.7,144.7,0.0,0.0,144.1,144.1,0.0,0.0,144.45,144.45,0.0,0.0
2017-08-20,146.27,146.27,0.0,0.0,146.31,146.31,0.0,0.0,145.56,145.56,0.0,0.0,145.92,145.92,0.0,0.0
2017-08-27,146.76,146.76,0.0,0.0,147.63,147.63,0.0,0.0,146.76,146.76,0.0,0.0,147.55,147.55,0.0,0.0
2017-09-03,146.39,146.39,0.0,0.0,147.76,147.76,0.0,0.0,146.39,146.39,0.0,0.0,147.56,147.56,0.0,0.0
2017-09-10,149.77,149.77,0.0,0.0,150.07,150.07,0.0,0.0,149.54,149.54,0.0,0.0,149.71,149.71,0.0,0.0
2017-09-17,150.07,150.07,0.0,0.0,150.76,150.76,0.0,0.0,149.87,149.87,0.0,0.0,150.69,150.69,0.0,0.0
2017-09-24,151.26,151.26,0.0,0.0,151.87,151.87,0.0,0.0,150.87,150.87,0.0,0.0,151.79,151.79,0.0,0.0
2017-10-01,152.12,152.12,0.0,0.0,152.36,152.36,0.0,0.0,151.65,151.65,0.0,0.0,151.65,151.65,0.0,0.0
2017-10-08,152.46,152.46,0.0,0.0,152.78,152.78,0.0,0.0,152.28,152.28,0.0,0.0,152.52,152.52,0.0,0.0
2017-10-15,153.63,153.63,0.0,0.0,153.63,153.63,0.0,0.0,152.53,152.53,0.0,0.0,152.62,152.62,0.0,0.0
2017-10-22,151.48,151.48,0.0,0.0,151.48,151.48,0.0,0.0,151.19,151.19,0.0,0.0,151.36,151.36,0.0,0.0
2017-10-29,152.15,152.15,0.0,0.0,153.18,153.18,0.0,0.0,152.15,152.15,0.0,0.0,153.18,153.18,0.0,0.0
2017-11-05,151.03,151.03,0.0,0.0,152.17,152.17,0.0,0.0,151.03,151.03,0.0,0.0,152.17,152.17,0.0,0.0
2017-11-12,152.84,152.84,0.0,0.0,153.1,153.1,0.0,0.0,152.75,152.75,0.0,0.0,153.02,153.02,0.0,0.0
2017-11-19,153.62,153.62,0.0,0.0,153.62,153.62,0.0,0.0,153.06,153.06,0.0,0.0,153.08,153.08,0.0,0.0
2017-11-26,158.43,158.43,0.0,0.0,159.5,159.5,0.0,0.0,158.34,158.34,0.0,0.0,158.41,158.41,0.0,0.0
2017-12-03,159.12,159.12,0.0,0.0,159.12,159.12,0.0,0.0,158.37,158.37,0.0,0.0,158.55,158.55,0.0,0.0
2017-12-10,158.63,158.63,0.0,0.0,159.57,159.57,0.0,0.0,158.63,158.63,0.0,0.0,159.45,159.45,0.0,0.0
2017-12-17,159.18,159.18,0.0,0.0,159.69,159.69,0.0,0.0,159.18,159.18,0.0,0.0,159.53,159.53,0.0,0.0
2017-12-24,160.91,160.91,0.0,0.0,160.91,160.91,0.0,0.0,159.49,159.49,0.0,0.0,159.49,159.49,0.0,0.0
2017-12-31,162.37,162.37,0.0,0.0,162.52,162.52,0.0,0.0,161.74,161.74,0.0,0.0,162.41,162.41,0.0,0.0
2018-01-07,164.86,164.86,0.0,0.0,165.49,165.49,0.0,0.0,164.78,164.78,0.0,0.0,165.43,165.43,0.0,0.0
2018-01-14,165.64,165.64,0.0,0.0,166.86,166.86,0.0,0.0,165.64,165.64,0.0,0.0,166.86,166.86,0.0,0.0
2018-01-21,167.8,167.8,0.0,0.0,168.22,168.22,0.0,0.0,166.75,166.75,0.0,0.0,166.75,166.75,0.0,0.0
2018-01-28,159.25,159.25,0.0,0.0,160.48,160.48,0.0,0.0,154.62,154.62,0.0,0.0,154.62,154.62,0.0,0.0
2018-02-04,154.6,154.6,0.0,0.0,156.04,156.04,0.0,0.0,153.68,153.68,0.0,0.0,155.26,155.26,0.0,0.0
2018-02-11,158.84,158.84,0.0,0.0,160.89,160.89,0.0,0.0,158.84,158.84,0.0,0.0,160.13,160.13,0.0,0.0
2018-02-18,160.25,160.25,0.0,0.0,160.69,160.69,0.0,0.0,159.73,159.73,0.0,0.0,160.36,160.36,0.0,0.0
2018-02-25,156.23,156.23,0.0,0.0,159.51,159.51,0.0,0.0,155.75,155.75,0.0,0.0,159.16,159.16,0.0,0.0
2018-03-04,161.29,161.29,0.0,0.0,161.4,161.4,0.0,0.0,161.14,161.14,0.0,0.0,161.19,161.19,0.0,0.0
2018-03-11,159.59,159.59,0.0,0.0,159.59,159.59,0.0,0.0,157.9,157.9,0.0,0.0,158.24,158.24,0.0,0.0
2018-03-18,154.39,154.39,0.0,0.0,155.16,155.16,0.0,0.0,153.19,153.19,0.0,0.0,155.16,155.16,0.0,0.0
2018-03-25,155.42,155.42,0.0,0.0,155.92,155.92,0.0,0.0,151.36,151.36,0.0,0.0,152.72,152.72,0.0,0.0
2018-04-01,155.7,155.7,0.0,0.0,156.72,156.72,0.0,0.0,155.2,155.2,0.0,0.0,155.32,155.32,0.0,0.0
2018-04-08,157.79,157.79,0.0,0.0,158.69,158.69,0.0,0.0,157.71,157.71,0.0,0.0,158.34,158.34,0.0,0.0
2018-04-15,158.83,158.83,0.0,0.0,158.83,158.83,0.0,0.0,158.23,158.23,0.0,0.0,158.79,158.79,0.0,0.0
2018-04-22,159.24,159.24,0.0,0.0,159.3,159.3,0.0,0.0,157.98,157.98,0.0,0.0,157.98,157.98,0.0,0.0
2018-04-29,157.09,157.09,0.0,0.0,157.66,157.66,0.0,0.0,156.73,156.73,0.0,0.0,156.95,156.95,0.0,0.0
2018-05-06,159.97,159.97,0.0,0.0,159.97,159.97,0.0,0.0,158.93,158.93,0.0,0.0,159.11,159.11,0.0,0.0
2018-05-13,160.91,160.91,0.0,0.0,160.96,160.96,0.0,0.0,160.62,160.62,0.0,0.0,160.75,160.75,0.0,0.0
2018-05-20,159.59,159.59,0.0,0.0,159.59,159.59,0.0,0.0,159.0,159.0,0.0,0.0,159.3,159.3,0.0,0.0
2018-05-27,159.28,159.28,0.0,0.0,159.97,159.97,0.0,0.0,159.27,159.27,0.0,0.0,159.62,159.62,0.0,0.0
2018-06-03,161.63,161.63,0.0,0.0,162.65,162.65,0.0,0.0,161.63,161.63,0.0,0.0,162.54,162.54,0.0,0.0
2018-06-10,160.71,160.71,0.0,0.0,161.69,161.69,0.0,0.0,160.71,160.71,0.0,0.0,161.69,161.69,0.0,0.0
2018-06-17,161.28,161.28,0.0,0.0,161.28,161.28,0.0,0.0,159.71,159.71,0.0,0.0,159.71,159.71,0.0,0.0
2018-06-24,158.89,158.89,0.0,0.0,158.94,158.94,0.0,0.0,158.17,158.17,0.0,0.0,158.88,158.88,0.0,0.0
2018-07-01,162.8,162.8,0.0,0.0,162.85,162.85,0.0,0.0,162.33,162.33,0.0,0.0,162.57,162.57,0.0,0.0
2018-07-08,161.78,161.78,0.0,0.0,161.78,161.78,0.0,0.0,160.92,160.92,0.0,0.0,161.24,161.24,0.0,0.0
2018-07-15,160.84,160.84,0.0,0.0,161.58,161.58,0.0,0.0,160.84,160.84,0.0,0.0,161.34,161.34,0.0,0.0
2018-07-22,161.66,161.66,0.0,0.0,162.54,162.54,0.0,0.0,161.66,161.66,0.0,0.0,162.34,162.34,0.0,0.0
2018-07-29,163.15,163.15,0.0,0.0,163.19,163.19,0.0,0.0,162.87,162.87,0.0,0.0,162.88,162.88,0.0,0.0
2018-08-05,162.29,162.29,0.0,0.0,162.29,162.29,0.0,0.0,161.07,161.07,0.0,0.0,161.18,161.18,0.0,0.0
2018-08-12,164.28,164.28,0.0,0.0,164.92,164.92,0.0,0.0,164.28,164.28,0.0,0.0,164.87,164.87,0.0,0.0
2018-08-19,165.62,165.62,0.0,0.0,165.7,165.7,0.0,0.0,165.14,165.14,0.0,0.0,165.19,165.19,0.0,0.0
2018-08-26,164.79,164.79,0.0,0.0,164.79,164.79,0.0,0.0,163.9,163.9,0.0,0.0,164.58,164.58,0.0,0.0
2018-09-02,164.79,164.79,0.0,0.0,164.79,164.79,0.0,0.0,163.82,163.82,0.0,0.0,163.87,163.87,0.0,0.0
2018-09-09,164.79,164.79,0.0,0.0,164.79,164.79,0.0,0.0,164.09,164.09,0.0,0.0,164.09,164.09,0.0,0.0
2018-09-16,165.93,165.93,0.0,0.0,165.93,165.93,0.0,0.0,164.28,164.28,0.0,0.0,164.42,164.42,0.0,0.0
2018-09-23,163.05,163.05,0.0,0.0,163.05,163.05,0.0,0.0,161.35,161.35,0.0,0.0,161.35,161.35,0.0,0.0
2018-09-30,160.68,160.68,0.0,0.0,161.41,161.41,0.0,0.0,160.51,160.51,0.0,0.0,161.3,161.3,0.0,0.0
2018-10-07,153.72,153.72,0.0,0.0,154.78,154.78,0.0,0.0,153.41,153.41,0.0,0.0,154.13,154.13,0.0,0.0
2018-10-14,154.82,154.82,0.0,0.0,154.82,154.82,0.0,0.0,153.68,153.68,0.0,0.0,153.72,153.72,0.0,0.0
2018-10-21,151.15,151.15,0.0,0.0,151.32,151.32,0.0,0.0,148.65,148.65,0.0,0.0,149.13,149.13,0.0,0.0
2018-10-28,153.73,153.73,0.0,0.0,155.41,155.41,0.0,0.0,153.73,153.73,0.0,0.0,155.41,155.41,0.0,0.0
2018-11-04,157.76,157.76,0.0,0.0,157.76,157.76,0.0,0.0,156.66,156.66,0.0,0.0,156.66,156.66,0.0,0.0
2018-11-11,155.54,155.54,0.0,0.0,156.58,156.58,0.0,0.0,155.06,155.06,0.0,0.0,155.51,155.51,0.0,0.0
2018-11-18,154.57,154.57,0.0,0.0,154.88,154.88,0.0,0.0,153.88,153.88,0.0,0.0,154.76,154.76,0.0,0.0
2018-11-25,158.68,158.68,0.0,0.0,161.65,161.65,0.0,0.0,154.42,154.42,0.0,0.0,157.8,157.8,0.0,0.0
2018-12-02,149.07,149.07,0.0,0.0,149.86,149.86,0.0,0.0,147.96,147.96,0.0,0.0,149.71,149.71,0.0,0.0
2018-12-09,145.64,145.64,0.0,0.0,146.16,146.16,0.0,0.0,142.94,142.94,0.0,0.0,142.94,142.94,0.0,0.0
2018-12-16,134.83,134.83,0.0,0.0,138.59,138.59,0.0,0.0,132.21,132.21,0.0,0.0,132.21,132.21,0.0,0.0
2018-12-23,138.66,138.66,0.0,0.0,139.29,139.29,0.0,0.0,137.74,137.74,0.0,0.0,138.81,138.81,0.0,0.0
2018-12-30,142.4,142.4,0.0,0.0,144.24,144.24,0.0,0.0,142.4,142.4,0.0,0.0,143.26,143.26,0.0,0.0
2019-01-06,146.39,146.39,0.0,0.0,146.47,146.47,0.0,0.0,145.72,145.72,0.0,0.0,146.0,146.0,0.0,0.0
2019-01-13,149.23,149.23,0.0,0.0,150.86,150.86,0.0,0.0,149.23,149.23,0.0,0.0,150.4,150.4,0.0,0.0
2019-01-20,149.62,149.62,0.0,0.0,150.71,150.71,0.0,0.0,149.62,149.62,0.0,0.0,150.71,150.71,0.0,0.0
2019-01-27,152.55,152.55,0.0,0.0,153.45,153.45,0.0,0.0,152.25,152.25,0.0,0.0,153.43,153.43,0.0,0.0
2019-02-03,153.98,153.98,0.0,0.0,153.98,153.98,0.0,0.0,152.45,152.45,0.0,0.0,153.61,153.61,0.0,0.0
2019-02-10,156.77,156.77,0.0,0.0,156.77,156.77,0.0,0.0,156.32,156.32,0.0,0.0,156.49,156.49,0.0,0.0
2019-02-17,158.68,158.68,0.0,0.0,159.0,159.0,0.0,0.0,158.22,158.22,0.0,0.0,158.34,158.34,0.0,0.0
2019-02-24,158.43,158.43,0.0,0.0,158.43,158.43,0.0,0.0,155.78,155.78,0.0,0.0,156.91,156.91,0.0,0.0
2019-03-03,153.15,153.15,0.0,0.0,155.22,155.22,0.0,0.0,153.15,153.15,0.0,0.0,155.06,155.06,0.0,0.0
2019-03-10,156.83,156.83,0.0,0.0,157.42,157.42,0.0,0.0,156.83,156.83,0.0,0.0,157.24,157.24,0.0,0.0
2019-03-17,154.15,154.15,0.0,0.0,154.15,154.15,0.0,0.0,153.14,153.14,0.0,0.0,153.3,153.3,0.0,0.0
2019-03-24,156.92,156.92,0.0,0.0,157.59,157.59,0.0,0.0,156.86,156.86,0.0,0.0,157.59,157.59,0.0,0.0
2019-03-31,159.53,159.53,0.0,0.0,159.53,159.53,0.0,0.0,159.0,159.0,0.0,0.0,159.34,159.34,0.0,0.0
2019-04-07,160.23,160.23,0.0,0.0,160.26,160.26,0.0,0.0,159.69,159.69,0.0,0.0,159.73,159.73,0.0,0.0
2019-04-14,158.7,158.7,0.0,0.0,158.7,158.7,0.0,0.0,158.01,158.01,0.0,0.0,158.01,158.01,0.0,0.0
2019-04-21,159.02,159.02,0.0,0.0,159.66,159.66,0.0,0.0,159.02,159.02,0.0,0.0,159.47,159.47,0.0,0.0
2019-04-28,158.0,158.0,0.0,0.0,158.7,158.7,0.0,0.0,158.0,158.0,0.0,0.0,158.7,158.7,0.0,0.0
2019-05-05,153.47,153.47,0.0,0.0,154.45,154.45,0.0,0.0,152.29,152.29,0.0,0.0,153.35,153.35,0.0,0.0
2019-05-12,153.84,153.84,0.0,0.0,154.09,154.09,0.0,0.0,153.2,153.2,0.0,0.0,153.32,153.32,0.0,0.0
2019-05-19,152.9,152.9,0.0,0.0,153.1,153.1,0.0,0.0,152.41,152.41,0.0,0.0,152.82,152.82,0.0,0.0
2019-05-26,147.35,147.35,0.0,0.0,149.57,149.57,0.0,0.0,147.35,147.35,0.0,0.0,149.45,149.45,0.0,0.0
2019-06-02,155.0,155.0,0.0,0.0,155.11,155.11,0.0,0.0,154.22,154.22,0.0,0.0,154.52,154.52,0.0,0.0
2019-06-09,154.99,154.99,0.0,0.0,154.99,154.99,0.0,0.0,154.37,154.37,0.0,0.0,154.5,154.5,0.0,0.0
2019-06-16,157.38,157.38,0.0,0.0,157.38,157.38,0.0,0.0,156.14,156.14,0.0,0.0,156.2,156.2,0.0,0.0
2019-06-23,158.66,158.66,0.0,0.0,159.2,159.2,0.0,0.0,157.6,157.6,0.0,0.0,157.6,157.6,0.0,0.0
2019-06-30,159.65,159.65,0.0,0.0,160.2,160.2,0.0,0.0,159.22,159.22,0.0,0.0,159.54,159.54,0.0,0.0
2019-07-07,160.04,160.04,0.0,0.0,160.04,160.04,0.0,0.0,159.33,159.33,0.0,0.0,159.5,159.5,0.0,0.0
2019-07-14,158.2,158.2,0.0,0.0,158.2,158.2,0.0,0.0,157.52,157.52,0.0,0.0,157.52,157.52,0.0,0.0
2019-07-21,160.88,160.88,0.0,0.0,160.88,160.88,0.0,0.0,160.33,160.33,0.0,0.0,160.33,160.33,0.0,0.0
