Date,First Trust Mid Cap Value AlphaDEX_Open_average,First Trust Mid Cap Value AlphaDEX_Open_max,First Trust Mid Cap Value AlphaDEX_Open_volatility,First Trust Mid Cap Value AlphaDEX_Open_change,First Trust Mid Cap Value AlphaDEX_High_average,First Trust Mid Cap Value AlphaDEX_High_max,First Trust Mid Cap Value AlphaDEX_High_volatility,First Trust Mid Cap Value AlphaDEX_High_change,First Trust Mid Cap Value AlphaDEX_Low_average,First Trust Mid Cap Value AlphaDEX_Low_max,First Trust Mid Cap Value AlphaDEX_Low_volatility,First Trust Mid Cap Value AlphaDEX_Low_change,First Trust Mid Cap Value AlphaDEX_Close_average,First Trust Mid Cap Value AlphaDEX_Close_max,First Trust Mid Cap Value AlphaDEX_Close_volatility,First Trust Mid Cap Value AlphaDEX_Close_change
2016-09-18,29.31,29.31,0.0,0.0,29.41,29.41,0.0,0.0,29.26,29.26,0.0,0.0,29.26,29.26,0.0,0.0
2016-09-25,29.54,29.54,0.0,0.0,29.56,29.56,0.0,0.0,29.46,29.46,0.0,0.0,29.52,29.52,0.0,0.0
2016-10-02,29.91,29.91,0.0,0.0,29.91,29.91,0.0,0.0,29.81,29.81,0.0,0.0,29.85,29.85,0.0,0.0
2016-10-09,29.24,29.24,0.0,0.0,29.31,29.31,0.0,0.0,29.2,29.2,0.0,0.0,29.21,29.21,0.0,0.0
2016-10-16,29.57,29.57,0.0,0.0,29.57,29.57,0.0,0.0,29.48,29.48,0.0,0.0,29.53,29.53,0.0,0.0
2016-10-23,29.12,29.12,0.0,0.0,29.22,29.22,0.0,0.0,29.09,29.09,0.0,0.0,29.22,29.22,0.0,0.0
2016-10-30,29.0,29.0,0.0,0.0,29.21,29.21,0.0,0.0,29.0,29.0,0.0,0.0,29.21,29.21,0.0,0.0
2016-11-06,31.48,31.48,0.0,0.0,31.59,31.59,0.0,0.0,31.48,31.48,0.0,0.0,31.59,31.59,0.0,0.0
2016-11-13,32.02,32.02,0.0,0.0,32.02,32.02,0.0,0.0,31.83,31.83,0.0,0.0,31.97,31.97,0.0,0.0
2016-11-20,32.41,32.41,0.0,0.0,32.41,32.41,0.0,0.0,32.3,32.3,0.0,0.0,32.34,32.34,0.0,0.0
2016-11-27,32.64,32.64,0.0,0.0,32.71,32.71,0.0,0.0,32.57,32.57,0.0,0.0,32.71,32.71,0.0,0.0
2016-12-04,34.0,34.0,0.0,0.0,34.0,34.0,0.0,0.0,33.71,33.71,0.0,0.0,33.71,33.71,0.0,0.0
2016-12-11,33.51,33.51,0.0,0.0,33.58,33.58,0.0,0.0,33.44,33.44,0.0,0.0,33.58,33.58,0.0,0.0
2016-12-18,33.26,33.26,0.0,0.0,33.3,33.3,0.0,0.0,33.22,33.22,0.0,0.0,33.26,33.26,0.0,0.0
2016-12-25,33.31,33.31,0.0,0.0,33.31,33.31,0.0,0.0,32.92,32.92,0.0,0.0,32.92,32.92,0.0,0.0
2017-01-01,33.31,33.31,0.0,0.0,33.31,33.31,0.0,0.0,33.07,33.07,0.0,0.0,33.12,33.12,0.0,0.0
2017-01-08,33.44,33.44,0.0,0.0,33.52,33.52,0.0,0.0,33.31,33.31,0.0,0.0,33.39,33.39,0.0,0.0
2017-01-15,33.05,33.05,0.0,0.0,33.05,33.05,0.0,0.0,32.83,32.83,0.0,0.0,33.0,33.0,0.0,0.0
2017-01-22,33.4,33.4,0.0,0.0,33.4,33.4,0.0,0.0,32.81,32.81,0.0,0.0,33.18,33.18,0.0,0.0
2017-01-29,33.55,33.55,0.0,0.0,33.57,33.57,0.0,0.0,33.31,33.31,0.0,0.0,33.34,33.34,0.0,0.0
2017-02-05,33.91,33.91,0.0,0.0,34.02,34.02,0.0,0.0,33.91,33.91,0.0,0.0,33.91,33.91,0.0,0.0
2017-02-12,34.07,34.07,0.0,0.0,34.07,34.07,0.0,0.0,33.86,33.86,0.0,0.0,33.99,33.99,0.0,0.0
2017-02-19,34.01,34.01,0.0,0.0,34.35,34.35,0.0,0.0,34.01,34.01,0.0,0.0,34.34,34.34,0.0,0.0
2017-02-26,33.93,33.93,0.0,0.0,33.93,33.93,0.0,0.0,33.72,33.72,0.0,0.0,33.82,33.82,0.0,0.0
2017-03-05,33.5,33.5,0.0,0.0,33.56,33.56,0.0,0.0,33.48,33.48,0.0,0.0,33.54,33.54,0.0,0.0
2017-03-12,33.61,33.61,0.0,0.0,33.62,33.62,0.0,0.0,33.49,33.49,0.0,0.0,33.54,33.54,0.0,0.0
2017-03-19,32.24,32.24,0.0,0.0,32.79,32.79,0.0,0.0,32.24,32.24,0.0,0.0,32.79,32.79,0.0,0.0
2017-03-26,33.37,33.37,0.0,0.0,33.41,33.41,0.0,0.0,32.95,32.95,0.0,0.0,33.11,33.11,0.0,0.0
2017-04-02,33.17,33.17,0.0,0.0,33.22,33.22,0.0,0.0,32.97,32.97,0.0,0.0,33.16,33.16,0.0,0.0
2017-04-09,32.67,32.67,0.0,0.0,32.92,32.92,0.0,0.0,32.67,32.67,0.0,0.0,32.92,32.92,0.0,0.0
2017-04-16,33.61,33.61,0.0,0.0,33.7,33.7,0.0,0.0,33.58,33.58,0.0,0.0,33.7,33.7,0.0,0.0
2017-04-23,33.34,33.34,0.0,0.0,33.49,33.49,0.0,0.0,33.3,33.3,0.0,0.0,33.39,33.39,0.0,0.0
2017-04-30,33.54,33.54,0.0,0.0,33.54,33.54,0.0,0.0,33.25,33.25,0.0,0.0,33.27,33.27,0.0,0.0
2017-05-07,33.02,33.02,0.0,0.0,33.02,33.02,0.0,0.0,32.89,32.89,0.0,0.0,32.89,32.89,0.0,0.0
2017-05-14,32.58,32.58,0.0,0.0,32.59,32.59,0.0,0.0,32.51,32.51,0.0,0.0,32.56,32.56,0.0,0.0
2017-05-21,32.56,32.56,0.0,0.0,32.67,32.67,0.0,0.0,32.56,32.56,0.0,0.0,32.67,32.67,0.0,0.0
2017-05-28,32.96,32.96,0.0,0.0,33.05,33.05,0.0,0.0,32.88,32.88,0.0,0.0,32.88,32.88,0.0,0.0
2017-06-04,33.57,33.57,0.0,0.0,33.58,33.58,0.0,0.0,33.34,33.34,0.0,0.0,33.38,33.38,0.0,0.0
2017-06-11,33.42,33.42,0.0,0.0,33.53,33.53,0.0,0.0,33.35,33.35,0.0,0.0,33.4,33.4,0.0,0.0
2017-06-18,32.9,32.9,0.0,0.0,33.22,33.22,0.0,0.0,32.9,32.9,0.0,0.0,33.14,33.14,0.0,0.0
2017-06-25,33.51,33.51,0.0,0.0,33.64,33.64,0.0,0.0,33.51,33.51,0.0,0.0,33.6,33.6,0.0,0.0
2017-07-02,33.16,33.16,0.0,0.0,33.32,33.32,0.0,0.0,33.16,33.16,0.0,0.0,33.18,33.18,0.0,0.0
2017-07-09,33.72,33.72,0.0,0.0,33.77,33.77,0.0,0.0,33.72,33.72,0.0,0.0,33.77,33.77,0.0,0.0
2017-07-16,33.88,33.88,0.0,0.0,33.88,33.88,0.0,0.0,33.72,33.72,0.0,0.0,33.73,33.73,0.0,0.0
2017-07-23,33.6,33.6,0.0,0.0,33.66,33.66,0.0,0.0,33.5,33.5,0.0,0.0,33.66,33.66,0.0,0.0
2017-07-30,33.68,33.68,0.0,0.0,33.76,33.76,0.0,0.0,33.68,33.68,0.0,0.0,33.73,33.73,0.0,0.0
2017-08-06,33.05,33.05,0.0,0.0,33.21,33.21,0.0,0.0,33.05,33.05,0.0,0.0,33.16,33.16,0.0,0.0
2017-08-13,32.24,32.24,0.0,0.0,32.32,32.32,0.0,0.0,32.24,32.24,0.0,0.0,32.28,32.28,0.0,0.0
2017-08-20,32.81,32.81,0.0,0.0,32.81,32.81,0.0,0.0,32.71,32.71,0.0,0.0,32.75,32.75,0.0,0.0
2017-08-27,33.28,33.28,0.0,0.0,33.48,33.48,0.0,0.0,33.28,33.28,0.0,0.0,33.48,33.48,0.0,0.0
2017-09-03,33.07,33.07,0.0,0.0,33.38,33.38,0.0,0.0,33.07,33.07,0.0,0.0,33.36,33.36,0.0,0.0
2017-09-10,34.01,34.01,0.0,0.0,34.01,34.01,0.0,0.0,33.91,33.91,0.0,0.0,33.92,33.92,0.0,0.0
2017-09-17,34.09,34.09,0.0,0.0,34.13,34.13,0.0,0.0,33.98,33.98,0.0,0.0,34.09,34.09,0.0,0.0
2017-09-24,34.57,34.57,0.0,0.0,34.68,34.68,0.0,0.0,34.53,34.53,0.0,0.0,34.65,34.65,0.0,0.0
2017-10-01,34.62,34.62,0.0,0.0,34.62,34.62,0.0,0.0,34.44,34.44,0.0,0.0,34.44,34.44,0.0,0.0
2017-10-08,34.43,34.43,0.0,0.0,34.49,34.49,0.0,0.0,34.38,34.38,0.0,0.0,34.48,34.48,0.0,0.0
2017-10-15,34.85,34.85,0.0,0.0,34.92,34.92,0.0,0.0,34.71,34.71,0.0,0.0,34.71,34.71,0.0,0.0
2017-10-22,34.75,34.75,0.0,0.0,34.75,34.75,0.0,0.0,34.53,34.53,0.0,0.0,34.59,34.59,0.0,0.0
2017-10-29,34.6,34.6,0.0,0.0,34.7,34.7,0.0,0.0,34.55,34.55,0.0,0.0,34.6,34.6,0.0,0.0
2017-11-05,34.3,34.3,0.0,0.0,34.43,34.43,0.0,0.0,34.24,34.24,0.0,0.0,34.42,34.42,0.0,0.0
2017-11-12,34.74,34.74,0.0,0.0,34.99,34.99,0.0,0.0,34.74,34.74,0.0,0.0,34.99,34.99,0.0,0.0
2017-11-19,34.92,34.92,0.0,0.0,34.94,34.94,0.0,0.0,34.91,34.91,0.0,0.0,34.94,34.94,0.0,0.0
2017-11-26,36.26,36.26,0.0,0.0,36.56,36.56,0.0,0.0,36.24,36.24,0.0,0.0,36.24,36.24,0.0,0.0
2017-12-03,35.97,35.97,0.0,0.0,35.99,35.99,0.0,0.0,35.96,35.96,0.0,0.0,35.96,35.96,0.0,0.0
2017-12-10,36.04,36.04,0.0,0.0,36.26,36.26,0.0,0.0,36.04,36.04,0.0,0.0,36.23,36.23,0.0,0.0
2017-12-17,36.14,36.14,0.0,0.0,36.25,36.25,0.0,0.0,36.14,36.14,0.0,0.0,36.25,36.25,0.0,0.0
2017-12-24,36.59,36.59,0.0,0.0,36.59,36.59,0.0,0.0,36.27,36.27,0.0,0.0,36.27,36.27,0.0,0.0
2017-12-31,36.6,36.6,0.0,0.0,36.83,36.83,0.0,0.0,36.6,36.6,0.0,0.0,36.81,36.81,0.0,0.0
2018-01-07,37.4,37.4,0.0,0.0,37.48,37.48,0.0,0.0,37.36,37.36,0.0,0.0,37.38,37.38,0.0,0.0
2018-01-14,37.43,37.43,0.0,0.0,37.49,37.49,0.0,0.0,37.3,37.3,0.0,0.0,37.49,37.49,0.0,0.0
2018-01-21,37.33,37.33,0.0,0.0,37.4,37.4,0.0,0.0,37.2,37.2,0.0,0.0,37.2,37.2,0.0,0.0
2018-01-28,35.71,35.71,0.0,0.0,35.72,35.72,0.0,0.0,34.64,34.64,0.0,0.0,34.85,34.85,0.0,0.0
2018-02-04,34.16,34.16,0.0,0.0,34.61,34.61,0.0,0.0,34.06,34.06,0.0,0.0,34.44,34.44,0.0,0.0
2018-02-11,35.54,35.54,0.0,0.0,35.69,35.69,0.0,0.0,35.51,35.51,0.0,0.0,35.57,35.57,0.0,0.0
2018-02-18,35.4,35.4,0.0,0.0,35.61,35.61,0.0,0.0,35.33,35.33,0.0,0.0,35.61,35.61,0.0,0.0
2018-02-25,34.91,34.91,0.0,0.0,35.24,35.24,0.0,0.0,34.91,34.91,0.0,0.0,35.22,35.22,0.0,0.0
2018-03-04,35.92,35.92,0.0,0.0,35.92,35.92,0.0,0.0,35.92,35.92,0.0,0.0,35.92,35.92,0.0,0.0
2018-03-11,35.02,35.02,0.0,0.0,35.04,35.04,0.0,0.0,35.02,35.02,0.0,0.0,35.04,35.04,0.0,0.0
2018-03-18,34.08,34.08,0.0,0.0,34.08,34.08,0.0,0.0,34.01,34.01,0.0,0.0,34.01,34.01,0.0,0.0
2018-03-25,34.09,34.09,0.0,0.0,34.09,34.09,0.0,0.0,33.73,33.73,0.0,0.0,33.77,33.77,0.0,0.0
2018-04-01,34.5,34.5,0.0,0.0,34.5,34.5,0.0,0.0,34.48,34.48,0.0,0.0,34.48,34.48,0.0,0.0
2018-04-08,34.82,34.82,0.0,0.0,34.93,34.93,0.0,0.0,34.82,34.82,0.0,0.0,34.93,34.93,0.0,0.0
2018-04-15,34.95,34.95,0.0,0.0,35.02,35.02,0.0,0.0,34.88,34.88,0.0,0.0,34.94,34.94,0.0,0.0
2018-04-22,34.86,34.86,0.0,0.0,34.86,34.86,0.0,0.0,34.67,34.67,0.0,0.0,34.67,34.67,0.0,0.0
2018-04-29,35.0,35.0,0.0,0.0,35.09,35.09,0.0,0.0,34.95,34.95,0.0,0.0,35.09,35.09,0.0,0.0
2018-05-06,35.48,35.48,0.0,0.0,35.48,35.48,0.0,0.0,35.35,35.35,0.0,0.0,35.35,35.35,0.0,0.0
2018-05-13,35.97,35.97,0.0,0.0,36.13,36.13,0.0,0.0,35.96,35.96,0.0,0.0,36.12,36.12,0.0,0.0
2018-05-20,35.87,35.87,0.0,0.0,35.9,35.9,0.0,0.0,35.87,35.87,0.0,0.0,35.9,35.9,0.0,0.0
2018-05-27,36.22,36.22,0.0,0.0,36.25,36.25,0.0,0.0,36.13,36.13,0.0,0.0,36.19,36.19,0.0,0.0
2018-06-03,36.81,36.81,0.0,0.0,36.89,36.89,0.0,0.0,36.8,36.8,0.0,0.0,36.89,36.89,0.0,0.0
2018-06-10,36.68,36.68,0.0,0.0,36.68,36.68,0.0,0.0,36.64,36.64,0.0,0.0,36.64,36.64,0.0,0.0
2018-06-17,36.13,36.13,0.0,0.0,36.26,36.26,0.0,0.0,36.01,36.01,0.0,0.0,36.01,36.01,0.0,0.0
2018-06-24,35.72,35.72,0.0,0.0,35.91,35.91,0.0,0.0,35.56,35.56,0.0,0.0,35.88,35.88,0.0,0.0
2018-07-01,36.51,36.51,0.0,0.0,36.71,36.71,0.0,0.0,36.51,36.51,0.0,0.0,36.65,36.65,0.0,0.0
2018-07-08,36.45,36.45,0.0,0.0,36.5,36.5,0.0,0.0,36.21,36.21,0.0,0.0,36.24,36.24,0.0,0.0
2018-07-15,36.52,36.52,0.0,0.0,36.55,36.55,0.0,0.0,36.45,36.45,0.0,0.0,36.52,36.52,0.0,0.0
2018-07-22,36.2,36.2,0.0,0.0,36.45,36.45,0.0,0.0,36.2,36.2,0.0,0.0,36.45,36.45,0.0,0.0
2018-07-29,36.87,36.87,0.0,0.0,36.99,36.99,0.0,0.0,36.87,36.87,0.0,0.0,36.99,36.99,0.0,0.0
2018-08-05,36.63,36.63,0.0,0.0,36.63,36.63,0.0,0.0,36.41,36.41,0.0,0.0,36.41,36.41,0.0,0.0
2018-08-12,37.19,37.19,0.0,0.0,37.45,37.45,0.0,0.0,37.19,37.19,0.0,0.0,37.39,37.39,0.0,0.0
2018-08-19,37.86,37.86,0.0,0.0,37.86,37.86,0.0,0.0,37.74,37.74,0.0,0.0,37.74,37.74,0.0,0.0
2018-08-26,37.54,37.54,0.0,0.0,37.58,37.58,0.0,0.0,37.39,37.39,0.0,0.0,37.42,37.42,0.0,0.0
2018-09-02,37.37,37.37,0.0,0.0,37.38,37.38,0.0,0.0,37.27,37.27,0.0,0.0,37.3,37.3,0.0,0.0
2018-09-09,37.37,37.37,0.0,0.0,37.39,37.39,0.0,0.0,37.22,37.22,0.0,0.0,37.22,37.22,0.0,0.0
2018-09-16,37.25,37.25,0.0,0.0,37.25,37.25,0.0,0.0,37.08,37.08,0.0,0.0,37.12,37.12,0.0,0.0
2018-09-23,36.62,36.62,0.0,0.0,36.74,36.74,0.0,0.0,36.44,36.44,0.0,0.0,36.44,36.44,0.0,0.0
2018-09-30,36.14,36.14,0.0,0.0,36.47,36.47,0.0,0.0,36.08,36.08,0.0,0.0,36.47,36.47,0.0,0.0
2018-10-07,34.5,34.5,0.0,0.0,34.82,34.82,0.0,0.0,34.5,34.5,0.0,0.0,34.78,34.78,0.0,0.0
2018-10-14,34.19,34.19,0.0,0.0,34.32,34.32,0.0,0.0,34.19,34.19,0.0,0.0,34.28,34.28,0.0,0.0
2018-10-21,33.57,33.57,0.0,0.0,33.63,33.63,0.0,0.0,32.76,32.76,0.0,0.0,32.8,32.8,0.0,0.0
2018-10-28,34.65,34.65,0.0,0.0,34.79,34.79,0.0,0.0,34.5,34.5,0.0,0.0,34.57,34.57,0.0,0.0
2018-11-04,34.8,34.8,0.0,0.0,34.85,34.85,0.0,0.0,34.71,34.71,0.0,0.0,34.71,34.71,0.0,0.0
2018-11-11,34.4,34.4,0.0,0.0,34.4,34.4,0.0,0.0,34.14,34.14,0.0,0.0,34.14,34.14,0.0,0.0
2018-11-18,34.18,34.18,0.0,0.0,34.31,34.31,0.0,0.0,34.06,34.06,0.0,0.0,34.24,34.24,0.0,0.0
2018-11-25,35.14,35.14,0.0,0.0,35.18,35.18,0.0,0.0,34.8,34.8,0.0,0.0,35.04,35.04,0.0,0.0
2018-12-02,32.74,32.74,0.0,0.0,32.81,32.81,0.0,0.0,32.41,32.41,0.0,0.0,32.81,32.81,0.0,0.0
2018-12-09,31.9,31.9,0.0,0.0,32.05,32.05,0.0,0.0,31.12,31.12,0.0,0.0,31.26,31.26,0.0,0.0
2018-12-16,29.95,29.95,0.0,0.0,29.95,29.95,0.0,0.0,29.1,29.1,0.0,0.0,29.15,29.15,0.0,0.0
2018-12-23,30.51,30.51,0.0,0.0,30.51,30.51,0.0,0.0,30.05,30.05,0.0,0.0,30.45,30.45,0.0,0.0
2018-12-30,31.34,31.34,0.0,0.0,31.92,31.92,0.0,0.0,31.34,31.34,0.0,0.0,31.78,31.78,0.0,0.0
2019-01-06,32.4,32.4,0.0,0.0,32.86,32.86,0.0,0.0,32.35,32.35,0.0,0.0,32.79,32.79,0.0,0.0
2019-01-13,33.58,33.58,0.0,0.0,33.99,33.99,0.0,0.0,33.58,33.58,0.0,0.0,33.92,33.92,0.0,0.0
2019-01-20,33.78,33.78,0.0,0.0,33.88,33.88,0.0,0.0,33.78,33.78,0.0,0.0,33.82,33.82,0.0,0.0
2019-01-27,34.42,34.42,0.0,0.0,34.54,34.54,0.0,0.0,34.32,34.32,0.0,0.0,34.54,34.54,0.0,0.0
2019-02-03,34.24,34.24,0.0,0.0,34.4,34.4,0.0,0.0,34.24,34.24,0.0,0.0,34.29,34.29,0.0,0.0
2019-02-10,35.31,35.31,0.0,0.0,35.4,35.4,0.0,0.0,35.31,35.31,0.0,0.0,35.36,35.36,0.0,0.0
2019-02-17,35.85,35.85,0.0,0.0,36.05,36.05,0.0,0.0,35.82,35.82,0.0,0.0,35.86,35.86,0.0,0.0
2019-02-24,35.59,35.59,0.0,0.0,35.64,35.64,0.0,0.0,35.23,35.23,0.0,0.0,35.59,35.59,0.0,0.0
2019-03-03,34.36,34.36,0.0,0.0,34.61,34.61,0.0,0.0,34.36,34.36,0.0,0.0,34.61,34.61,0.0,0.0
2019-03-10,34.91,34.91,0.0,0.0,34.91,34.91,0.0,0.0,34.9,34.9,0.0,0.0,34.9,34.9,0.0,0.0
2019-03-17,33.56,33.56,0.0,0.0,33.91,33.91,0.0,0.0,33.52,33.52,0.0,0.0,33.66,33.66,0.0,0.0
2019-03-24,34.93,34.93,0.0,0.0,35.08,35.08,0.0,0.0,34.87,34.87,0.0,0.0,35.08,35.08,0.0,0.0
2019-03-31,35.71,35.71,0.0,0.0,35.81,35.81,0.0,0.0,35.67,35.67,0.0,0.0,35.81,35.81,0.0,0.0
2019-04-07,35.72,35.72,0.0,0.0,35.83,35.83,0.0,0.0,35.67,35.67,0.0,0.0,35.77,35.77,0.0,0.0
2019-04-14,35.65,35.65,0.0,0.0,35.65,35.65,0.0,0.0,35.4,35.4,0.0,0.0,35.42,35.42,0.0,0.0
2019-04-21,36.11,36.11,0.0,0.0,36.11,36.11,0.0,0.0,35.86,35.86,0.0,0.0,36.04,36.04,0.0,0.0
2019-04-28,35.56,35.56,0.0,0.0,36.01,36.01,0.0,0.0,35.56,35.56,0.0,0.0,36.01,36.01,0.0,0.0
2019-05-05,34.28,34.28,0.0,0.0,34.28,34.28,0.0,0.0,33.73,33.73,0.0,0.0,33.74,33.74,0.0,0.0
2019-05-12,33.78,33.78,0.0,0.0,33.84,33.84,0.0,0.0,33.67,33.67,0.0,0.0,33.67,33.67,0.0,0.0
2019-05-19,33.23,33.23,0.0,0.0,33.28,33.28,0.0,0.0,33.07,33.07,0.0,0.0,33.16,33.16,0.0,0.0
2019-05-26,32.06,32.06,0.0,0.0,32.33,32.33,0.0,0.0,32.06,32.06,0.0,0.0,32.28,32.28,0.0,0.0
2019-06-02,33.87,33.87,0.0,0.0,33.96,33.96,0.0,0.0,33.64,33.64,0.0,0.0,33.67,33.67,0.0,0.0
2019-06-09,33.47,33.47,0.0,0.0,33.61,33.61,0.0,0.0,33.47,33.47,0.0,0.0,33.47,33.47,0.0,0.0
2019-06-16,33.86,33.86,0.0,0.0,33.86,33.86,0.0,0.0,33.77,33.77,0.0,0.0,33.84,33.84,0.0,0.0
2019-06-23,34.77,34.77,0.0,0.0,34.85,34.85,0.0,0.0,34.62,34.62,0.0,0.0,34.62,34.62,0.0,0.0
2019-06-30,34.67,34.67,0.0,0.0,34.68,34.68,0.0,0.0,34.4,34.4,0.0,0.0,34.4,34.4,0.0,0.0
2019-07-07,34.4,34.4,0.0,0.0,34.4,34.4,0.0,0.0,34.26,34.26,0.0,0.0,34.36,34.36,0.0,0.0
2019-07-14,34.23,34.23,0.0,0.0,34.23,34.23,0.0,0.0,34.07,34.07,0.0,0.0,34.07,34.07,0.0,0.0
