Date,First Trust Total US Market AlphaDEX_Open_average,First Trust Total US Market AlphaDEX_Open_max,First Trust Total US Market AlphaDEX_Open_volatility,First Trust Total US Market AlphaDEX_Open_change,First Trust Total US Market AlphaDEX_High_average,First Trust Total US Market AlphaDEX_High_max,First Trust Total US Market AlphaDEX_High_volatility,First Trust Total US Market AlphaDEX_High_change,First Trust Total US Market AlphaDEX_Low_average,First Trust Total US Market AlphaDEX_Low_max,First Trust Total US Market AlphaDEX_Low_volatility,First Trust Total US Market AlphaDEX_Low_change,First Trust Total US Market AlphaDEX_Close_average,First Trust Total US Market AlphaDEX_Close_max,First Trust Total US Market AlphaDEX_Close_volatility,First Trust Total US Market AlphaDEX_Close_change
2016-07-24,26.11,26.11,0.0,0.0,26.15,26.15,0.0,0.0,25.97,25.97,0.0,0.0,25.98,25.98,0.0,0.0
2016-07-31,26.27,26.27,0.0,0.0,26.27,26.27,0.0,0.0,26.27,26.27,0.0,0.0,26.27,26.27,0.0,0.0
2016-08-07,26.43,26.43,0.0,0.0,26.43,26.43,0.0,0.0,26.43,26.43,0.0,0.0,26.43,26.43,0.0,0.0
2016-08-14,26.31,26.31,0.0,0.0,26.31,26.31,0.0,0.0,26.31,26.31,0.0,0.0,26.31,26.31,0.0,0.0
2016-08-21,26.37,26.37,0.0,0.0,26.41,26.41,0.0,0.0,26.37,26.37,0.0,0.0,26.41,26.41,0.0,0.0
2016-08-28,26.41,26.41,0.0,0.0,26.48,26.48,0.0,0.0,26.41,26.41,0.0,0.0,26.45,26.45,0.0,0.0
2016-09-04,25.75,25.75,0.0,0.0,25.9,25.9,0.0,0.0,25.75,25.75,0.0,0.0,25.9,25.9,0.0,0.0
2016-09-11,25.94,25.94,0.0,0.0,25.94,25.94,0.0,0.0,25.94,25.94,0.0,0.0,25.94,25.94,0.0,0.0
2016-09-18,26.03,26.03,0.0,0.0,26.08,26.08,0.0,0.0,25.99,25.99,0.0,0.0,26.05,26.05,0.0,0.0
2016-09-25,26.34,26.34,0.0,0.0,26.34,26.34,0.0,0.0,26.34,26.34,0.0,0.0,26.34,26.34,0.0,0.0
2016-10-02,26.09,26.09,0.0,0.0,26.24,26.24,0.0,0.0,26.09,26.09,0.0,0.0,26.12,26.12,0.0,0.0
2016-10-09,25.88,25.88,0.0,0.0,25.9,25.9,0.0,0.0,25.55,25.55,0.0,0.0,25.55,25.55,0.0,0.0
2016-10-16,26.03,26.03,0.0,0.0,26.03,26.03,0.0,0.0,26.03,26.03,0.0,0.0,26.03,26.03,0.0,0.0
2016-10-23,25.51,25.51,0.0,0.0,25.51,25.51,0.0,0.0,25.51,25.51,0.0,0.0,25.51,25.51,0.0,0.0
2016-10-30,25.69,25.69,0.0,0.0,25.69,25.69,0.0,0.0,25.61,25.61,0.0,0.0,25.61,25.61,0.0,0.0
2016-11-06,26.88,26.88,0.0,0.0,26.91,26.91,0.0,0.0,26.83,26.83,0.0,0.0,26.83,26.83,0.0,0.0
2016-11-13,27.45,27.45,0.0,0.0,27.47,27.47,0.0,0.0,27.35,27.35,0.0,0.0,27.42,27.42,0.0,0.0
2016-11-20,27.69,27.69,0.0,0.0,27.69,27.69,0.0,0.0,27.54,27.54,0.0,0.0,27.54,27.54,0.0,0.0
2016-11-27,27.47,27.47,0.0,0.0,27.69,27.69,0.0,0.0,27.47,27.47,0.0,0.0,27.65,27.65,0.0,0.0
2016-12-04,28.62,28.62,0.0,0.0,28.62,28.62,0.0,0.0,28.49,28.49,0.0,0.0,28.49,28.49,0.0,0.0
2016-12-11,28.47,28.47,0.0,0.0,28.47,28.47,0.0,0.0,28.23,28.23,0.0,0.0,28.3,28.3,0.0,0.0
2016-12-18,28.05,28.05,0.0,0.0,28.05,28.05,0.0,0.0,28.05,28.05,0.0,0.0,28.05,28.05,0.0,0.0
2016-12-25,28.13,28.13,0.0,0.0,28.13,28.13,0.0,0.0,27.8,27.8,0.0,0.0,27.8,27.8,0.0,0.0
2017-01-01,28.09,28.09,0.0,0.0,28.09,28.09,0.0,0.0,27.98,27.98,0.0,0.0,27.98,27.98,0.0,0.0
2017-01-08,28.2,28.2,0.0,0.0,28.2,28.2,0.0,0.0,28.2,28.2,0.0,0.0,28.2,28.2,0.0,0.0
2017-01-15,27.99,27.99,0.0,0.0,27.99,27.99,0.0,0.0,27.86,27.86,0.0,0.0,27.86,27.86,0.0,0.0
2017-01-22,28.14,28.14,0.0,0.0,28.27,28.27,0.0,0.0,28.14,28.14,0.0,0.0,28.2,28.2,0.0,0.0
2017-01-29,28.44,28.44,0.0,0.0,28.44,28.44,0.0,0.0,28.44,28.44,0.0,0.0,28.44,28.44,0.0,0.0
2017-02-05,29.03,29.03,0.0,0.0,29.05,29.05,0.0,0.0,28.86,28.86,0.0,0.0,28.98,28.98,0.0,0.0
2017-02-12,29.1,29.1,0.0,0.0,29.11,29.11,0.0,0.0,29.01,29.01,0.0,0.0,29.11,29.11,0.0,0.0
2017-02-19,29.24,29.24,0.0,0.0,29.35,29.35,0.0,0.0,29.24,29.24,0.0,0.0,29.35,29.35,0.0,0.0
2017-02-26,29.0,29.0,0.0,0.0,29.0,29.0,0.0,0.0,29.0,29.0,0.0,0.0,29.0,29.0,0.0,0.0
2017-03-05,29.07,29.07,0.0,0.0,29.07,29.07,0.0,0.0,28.91,28.91,0.0,0.0,28.99,28.99,0.0,0.0
2017-03-12,29.42,29.42,0.0,0.0,29.42,29.42,0.0,0.0,29.08,29.08,0.0,0.0,29.1,29.1,0.0,0.0
2017-03-19,28.54,28.54,0.0,0.0,28.54,28.54,0.0,0.0,28.54,28.54,0.0,0.0,28.54,28.54,0.0,0.0
2017-03-26,29.19,29.19,0.0,0.0,29.19,29.19,0.0,0.0,28.69,28.69,0.0,0.0,28.78,28.78,0.0,0.0
2017-04-02,28.88,28.88,0.0,0.0,28.93,28.93,0.0,0.0,28.7,28.7,0.0,0.0,28.82,28.82,0.0,0.0
2017-04-09,28.52,28.52,0.0,0.0,28.52,28.52,0.0,0.0,28.52,28.52,0.0,0.0,28.52,28.52,0.0,0.0
2017-04-16,29.29,29.29,0.0,0.0,29.29,29.29,0.0,0.0,29.19,29.19,0.0,0.0,29.19,29.19,0.0,0.0
2017-04-23,29.28,29.28,0.0,0.0,29.34,29.34,0.0,0.0,29.28,29.28,0.0,0.0,29.34,29.34,0.0,0.0
2017-04-30,29.13,29.13,0.0,0.0,29.27,29.27,0.0,0.0,29.13,29.13,0.0,0.0,29.25,29.25,0.0,0.0
2017-05-07,29.26,29.26,0.0,0.0,29.26,29.26,0.0,0.0,29.26,29.26,0.0,0.0,29.26,29.26,0.0,0.0
2017-05-14,29.07,29.07,0.0,0.0,29.08,29.08,0.0,0.0,29.02,29.02,0.0,0.0,29.08,29.08,0.0,0.0
2017-05-21,29.18,29.18,0.0,0.0,29.18,29.18,0.0,0.0,29.18,29.18,0.0,0.0,29.18,29.18,0.0,0.0
2017-05-28,29.62,29.62,0.0,0.0,29.76,29.76,0.0,0.0,29.62,29.62,0.0,0.0,29.76,29.76,0.0,0.0
2017-06-04,29.85,29.85,0.0,0.0,29.85,29.85,0.0,0.0,29.77,29.77,0.0,0.0,29.77,29.77,0.0,0.0
2017-06-11,29.51,29.51,0.0,0.0,29.63,29.63,0.0,0.0,29.51,29.51,0.0,0.0,29.57,29.57,0.0,0.0
2017-06-18,29.91,29.91,0.0,0.0,29.93,29.93,0.0,0.0,29.69,29.69,0.0,0.0,29.69,29.69,0.0,0.0
2017-06-25,29.96,29.96,0.0,0.0,29.96,29.96,0.0,0.0,29.96,29.96,0.0,0.0,29.96,29.96,0.0,0.0
2017-07-02,29.81,29.81,0.0,0.0,29.93,29.93,0.0,0.0,29.7,29.7,0.0,0.0,29.75,29.75,0.0,0.0
2017-07-09,30.15,30.15,0.0,0.0,30.15,30.15,0.0,0.0,30.15,30.15,0.0,0.0,30.15,30.15,0.0,0.0
2017-07-16,30.32,30.32,0.0,0.0,30.44,30.44,0.0,0.0,30.32,30.32,0.0,0.0,30.44,30.44,0.0,0.0
2017-07-23,30.23,30.23,0.0,0.0,30.31,30.31,0.0,0.0,30.23,30.23,0.0,0.0,30.23,30.23,0.0,0.0
2017-07-30,30.18,30.18,0.0,0.0,30.23,30.23,0.0,0.0,30.12,30.12,0.0,0.0,30.23,30.23,0.0,0.0
2017-08-06,29.86,29.86,0.0,0.0,29.89,29.89,0.0,0.0,29.81,29.81,0.0,0.0,29.81,29.81,0.0,0.0
2017-08-13,29.3,29.3,0.0,0.0,29.3,29.3,0.0,0.0,29.3,29.3,0.0,0.0,29.3,29.3,0.0,0.0
2017-08-20,29.58,29.58,0.0,0.0,29.61,29.61,0.0,0.0,29.5,29.5,0.0,0.0,29.61,29.61,0.0,0.0
2017-08-27,30.09,30.09,0.0,0.0,30.22,30.22,0.0,0.0,30.09,30.09,0.0,0.0,30.15,30.15,0.0,0.0
2017-09-03,30.12,30.12,0.0,0.0,30.29,30.29,0.0,0.0,30.12,30.12,0.0,0.0,30.29,30.29,0.0,0.0
2017-09-10,30.48,30.48,0.0,0.0,30.56,30.56,0.0,0.0,30.42,30.42,0.0,0.0,30.48,30.48,0.0,0.0
2017-09-17,30.62,30.62,0.0,0.0,30.62,30.62,0.0,0.0,30.52,30.52,0.0,0.0,30.59,30.59,0.0,0.0
2017-09-24,31.16,31.16,0.0,0.0,31.16,31.16,0.0,0.0,31.16,31.16,0.0,0.0,31.16,31.16,0.0,0.0
2017-10-01,31.3,31.3,0.0,0.0,31.46,31.46,0.0,0.0,31.3,31.3,0.0,0.0,31.38,31.38,0.0,0.0
2017-10-08,31.4,31.4,0.0,0.0,31.4,31.4,0.0,0.0,31.39,31.39,0.0,0.0,31.4,31.4,0.0,0.0
2017-10-15,31.74,31.74,0.0,0.0,31.76,31.76,0.0,0.0,31.74,31.74,0.0,0.0,31.76,31.76,0.0,0.0
2017-10-22,31.44,31.44,0.0,0.0,31.44,31.44,0.0,0.0,31.44,31.44,0.0,0.0,31.44,31.44,0.0,0.0
2017-10-29,31.77,31.77,0.0,0.0,31.77,31.77,0.0,0.0,31.68,31.68,0.0,0.0,31.68,31.68,0.0,0.0
2017-11-05,31.47,31.47,0.0,0.0,31.47,31.47,0.0,0.0,31.46,31.46,0.0,0.0,31.46,31.46,0.0,0.0
2017-11-12,31.84,31.84,0.0,0.0,31.84,31.84,0.0,0.0,31.84,31.84,0.0,0.0,31.84,31.84,0.0,0.0
2017-11-19,32.27,32.27,0.0,0.0,32.28,32.28,0.0,0.0,32.18,32.18,0.0,0.0,32.18,32.18,0.0,0.0
2017-11-26,32.83,32.83,0.0,0.0,32.83,32.83,0.0,0.0,32.71,32.71,0.0,0.0,32.71,32.71,0.0,0.0
2017-12-03,32.76,32.76,0.0,0.0,32.76,32.76,0.0,0.0,32.73,32.73,0.0,0.0,32.73,32.73,0.0,0.0
2017-12-10,32.77,32.77,0.0,0.0,32.77,32.77,0.0,0.0,32.48,32.48,0.0,0.0,32.48,32.48,0.0,0.0
2017-12-17,33.06,33.06,0.0,0.0,33.06,33.06,0.0,0.0,33.0,33.0,0.0,0.0,33.0,33.0,0.0,0.0
2017-12-24,33.1,33.1,0.0,0.0,33.1,33.1,0.0,0.0,33.09,33.09,0.0,0.0,33.09,33.09,0.0,0.0
2017-12-31,33.76,33.76,0.0,0.0,33.76,33.76,0.0,0.0,33.76,33.76,0.0,0.0,33.76,33.76,0.0,0.0
2018-01-07,34.17,34.17,0.0,0.0,34.25,34.25,0.0,0.0,34.17,34.17,0.0,0.0,34.25,34.25,0.0,0.0
2018-01-14,34.56,34.56,0.0,0.0,34.82,34.82,0.0,0.0,34.56,34.56,0.0,0.0,34.82,34.82,0.0,0.0
2018-01-21,34.86,34.86,0.0,0.0,34.86,34.86,0.0,0.0,34.86,34.86,0.0,0.0,34.86,34.86,0.0,0.0
2018-01-28,32.29,32.29,0.0,0.0,32.52,32.52,0.0,0.0,32.29,32.29,0.0,0.0,32.52,32.52,0.0,0.0
2018-02-04,32.17,32.17,0.0,0.0,32.46,32.46,0.0,0.0,32.17,32.17,0.0,0.0,32.46,32.46,0.0,0.0
2018-02-11,33.64,33.64,0.0,0.0,33.67,33.67,0.0,0.0,33.55,33.55,0.0,0.0,33.64,33.64,0.0,0.0
2018-02-18,33.52,33.52,0.0,0.0,33.92,33.92,0.0,0.0,33.52,33.52,0.0,0.0,33.92,33.92,0.0,0.0
2018-02-25,32.73,32.73,0.0,0.0,33.28,33.28,0.0,0.0,32.73,32.73,0.0,0.0,33.28,33.28,0.0,0.0
2018-03-04,34.34,34.34,0.0,0.0,34.43,34.43,0.0,0.0,34.33,34.33,0.0,0.0,34.36,34.36,0.0,0.0
2018-03-11,33.57,33.57,0.0,0.0,33.59,33.59,0.0,0.0,33.57,33.57,0.0,0.0,33.58,33.58,0.0,0.0
2018-03-18,32.58,32.58,0.0,0.0,32.75,32.75,0.0,0.0,32.58,32.58,0.0,0.0,32.69,32.69,0.0,0.0
2018-03-25,33.01,33.01,0.0,0.0,33.01,33.01,0.0,0.0,31.9,31.9,0.0,0.0,31.9,31.9,0.0,0.0
2018-04-01,32.85,32.85,0.0,0.0,32.85,32.85,0.0,0.0,32.85,32.85,0.0,0.0,32.85,32.85,0.0,0.0
2018-04-08,33.05,33.05,0.0,0.0,33.09,33.09,0.0,0.0,33.05,33.05,0.0,0.0,33.09,33.09,0.0,0.0
2018-04-15,33.59,33.59,0.0,0.0,33.59,33.59,0.0,0.0,33.38,33.38,0.0,0.0,33.38,33.38,0.0,0.0
2018-04-22,33.07,33.07,0.0,0.0,33.07,33.07,0.0,0.0,32.97,32.97,0.0,0.0,33.01,33.01,0.0,0.0
2018-04-29,33.05,33.05,0.0,0.0,33.05,33.05,0.0,0.0,33.05,33.05,0.0,0.0,33.05,33.05,0.0,0.0
2018-05-06,34.13,34.13,0.0,0.0,34.14,34.14,0.0,0.0,33.97,33.97,0.0,0.0,34.01,34.01,0.0,0.0
2018-05-13,34.37,34.37,0.0,0.0,34.37,34.37,0.0,0.0,34.14,34.14,0.0,0.0,34.22,34.22,0.0,0.0
2018-05-20,34.37,34.37,0.0,0.0,34.37,34.37,0.0,0.0,34.31,34.31,0.0,0.0,34.31,34.31,0.0,0.0
2018-05-27,34.38,34.38,0.0,0.0,34.38,34.38,0.0,0.0,34.38,34.38,0.0,0.0,34.38,34.38,0.0,0.0
2018-06-03,35.05,35.05,0.0,0.0,35.14,35.14,0.0,0.0,35.05,35.05,0.0,0.0,35.13,35.13,0.0,0.0
2018-06-10,35.13,35.13,0.0,0.0,35.19,35.19,0.0,0.0,35.12,35.12,0.0,0.0,35.12,35.12,0.0,0.0
2018-06-17,34.29,34.29,0.0,0.0,34.29,34.29,0.0,0.0,34.29,34.29,0.0,0.0,34.29,34.29,0.0,0.0
2018-06-24,34.02,34.02,0.0,0.0,34.26,34.26,0.0,0.0,34.0,34.0,0.0,0.0,34.26,34.26,0.0,0.0
2018-07-01,34.99,34.99,0.0,0.0,34.99,34.99,0.0,0.0,34.93,34.93,0.0,0.0,34.98,34.98,0.0,0.0
2018-07-08,34.88,34.88,0.0,0.0,34.88,34.88,0.0,0.0,34.88,34.88,0.0,0.0,34.88,34.88,0.0,0.0
2018-07-15,35.1,35.1,0.0,0.0,35.1,35.1,0.0,0.0,35.1,35.1,0.0,0.0,35.1,35.1,0.0,0.0
2018-07-22,34.7,34.7,0.0,0.0,34.7,34.7,0.0,0.0,34.69,34.69,0.0,0.0,34.69,34.69,0.0,0.0
2018-07-29,35.14,35.14,0.0,0.0,35.38,35.38,0.0,0.0,35.14,35.14,0.0,0.0,35.38,35.38,0.0,0.0
2018-08-05,35.22,35.22,0.0,0.0,35.3,35.3,0.0,0.0,35.0,35.0,0.0,0.0,35.0,35.0,0.0,0.0
2018-08-12,35.24,35.24,0.0,0.0,35.24,35.24,0.0,0.0,35.24,35.24,0.0,0.0,35.24,35.24,0.0,0.0
2018-08-19,36.32,36.32,0.0,0.0,36.32,36.32,0.0,0.0,36.28,36.28,0.0,0.0,36.28,36.28,0.0,0.0
2018-08-26,36.24,36.24,0.0,0.0,36.33,36.33,0.0,0.0,36.09,36.09,0.0,0.0,36.33,36.33,0.0,0.0
2018-09-02,35.73,35.73,0.0,0.0,36.16,36.16,0.0,0.0,35.73,35.73,0.0,0.0,36.16,36.16,0.0,0.0
2018-09-09,36.24,36.24,0.0,0.0,36.24,36.24,0.0,0.0,36.17,36.17,0.0,0.0,36.19,36.19,0.0,0.0
2018-09-16,35.92,35.92,0.0,0.0,35.92,35.92,0.0,0.0,35.92,35.92,0.0,0.0,35.92,35.92,0.0,0.0
2018-09-23,36.3,36.3,0.0,0.0,36.3,36.3,0.0,0.0,36.09,36.09,0.0,0.0,36.09,36.09,0.0,0.0
2018-09-30,34.97,34.97,0.0,0.0,34.97,34.97,0.0,0.0,34.66,34.66,0.0,0.0,34.93,34.93,0.0,0.0
2018-10-07,33.53,33.53,0.0,0.0,33.53,33.53,0.0,0.0,33.15,33.15,0.0,0.0,33.15,33.15,0.0,0.0
2018-10-14,33.16,33.16,0.0,0.0,33.24,33.24,0.0,0.0,33.16,33.16,0.0,0.0,33.24,33.24,0.0,0.0
2018-10-21,32.23,32.23,0.0,0.0,32.28,32.28,0.0,0.0,31.21,31.21,0.0,0.0,31.31,31.31,0.0,0.0
2018-10-28,33.25,33.25,0.0,0.0,33.25,33.25,0.0,0.0,32.78,32.78,0.0,0.0,32.93,32.93,0.0,0.0
2018-11-04,33.08,33.08,0.0,0.0,33.08,33.08,0.0,0.0,32.87,32.87,0.0,0.0,32.87,32.87,0.0,0.0
2018-11-11,32.84,32.84,0.0,0.0,32.84,32.84,0.0,0.0,32.67,32.67,0.0,0.0,32.67,32.67,0.0,0.0
2018-11-18,32.08,32.08,0.0,0.0,32.11,32.11,0.0,0.0,32.01,32.01,0.0,0.0,32.09,32.09,0.0,0.0
2018-11-25,33.36,33.36,0.0,0.0,33.37,33.37,0.0,0.0,33.2,33.2,0.0,0.0,33.33,33.33,0.0,0.0
2018-12-02,30.77,30.77,0.0,0.0,31.16,31.16,0.0,0.0,30.74,30.74,0.0,0.0,31.09,31.09,0.0,0.0
2018-12-09,30.25,30.25,0.0,0.0,30.25,30.25,0.0,0.0,30.04,30.04,0.0,0.0,30.04,30.04,0.0,0.0
2018-12-16,28.73,28.73,0.0,0.0,28.99,28.99,0.0,0.0,28.16,28.16,0.0,0.0,28.16,28.16,0.0,0.0
2018-12-23,29.15,29.15,0.0,0.0,29.37,29.37,0.0,0.0,29.01,29.01,0.0,0.0,29.37,29.37,0.0,0.0
2018-12-30,30.36,30.36,0.0,0.0,30.42,30.42,0.0,0.0,30.29,30.29,0.0,0.0,30.29,30.29,0.0,0.0
2019-01-06,31.14,31.14,0.0,0.0,31.14,31.14,0.0,0.0,31.14,31.14,0.0,0.0,31.14,31.14,0.0,0.0
2019-01-13,31.85,31.85,0.0,0.0,31.85,31.85,0.0,0.0,31.79,31.79,0.0,0.0,31.79,31.79,0.0,0.0
2019-01-20,31.77,31.77,0.0,0.0,31.77,31.77,0.0,0.0,31.77,31.77,0.0,0.0,31.77,31.77,0.0,0.0
2019-01-27,32.44,32.44,0.0,0.0,32.72,32.72,0.0,0.0,32.44,32.44,0.0,0.0,32.57,32.57,0.0,0.0
2019-02-03,32.67,32.67,0.0,0.0,32.77,32.77,0.0,0.0,32.5,32.5,0.0,0.0,32.61,32.61,0.0,0.0
2019-02-10,33.52,33.52,0.0,0.0,33.52,33.52,0.0,0.0,33.5,33.5,0.0,0.0,33.5,33.5,0.0,0.0
2019-02-17,34.02,34.02,0.0,0.0,34.11,34.11,0.0,0.0,33.9,33.9,0.0,0.0,33.9,33.9,0.0,0.0
2019-02-24,33.8,33.8,0.0,0.0,33.8,33.8,0.0,0.0,33.27,33.27,0.0,0.0,33.44,33.44,0.0,0.0
2019-03-03,32.64,32.64,0.0,0.0,32.65,32.65,0.0,0.0,32.56,32.56,0.0,0.0,32.65,32.65,0.0,0.0
2019-03-10,33.6,33.6,0.0,0.0,33.69,33.69,0.0,0.0,33.49,33.49,0.0,0.0,33.61,33.61,0.0,0.0
2019-03-17,32.65,32.65,0.0,0.0,32.84,32.84,0.0,0.0,32.65,32.65,0.0,0.0,32.84,32.84,0.0,0.0
2019-03-24,33.68,33.68,0.0,0.0,33.77,33.77,0.0,0.0,33.68,33.68,0.0,0.0,33.76,33.76,0.0,0.0
2019-03-31,33.99,33.99,0.0,0.0,34.19,34.19,0.0,0.0,33.99,33.99,0.0,0.0,34.16,34.16,0.0,0.0
2019-04-07,34.39,34.39,0.0,0.0,34.39,34.39,0.0,0.0,34.39,34.39,0.0,0.0,34.39,34.39,0.0,0.0
2019-04-14,34.18,34.18,0.0,0.0,34.23,34.23,0.0,0.0,34.15,34.15,0.0,0.0,34.19,34.19,0.0,0.0
2019-04-21,34.57,34.57,0.0,0.0,34.67,34.67,0.0,0.0,34.54,34.54,0.0,0.0,34.66,34.66,0.0,0.0
2019-04-28,33.95,33.95,0.0,0.0,34.19,34.19,0.0,0.0,33.95,33.95,0.0,0.0,34.19,34.19,0.0,0.0
2019-05-05,33.02,33.02,0.0,0.0,33.02,33.02,0.0,0.0,32.56,32.56,0.0,0.0,32.8,32.8,0.0,0.0
2019-05-12,33.18,33.18,0.0,0.0,33.52,33.52,0.0,0.0,33.18,33.18,0.0,0.0,33.39,33.39,0.0,0.0
2019-05-19,33.07,33.07,0.0,0.0,33.07,33.07,0.0,0.0,32.35,32.35,0.0,0.0,32.35,32.35,0.0,0.0
2019-05-26,32.09,32.09,0.0,0.0,32.09,32.09,0.0,0.0,32.09,32.09,0.0,0.0,32.09,32.09,0.0,0.0
2019-06-02,33.4,33.4,0.0,0.0,33.48,33.48,0.0,0.0,33.19,33.19,0.0,0.0,33.19,33.19,0.0,0.0
2019-06-09,33.31,33.31,0.0,0.0,33.31,33.31,0.0,0.0,33.31,33.31,0.0,0.0,33.31,33.31,0.0,0.0
2019-06-16,33.56,33.56,0.0,0.0,33.56,33.56,0.0,0.0,33.56,33.56,0.0,0.0,33.56,33.56,0.0,0.0
2019-06-23,33.79,33.79,0.0,0.0,34.0,34.0,0.0,0.0,33.73,33.73,0.0,0.0,34.0,34.0,0.0,0.0
2019-06-30,34.61,34.61,0.0,0.0,34.61,34.61,0.0,0.0,34.23,34.23,0.0,0.0,34.23,34.23,0.0,0.0
2019-07-07,34.45,34.45,0.0,0.0,34.45,34.45,0.0,0.0,34.45,34.45,0.0,0.0,34.45,34.45,0.0,0.0
2019-07-14,33.86,33.86,0.0,0.0,33.86,33.86,0.0,0.0,33.86,33.86,0.0,0.0,33.86,33.86,0.0,0.0
2019-07-21,34.64,34.64,0.0,0.0,34.64,34.64,0.0,0.0,34.64,34.64,0.0,0.0,34.64,34.64,0.0,0.0
2019-07-28,32.59,32.59,0.0,0.0,32.59,32.59,0.0,0.0,32.2,32.2,0.0,0.0,32.54,32.54,0.0,0.0
