Date,ProShares UltraShort QQQ_Open_average,ProShares UltraShort QQQ_Open_max,ProShares UltraShort QQQ_Open_volatility,ProShares UltraShort QQQ_Open_change,ProShares UltraShort QQQ_High_average,ProShares UltraShort QQQ_High_max,ProShares UltraShort QQQ_High_volatility,ProShares UltraShort QQQ_High_change,ProShares UltraShort QQQ_Low_average,ProShares UltraShort QQQ_Low_max,ProShares UltraShort QQQ_Low_volatility,ProShares UltraShort QQQ_Low_change,ProShares UltraShort QQQ_Close_average,ProShares UltraShort QQQ_Close_max,ProShares UltraShort QQQ_Close_volatility,ProShares UltraShort QQQ_Close_change
2017-06-18,65.52,65.52,0.0,0.0,67.2,67.2,0.0,0.0,65.32,65.32,0.0,0.0,66.88,66.88,0.0,0.0
2017-06-25,69.04,69.04,0.0,0.0,71.2,71.2,0.0,0.0,68.84,68.84,0.0,0.0,71.08,71.08,0.0,0.0
2017-07-02,69.36,69.36,0.0,0.0,69.72,69.72,0.0,0.0,68.24,68.24,0.0,0.0,68.56,68.56,0.0,0.0
2017-07-09,65.12,65.12,0.0,0.0,65.45,65.45,0.0,0.0,64.72,64.72,0.0,0.0,65.2,65.2,0.0,0.0
2017-07-16,63.48,63.48,0.0,0.0,63.64,63.64,0.0,0.0,62.8,62.8,0.0,0.0,62.92,62.92,0.0,0.0
2017-07-23,63.36,63.36,0.0,0.0,64.52,64.52,0.0,0.0,63.22,63.22,0.0,0.0,64.32,64.32,0.0,0.0
2017-07-30,63.76,63.76,0.0,0.0,63.84,63.84,0.0,0.0,63.12,63.12,0.0,0.0,63.12,63.12,0.0,0.0
2017-08-06,64.2,64.2,0.0,0.0,64.24,64.24,0.0,0.0,63.36,63.36,0.0,0.0,63.56,63.56,0.0,0.0
2017-08-13,66.04,66.04,0.0,0.0,66.92,66.92,0.0,0.0,65.68,65.68,0.0,0.0,66.08,66.08,0.0,0.0
2017-08-20,64.88,64.88,0.0,0.0,65.24,65.24,0.0,0.0,64.53,64.53,0.0,0.0,64.88,64.88,0.0,0.0
2017-08-27,61.28,61.28,0.0,0.0,61.96,61.96,0.0,0.0,61.2,61.2,0.0,0.0,61.64,61.64,0.0,0.0
2017-09-03,62.2,62.2,0.0,0.0,62.24,62.24,0.0,0.0,61.54,61.54,0.0,0.0,61.8,61.8,0.0,0.0
2017-09-10,61.48,61.48,0.0,0.0,62.14,62.14,0.0,0.0,61.08,61.08,0.0,0.0,61.8,61.8,0.0,0.0
2017-09-17,63.4,63.4,0.0,0.0,64.8,64.8,0.0,0.0,63.24,63.24,0.0,0.0,64.16,64.16,0.0,0.0
2017-09-24,61.64,61.64,0.0,0.0,62.28,62.28,0.0,0.0,61.2,61.2,0.0,0.0,61.76,61.76,0.0,0.0
2017-10-01,59.88,59.88,0.0,0.0,60.32,60.32,0.0,0.0,59.73,59.73,0.0,0.0,60.2,60.2,0.0,0.0
2017-10-08,59.2,59.2,0.0,0.0,59.44,59.44,0.0,0.0,59.04,59.04,0.0,0.0,59.04,59.04,0.0,0.0
2017-10-15,59.0,59.0,0.0,0.0,60.14,60.14,0.0,0.0,58.96,58.96,0.0,0.0,60.0,60.0,0.0,0.0
2017-10-22,57.2,57.2,0.0,0.0,57.28,57.28,0.0,0.0,56.4,56.4,0.0,0.0,56.84,56.84,0.0,0.0
2017-10-29,55.68,55.68,0.0,0.0,55.74,55.74,0.0,0.0,55.2,55.2,0.0,0.0,55.24,55.24,0.0,0.0
2017-11-05,55.72,55.72,0.0,0.0,55.72,55.72,0.0,0.0,55.04,55.04,0.0,0.0,55.2,55.2,0.0,0.0
2017-11-12,55.04,55.04,0.0,0.0,55.34,55.34,0.0,0.0,54.92,54.92,0.0,0.0,55.2,55.2,0.0,0.0
2017-11-19,53.52,53.52,0.0,0.0,53.78,53.78,0.0,0.0,53.3,53.3,0.0,0.0,53.52,53.52,0.0,0.0
2017-11-26,54.0,54.0,0.0,0.0,56.08,56.08,0.0,0.0,53.9,53.9,0.0,0.0,55.92,55.92,0.0,0.0
2017-12-03,54.56,54.56,0.0,0.0,54.56,54.56,0.0,0.0,53.68,53.68,0.0,0.0,53.72,53.72,0.0,0.0
2017-12-10,51.84,51.84,0.0,0.0,52.0,52.0,0.0,0.0,51.56,51.56,0.0,0.0,51.64,51.64,0.0,0.0
2017-12-17,52.52,52.52,0.0,0.0,52.8,52.8,0.0,0.0,52.44,52.44,0.0,0.0,52.52,52.52,0.0,0.0
2017-12-24,52.8,52.8,0.0,0.0,53.64,53.64,0.0,0.0,52.8,52.8,0.0,0.0,53.56,53.56,0.0,0.0
2017-12-31,49.6,49.6,0.0,0.0,49.6,49.6,0.0,0.0,49.11,49.11,0.0,0.0,49.2,49.2,0.0,0.0
2018-01-07,48.84,48.84,0.0,0.0,48.92,48.92,0.0,0.0,47.92,47.92,0.0,0.0,48.0,48.0,0.0,0.0
2018-01-14,47.0,47.0,0.0,0.0,47.1,47.1,0.0,0.0,45.96,45.96,0.0,0.0,45.96,45.96,0.0,0.0
2018-01-21,44.68,44.68,0.0,0.0,45.04,45.04,0.0,0.0,44.44,44.44,0.0,0.0,44.92,44.92,0.0,0.0
2018-01-28,48.76,48.76,0.0,0.0,51.66,51.66,0.0,0.0,47.2,47.2,0.0,0.0,51.52,51.52,0.0,0.0
2018-02-04,51.44,51.44,0.0,0.0,52.3,52.3,0.0,0.0,49.98,49.98,0.0,0.0,50.64,50.64,0.0,0.0
2018-02-11,46.8,46.8,0.0,0.0,47.08,47.08,0.0,0.0,45.92,45.92,0.0,0.0,46.88,46.88,0.0,0.0
2018-02-18,44.8,44.8,0.0,0.0,44.8,44.8,0.0,0.0,43.96,43.96,0.0,0.0,44.0,44.0,0.0,0.0
2018-02-25,46.68,46.68,0.0,0.0,47.04,47.04,0.0,0.0,45.0,45.0,0.0,0.0,45.24,45.24,0.0,0.0
2018-03-04,42.2,42.2,0.0,0.0,42.4,42.4,0.0,0.0,41.82,41.82,0.0,0.0,42.12,42.12,0.0,0.0
2018-03-11,44.32,44.32,0.0,0.0,46.12,46.12,0.0,0.0,44.32,44.32,0.0,0.0,45.4,45.4,0.0,0.0
2018-03-18,48.2,48.2,0.0,0.0,49.78,49.78,0.0,0.0,46.34,46.34,0.0,0.0,46.48,46.48,0.0,0.0
2018-03-25,49.48,49.48,0.0,0.0,52.6,52.6,0.0,0.0,49.01,49.01,0.0,0.0,51.52,51.52,0.0,0.0
2018-04-01,49.84,49.84,0.0,0.0,50.22,50.22,0.0,0.0,48.01,48.01,0.0,0.0,50.12,50.12,0.0,0.0
2018-04-08,47.08,47.08,0.0,0.0,47.68,47.68,0.0,0.0,46.68,46.68,0.0,0.0,47.04,47.04,0.0,0.0
2018-04-15,46.64,46.64,0.0,0.0,47.88,47.88,0.0,0.0,46.32,46.32,0.0,0.0,47.4,47.4,0.0,0.0
2018-04-22,46.92,46.92,0.0,0.0,48.08,48.08,0.0,0.0,46.36,46.36,0.0,0.0,47.8,47.8,0.0,0.0
2018-04-29,45.08,45.08,0.0,0.0,45.2,45.2,0.0,0.0,44.48,44.48,0.0,0.0,44.8,44.8,0.0,0.0
2018-05-06,42.92,42.92,0.0,0.0,43.1,43.1,0.0,0.0,42.4,42.4,0.0,0.0,42.96,42.96,0.0,0.0
2018-05-13,43.44,43.44,0.0,0.0,44.04,44.04,0.0,0.0,43.08,43.08,0.0,0.0,43.68,43.68,0.0,0.0
2018-05-20,43.08,43.08,0.0,0.0,43.26,43.26,0.0,0.0,42.7,42.7,0.0,0.0,43.0,43.0,0.0,0.0
2018-05-27,41.3,41.3,0.0,0.0,41.35,41.35,0.0,0.0,40.74,40.74,0.0,0.0,40.78,40.78,0.0,0.0
2018-06-03,40.78,40.78,0.0,0.0,40.78,40.78,0.0,0.0,40.29,40.29,0.0,0.0,40.5,40.5,0.0,0.0
2018-06-10,40.09,40.09,0.0,0.0,40.32,40.32,0.0,0.0,39.56,39.56,0.0,0.0,39.63,39.63,0.0,0.0
2018-06-17,40.75,40.75,0.0,0.0,42.55,42.55,0.0,0.0,40.65,40.65,0.0,0.0,41.84,41.84,0.0,0.0
2018-06-24,42.51,42.51,0.0,0.0,42.68,42.68,0.0,0.0,41.13,41.13,0.0,0.0,41.13,41.13,0.0,0.0
2018-07-01,39.41,39.41,0.0,0.0,39.71,39.71,0.0,0.0,39.08,39.08,0.0,0.0,39.1,39.1,0.0,0.0
2018-07-08,38.03,38.03,0.0,0.0,38.35,38.35,0.0,0.0,37.91,37.91,0.0,0.0,38.21,38.21,0.0,0.0
2018-07-15,38.57,38.57,0.0,0.0,38.87,38.87,0.0,0.0,38.06,38.06,0.0,0.0,38.11,38.11,0.0,0.0
2018-07-22,38.88,38.88,0.0,0.0,40.35,40.35,0.0,0.0,38.84,38.84,0.0,0.0,39.97,39.97,0.0,0.0
2018-07-29,37.86,37.86,0.0,0.0,37.96,37.96,0.0,0.0,37.35,37.35,0.0,0.0,37.38,37.38,0.0,0.0
2018-08-05,37.53,37.53,0.0,0.0,37.77,37.77,0.0,0.0,37.04,37.04,0.0,0.0,37.72,37.72,0.0,0.0
2018-08-12,37.78,37.78,0.0,0.0,38.31,38.31,0.0,0.0,37.76,37.76,0.0,0.0,38.02,38.02,0.0,0.0
2018-08-19,36.5,36.5,0.0,0.0,36.63,36.63,0.0,0.0,36.15,36.15,0.0,0.0,36.15,36.15,0.0,0.0
2018-08-26,35.45,35.45,0.0,0.0,35.52,35.52,0.0,0.0,35.06,35.06,0.0,0.0,35.26,35.26,0.0,0.0
2018-09-02,37.03,37.03,0.0,0.0,37.62,37.62,0.0,0.0,36.99,36.99,0.0,0.0,37.2,37.2,0.0,0.0
2018-09-09,36.45,36.45,0.0,0.0,37.42,37.42,0.0,0.0,36.38,36.38,0.0,0.0,37.34,37.34,0.0,0.0
2018-09-16,36.93,36.93,0.0,0.0,37.22,37.22,0.0,0.0,36.17,36.17,0.0,0.0,36.21,36.21,0.0,0.0
2018-09-23,34.91,34.91,0.0,0.0,35.33,35.33,0.0,0.0,34.65,34.65,0.0,0.0,35.18,35.18,0.0,0.0
2018-09-30,37.86,37.86,0.0,0.0,38.86,38.86,0.0,0.0,37.32,37.32,0.0,0.0,37.96,37.96,0.0,0.0
2018-10-07,40.05,40.05,0.0,0.0,41.03,41.03,0.0,0.0,39.92,39.92,0.0,0.0,40.78,40.78,0.0,0.0
2018-10-14,39.74,39.74,0.0,0.0,40.43,40.43,0.0,0.0,39.2,39.2,0.0,0.0,39.81,39.81,0.0,0.0
2018-10-21,41.65,41.65,0.0,0.0,46.3,46.3,0.0,0.0,41.29,41.29,0.0,0.0,44.46,44.46,0.0,0.0
2018-10-28,41.31,41.31,0.0,0.0,42.52,42.52,0.0,0.0,41.28,41.28,0.0,0.0,41.59,41.59,0.0,0.0
2018-11-04,40.82,40.82,0.0,0.0,42.76,42.76,0.0,0.0,40.67,40.67,0.0,0.0,42.62,42.62,0.0,0.0
2018-11-11,42.5,42.5,0.0,0.0,45.08,45.08,0.0,0.0,42.4,42.4,0.0,0.0,44.8,44.8,0.0,0.0
2018-11-18,45.13,45.13,0.0,0.0,45.54,45.54,0.0,0.0,44.25,44.25,0.0,0.0,44.28,44.28,0.0,0.0
2018-11-25,39.08,39.08,0.0,0.0,40.06,40.06,0.0,0.0,38.99,38.99,0.0,0.0,39.47,39.47,0.0,0.0
2018-12-02,44.88,44.88,0.0,0.0,45.79,45.79,0.0,0.0,43.39,43.39,0.0,0.0,43.76,43.76,0.0,0.0
2018-12-09,45.17,45.17,0.0,0.0,47.54,47.54,0.0,0.0,44.49,44.49,0.0,0.0,46.8,46.8,0.0,0.0
2018-12-16,53.89,53.89,0.0,0.0,55.72,55.72,0.0,0.0,52.53,52.53,0.0,0.0,55.66,55.66,0.0,0.0
2018-12-23,47.36,47.36,0.0,0.0,48.47,48.47,0.0,0.0,47.04,47.04,0.0,0.0,47.54,47.54,0.0,0.0
2018-12-30,45.7,45.7,0.0,0.0,45.96,45.96,0.0,0.0,44.39,44.39,0.0,0.0,44.85,44.85,0.0,0.0
2019-01-06,44.16,44.16,0.0,0.0,44.55,44.55,0.0,0.0,43.81,43.81,0.0,0.0,44.16,44.16,0.0,0.0
2019-01-13,41.26,41.26,0.0,0.0,41.74,41.74,0.0,0.0,40.63,40.63,0.0,0.0,41.07,41.07,0.0,0.0
2019-01-20,42.1,42.1,0.0,0.0,42.72,42.72,0.0,0.0,42.06,42.06,0.0,0.0,42.06,42.06,0.0,0.0
2019-01-27,39.8,39.8,0.0,0.0,39.88,39.88,0.0,0.0,38.86,38.86,0.0,0.0,38.88,38.88,0.0,0.0
2019-02-03,39.04,39.04,0.0,0.0,39.56,39.56,0.0,0.0,38.82,38.82,0.0,0.0,39.38,39.38,0.0,0.0
2019-02-10,37.54,37.54,0.0,0.0,38.14,38.14,0.0,0.0,37.52,37.52,0.0,0.0,37.78,37.78,0.0,0.0
2019-02-17,36.85,36.85,0.0,0.0,37.18,37.18,0.0,0.0,36.64,36.64,0.0,0.0,37.13,37.13,0.0,0.0
2019-02-24,36.39,36.39,0.0,0.0,37.6,37.6,0.0,0.0,36.22,36.22,0.0,0.0,36.79,36.79,0.0,0.0
2019-03-03,37.94,37.94,0.0,0.0,37.94,37.94,0.0,0.0,36.59,36.59,0.0,0.0,36.62,36.62,0.0,0.0
2019-03-10,35.21,35.21,0.0,0.0,35.35,35.35,0.0,0.0,34.81,34.81,0.0,0.0,35.02,35.02,0.0,0.0
2019-03-17,35.08,35.08,0.0,0.0,35.45,35.45,0.0,0.0,34.71,34.71,0.0,0.0,34.94,34.94,0.0,0.0
2019-03-24,33.76,33.76,0.0,0.0,33.99,33.99,0.0,0.0,33.43,33.43,0.0,0.0,33.49,33.49,0.0,0.0
2019-03-31,32.72,32.72,0.0,0.0,32.96,32.96,0.0,0.0,32.39,32.39,0.0,0.0,32.43,32.43,0.0,0.0
2019-04-07,32.22,32.22,0.0,0.0,32.64,32.64,0.0,0.0,32.14,32.14,0.0,0.0,32.2,32.2,0.0,0.0
2019-04-14,32.0,32.0,0.0,0.0,32.04,32.04,0.0,0.0,31.52,31.52,0.0,0.0,31.53,31.53,0.0,0.0
2019-04-21,30.65,30.65,0.0,0.0,30.76,30.76,0.0,0.0,30.45,30.45,0.0,0.0,30.56,30.56,0.0,0.0
2019-04-28,31.81,31.81,0.0,0.0,31.91,31.91,0.0,0.0,30.82,30.82,0.0,0.0,30.9,30.9,0.0,0.0
2019-05-05,34.22,34.22,0.0,0.0,35.01,35.01,0.0,0.0,33.89,33.89,0.0,0.0,34.82,34.82,0.0,0.0
2019-05-12,34.07,34.07,0.0,0.0,34.48,34.48,0.0,0.0,33.82,33.82,0.0,0.0,34.25,34.25,0.0,0.0
2019-05-19,34.54,34.54,0.0,0.0,35.06,35.06,0.0,0.0,34.3,34.3,0.0,0.0,35.0,35.0,0.0,0.0
2019-05-26,36.87,36.87,0.0,0.0,38.66,38.66,0.0,0.0,36.7,36.7,0.0,0.0,38.25,38.25,0.0,0.0
2019-06-02,33.29,33.29,0.0,0.0,33.3,33.3,0.0,0.0,32.31,32.31,0.0,0.0,32.98,32.98,0.0,0.0
2019-06-09,33.03,33.03,0.0,0.0,33.09,33.09,0.0,0.0,32.58,32.58,0.0,0.0,32.79,32.79,0.0,0.0
2019-06-16,31.01,31.01,0.0,0.0,31.16,31.16,0.0,0.0,30.94,30.94,0.0,0.0,31.12,31.12,0.0,0.0
2019-06-23,30.2,30.2,0.0,0.0,30.84,30.84,0.0,0.0,30.11,30.11,0.0,0.0,30.54,30.54,0.0,0.0
2019-06-30,30.36,30.36,0.0,0.0,30.66,30.66,0.0,0.0,30.36,30.36,0.0,0.0,30.42,30.42,0.0,0.0
2019-07-07,29.11,29.11,0.0,0.0,29.27,29.27,0.0,0.0,29.05,29.05,0.0,0.0,29.07,29.07,0.0,0.0
2019-07-14,29.89,29.89,0.0,0.0,29.9,29.9,0.0,0.0,29.45,29.45,0.0,0.0,29.55,29.55,0.0,0.0
2019-07-21,28.78,28.78,0.0,0.0,29.29,29.29,0.0,0.0,28.77,28.77,0.0,0.0,28.93,28.93,0.0,0.0
2019-07-28,32.51,32.51,0.0,0.0,33.94,33.94,0.0,0.0,32.5,32.5,0.0,0.0,33.47,33.47,0.0,0.0
2019-08-04,31.74,31.74,0.0,0.0,32.36,32.36,0.0,0.0,31.56,31.56,0.0,0.0,32.07,32.07,0.0,0.0
