Date,iShares JPMorgan USD EM Bond_Open_average,iShares JPMorgan USD EM Bond_Open_max,iShares JPMorgan USD EM Bond_Open_volatility,iShares JPMorgan USD EM Bond_Open_change,iShares JPMorgan USD EM Bond_High_average,iShares JPMorgan USD EM Bond_High_max,iShares JPMorgan USD EM Bond_High_volatility,iShares JPMorgan USD EM Bond_High_change,iShares JPMorgan USD EM Bond_Low_average,iShares JPMorgan USD EM Bond_Low_max,iShares JPMorgan USD EM Bond_Low_volatility,iShares JPMorgan USD EM Bond_Low_change,iShares JPMorgan USD EM Bond_Close_average,iShares JPMorgan USD EM Bond_Close_max,iShares JPMorgan USD EM Bond_Close_volatility,iShares JPMorgan USD EM Bond_Close_change
2016-09-18,116.95,116.95,0.0,0.0,117.02,117.02,0.0,0.0,116.74,116.74,0.0,0.0,116.88,116.88,0.0,0.0
2016-09-25,116.94,116.94,0.0,0.0,117.06,117.06,0.0,0.0,116.7,116.7,0.0,0.0,116.94,116.94,0.0,0.0
2016-10-02,116.15,116.15,0.0,0.0,116.8,116.8,0.0,0.0,116.15,116.15,0.0,0.0,116.78,116.78,0.0,0.0
2016-10-09,115.19,115.19,0.0,0.0,115.6,115.6,0.0,0.0,115.19,115.19,0.0,0.0,115.57,115.57,0.0,0.0
2016-10-16,116.43,116.43,0.0,0.0,116.59,116.59,0.0,0.0,116.31,116.31,0.0,0.0,116.47,116.47,0.0,0.0
2016-10-23,114.86,114.86,0.0,0.0,115.18,115.18,0.0,0.0,114.68,114.68,0.0,0.0,114.69,114.69,0.0,0.0
2016-10-30,114.76,114.76,0.0,0.0,114.95,114.95,0.0,0.0,114.61,114.61,0.0,0.0,114.94,114.94,0.0,0.0
2016-11-06,107.91,107.91,0.0,0.0,108.58,108.58,0.0,0.0,107.74,107.74,0.0,0.0,108.16,108.16,0.0,0.0
2016-11-13,109.73,109.73,0.0,0.0,109.97,109.97,0.0,0.0,109.5,109.5,0.0,0.0,109.58,109.58,0.0,0.0
2016-11-20,109.74,109.74,0.0,0.0,109.87,109.87,0.0,0.0,109.56,109.56,0.0,0.0,109.69,109.69,0.0,0.0
2016-11-27,108.53,108.53,0.0,0.0,108.97,108.97,0.0,0.0,108.53,108.53,0.0,0.0,108.79,108.79,0.0,0.0
2016-12-04,109.83,109.83,0.0,0.0,109.83,109.83,0.0,0.0,109.52,109.52,0.0,0.0,109.71,109.71,0.0,0.0
2016-12-11,109.35,109.35,0.0,0.0,109.86,109.86,0.0,0.0,109.27,109.27,0.0,0.0,109.6,109.6,0.0,0.0
2016-12-18,109.98,109.98,0.0,0.0,110.09,110.09,0.0,0.0,109.93,109.93,0.0,0.0,110.09,110.09,0.0,0.0
2016-12-25,110.36,110.36,0.0,0.0,110.49,110.49,0.0,0.0,110.22,110.22,0.0,0.0,110.22,110.22,0.0,0.0
2017-01-01,111.97,111.97,0.0,0.0,111.99,111.99,0.0,0.0,111.79,111.79,0.0,0.0,111.96,111.96,0.0,0.0
2017-01-08,112.37,112.37,0.0,0.0,112.47,112.47,0.0,0.0,112.03,112.03,0.0,0.0,112.16,112.16,0.0,0.0
2017-01-15,111.73,111.73,0.0,0.0,112.3,112.3,0.0,0.0,111.69,111.69,0.0,0.0,112.23,112.23,0.0,0.0
2017-01-22,111.96,111.96,0.0,0.0,112.0,112.0,0.0,0.0,111.72,111.72,0.0,0.0,111.72,111.72,0.0,0.0
2017-01-29,112.77,112.77,0.0,0.0,113.41,113.41,0.0,0.0,112.58,112.58,0.0,0.0,112.69,112.69,0.0,0.0
2017-02-05,112.98,112.98,0.0,0.0,113.2,113.2,0.0,0.0,112.98,112.98,0.0,0.0,113.13,113.13,0.0,0.0
2017-02-12,112.79,112.79,0.0,0.0,112.99,112.99,0.0,0.0,112.73,112.73,0.0,0.0,112.95,112.95,0.0,0.0
2017-02-19,113.9,113.9,0.0,0.0,113.93,113.93,0.0,0.0,113.52,113.52,0.0,0.0,113.56,113.56,0.0,0.0
2017-02-26,113.15,113.15,0.0,0.0,113.23,113.23,0.0,0.0,112.92,112.92,0.0,0.0,113.11,113.11,0.0,0.0
2017-03-05,112.1,112.1,0.0,0.0,112.2,112.2,0.0,0.0,111.65,111.65,0.0,0.0,111.74,111.74,0.0,0.0
2017-03-12,113.27,113.27,0.0,0.0,113.29,113.29,0.0,0.0,113.04,113.04,0.0,0.0,113.25,113.25,0.0,0.0
2017-03-19,113.74,113.74,0.0,0.0,113.9,113.9,0.0,0.0,113.66,113.66,0.0,0.0,113.73,113.73,0.0,0.0
2017-03-26,113.5,113.5,0.0,0.0,113.62,113.62,0.0,0.0,113.29,113.29,0.0,0.0,113.57,113.57,0.0,0.0
2017-04-02,114.03,114.03,0.0,0.0,114.03,114.03,0.0,0.0,113.59,113.59,0.0,0.0,113.64,113.64,0.0,0.0
2017-04-09,114.23,114.23,0.0,0.0,114.43,114.43,0.0,0.0,114.21,114.21,0.0,0.0,114.29,114.29,0.0,0.0
2017-04-16,114.59,114.59,0.0,0.0,114.9,114.9,0.0,0.0,114.59,114.59,0.0,0.0,114.89,114.89,0.0,0.0
2017-04-23,114.62,114.62,0.0,0.0,114.81,114.81,0.0,0.0,114.48,114.48,0.0,0.0,114.6,114.6,0.0,0.0
2017-04-30,114.36,114.36,0.0,0.0,114.5,114.5,0.0,0.0,114.12,114.12,0.0,0.0,114.16,114.16,0.0,0.0
2017-05-07,115.06,115.06,0.0,0.0,115.1,115.1,0.0,0.0,114.93,114.93,0.0,0.0,115.06,115.06,0.0,0.0
2017-05-14,114.91,114.91,0.0,0.0,115.05,115.05,0.0,0.0,114.87,114.87,0.0,0.0,114.87,114.87,0.0,0.0
2017-05-21,115.42,115.42,0.0,0.0,115.49,115.49,0.0,0.0,115.37,115.37,0.0,0.0,115.49,115.49,0.0,0.0
2017-05-28,115.89,115.89,0.0,0.0,115.89,115.89,0.0,0.0,115.67,115.67,0.0,0.0,115.81,115.81,0.0,0.0
2017-06-04,115.69,115.69,0.0,0.0,116.08,116.08,0.0,0.0,115.5,115.5,0.0,0.0,115.52,115.52,0.0,0.0
2017-06-11,115.54,115.54,0.0,0.0,115.78,115.78,0.0,0.0,115.24,115.24,0.0,0.0,115.45,115.45,0.0,0.0
2017-06-18,115.39,115.39,0.0,0.0,115.58,115.58,0.0,0.0,115.39,115.39,0.0,0.0,115.51,115.51,0.0,0.0
2017-06-25,113.96,113.96,0.0,0.0,114.08,114.08,0.0,0.0,113.44,113.44,0.0,0.0,113.55,113.55,0.0,0.0
2017-07-02,113.34,113.34,0.0,0.0,113.58,113.58,0.0,0.0,113.33,113.33,0.0,0.0,113.4,113.4,0.0,0.0
2017-07-09,114.51,114.51,0.0,0.0,114.6,114.6,0.0,0.0,114.39,114.39,0.0,0.0,114.52,114.52,0.0,0.0
2017-07-16,115.25,115.25,0.0,0.0,115.28,115.28,0.0,0.0,114.92,114.92,0.0,0.0,115.06,115.06,0.0,0.0
2017-07-23,115.25,115.25,0.0,0.0,115.28,115.28,0.0,0.0,115.1,115.1,0.0,0.0,115.26,115.26,0.0,0.0
2017-07-30,115.15,115.15,0.0,0.0,115.5,115.5,0.0,0.0,115.15,115.15,0.0,0.0,115.44,115.44,0.0,0.0
2017-08-06,115.28,115.28,0.0,0.0,115.58,115.58,0.0,0.0,114.97,114.97,0.0,0.0,115.23,115.23,0.0,0.0
2017-08-13,115.65,115.65,0.0,0.0,115.73,115.73,0.0,0.0,115.56,115.56,0.0,0.0,115.66,115.66,0.0,0.0
2017-08-20,116.27,116.27,0.0,0.0,116.42,116.42,0.0,0.0,116.09,116.09,0.0,0.0,116.2,116.2,0.0,0.0
2017-08-27,116.58,116.58,0.0,0.0,116.67,116.67,0.0,0.0,116.38,116.38,0.0,0.0,116.53,116.53,0.0,0.0
2017-09-03,117.3,117.3,0.0,0.0,117.3,117.3,0.0,0.0,117.03,117.03,0.0,0.0,117.06,117.06,0.0,0.0
2017-09-10,117.03,117.03,0.0,0.0,117.04,117.04,0.0,0.0,116.79,116.79,0.0,0.0,116.83,116.83,0.0,0.0
2017-09-17,116.41,116.41,0.0,0.0,116.45,116.45,0.0,0.0,116.09,116.09,0.0,0.0,116.33,116.33,0.0,0.0
2017-09-24,115.74,115.74,0.0,0.0,116.04,116.04,0.0,0.0,115.71,115.71,0.0,0.0,115.86,115.86,0.0,0.0
2017-10-01,115.71,115.71,0.0,0.0,115.71,115.71,0.0,0.0,115.47,115.47,0.0,0.0,115.53,115.53,0.0,0.0
2017-10-08,116.06,116.06,0.0,0.0,116.34,116.34,0.0,0.0,116.06,116.06,0.0,0.0,116.21,116.21,0.0,0.0
2017-10-15,116.1,116.1,0.0,0.0,116.16,116.16,0.0,0.0,115.93,115.93,0.0,0.0,115.94,115.94,0.0,0.0
2017-10-22,115.97,115.97,0.0,0.0,116.22,116.22,0.0,0.0,115.96,115.96,0.0,0.0,116.14,116.14,0.0,0.0
2017-10-29,115.21,115.21,0.0,0.0,115.27,115.27,0.0,0.0,115.14,115.14,0.0,0.0,115.26,115.26,0.0,0.0
2017-11-05,114.5,114.5,0.0,0.0,114.69,114.69,0.0,0.0,114.5,114.5,0.0,0.0,114.58,114.58,0.0,0.0
2017-11-12,115.2,115.2,0.0,0.0,115.28,115.28,0.0,0.0,115.17,115.17,0.0,0.0,115.21,115.21,0.0,0.0
2017-11-19,116.02,116.02,0.0,0.0,116.03,116.03,0.0,0.0,115.81,115.81,0.0,0.0,115.87,115.87,0.0,0.0
2017-11-26,115.44,115.44,0.0,0.0,115.52,115.52,0.0,0.0,115.34,115.34,0.0,0.0,115.49,115.49,0.0,0.0
2017-12-03,115.62,115.62,0.0,0.0,115.7,115.7,0.0,0.0,115.45,115.45,0.0,0.0,115.47,115.47,0.0,0.0
2017-12-10,116.18,116.18,0.0,0.0,116.25,116.25,0.0,0.0,116.05,116.05,0.0,0.0,116.17,116.17,0.0,0.0
2017-12-17,115.43,115.43,0.0,0.0,115.8,115.8,0.0,0.0,115.41,115.41,0.0,0.0,115.74,115.74,0.0,0.0
2017-12-24,116.04,116.04,0.0,0.0,116.22,116.22,0.0,0.0,115.87,115.87,0.0,0.0,116.1,116.1,0.0,0.0
2017-12-31,116.6,116.6,0.0,0.0,116.72,116.72,0.0,0.0,116.39,116.39,0.0,0.0,116.51,116.51,0.0,0.0
2018-01-07,115.77,115.77,0.0,0.0,116.14,116.14,0.0,0.0,115.75,115.75,0.0,0.0,116.13,116.13,0.0,0.0
2018-01-14,115.48,115.48,0.0,0.0,115.67,115.67,0.0,0.0,115.35,115.35,0.0,0.0,115.59,115.59,0.0,0.0
2018-01-21,115.49,115.49,0.0,0.0,115.57,115.57,0.0,0.0,115.37,115.37,0.0,0.0,115.39,115.39,0.0,0.0
2018-01-28,113.9,113.9,0.0,0.0,114.42,114.42,0.0,0.0,113.22,113.22,0.0,0.0,113.46,113.46,0.0,0.0
2018-02-04,112.18,112.18,0.0,0.0,112.31,112.31,0.0,0.0,111.9,111.9,0.0,0.0,112.04,112.04,0.0,0.0
2018-02-11,112.66,112.66,0.0,0.0,113.02,113.02,0.0,0.0,112.5,112.5,0.0,0.0,112.85,112.85,0.0,0.0
2018-02-18,112.74,112.74,0.0,0.0,113.07,113.07,0.0,0.0,112.62,112.62,0.0,0.0,112.99,112.99,0.0,0.0
2018-02-25,112.12,112.12,0.0,0.0,112.18,112.18,0.0,0.0,111.87,111.87,0.0,0.0,112.0,112.0,0.0,0.0
2018-03-04,112.26,112.26,0.0,0.0,112.31,112.31,0.0,0.0,112.11,112.11,0.0,0.0,112.26,112.26,0.0,0.0
2018-03-11,111.88,111.88,0.0,0.0,112.2,112.2,0.0,0.0,111.7,111.7,0.0,0.0,111.76,111.76,0.0,0.0
2018-03-18,111.45,111.45,0.0,0.0,111.86,111.86,0.0,0.0,111.44,111.44,0.0,0.0,111.76,111.76,0.0,0.0
2018-03-25,112.23,112.23,0.0,0.0,112.28,112.28,0.0,0.0,112.05,112.05,0.0,0.0,112.23,112.23,0.0,0.0
2018-04-01,112.42,112.42,0.0,0.0,112.51,112.51,0.0,0.0,112.37,112.37,0.0,0.0,112.46,112.46,0.0,0.0
2018-04-08,112.26,112.26,0.0,0.0,112.28,112.28,0.0,0.0,112.05,112.05,0.0,0.0,112.27,112.27,0.0,0.0
2018-04-15,110.89,110.89,0.0,0.0,111.0,111.0,0.0,0.0,110.73,110.73,0.0,0.0,110.88,110.88,0.0,0.0
2018-04-22,110.49,110.49,0.0,0.0,110.55,110.55,0.0,0.0,110.08,110.08,0.0,0.0,110.14,110.14,0.0,0.0
2018-04-29,108.52,108.52,0.0,0.0,108.62,108.62,0.0,0.0,108.12,108.12,0.0,0.0,108.18,108.18,0.0,0.0
2018-05-06,109.12,109.12,0.0,0.0,109.22,109.22,0.0,0.0,108.85,108.85,0.0,0.0,108.98,108.98,0.0,0.0
2018-05-13,107.66,107.66,0.0,0.0,108.02,108.02,0.0,0.0,107.64,107.64,0.0,0.0,107.93,107.93,0.0,0.0
2018-05-20,109.51,109.51,0.0,0.0,109.7,109.7,0.0,0.0,109.5,109.5,0.0,0.0,109.62,109.62,0.0,0.0
2018-05-27,108.11,108.11,0.0,0.0,108.26,108.26,0.0,0.0,107.93,107.93,0.0,0.0,107.96,107.96,0.0,0.0
2018-06-03,107.5,107.5,0.0,0.0,107.56,107.56,0.0,0.0,107.45,107.45,0.0,0.0,107.48,107.48,0.0,0.0
2018-06-10,106.44,106.44,0.0,0.0,106.44,106.44,0.0,0.0,106.08,106.08,0.0,0.0,106.21,106.21,0.0,0.0
2018-06-17,107.11,107.11,0.0,0.0,107.28,107.28,0.0,0.0,106.78,106.78,0.0,0.0,106.91,106.91,0.0,0.0
2018-06-24,106.09,106.09,0.0,0.0,106.38,106.38,0.0,0.0,105.93,105.93,0.0,0.0,106.32,106.32,0.0,0.0
2018-07-01,108.75,108.75,0.0,0.0,108.84,108.84,0.0,0.0,108.46,108.46,0.0,0.0,108.56,108.56,0.0,0.0
2018-07-08,109.03,109.03,0.0,0.0,109.29,109.29,0.0,0.0,108.64,108.64,0.0,0.0,108.79,108.79,0.0,0.0
2018-07-15,108.58,108.58,0.0,0.0,108.75,108.75,0.0,0.0,108.33,108.33,0.0,0.0,108.42,108.42,0.0,0.0
2018-07-22,109.52,109.52,0.0,0.0,109.55,109.55,0.0,0.0,109.21,109.21,0.0,0.0,109.26,109.26,0.0,0.0
2018-07-29,108.33,108.33,0.0,0.0,108.39,108.39,0.0,0.0,108.11,108.11,0.0,0.0,108.13,108.13,0.0,0.0
2018-08-05,105.3,105.3,0.0,0.0,106.02,106.02,0.0,0.0,105.27,105.27,0.0,0.0,105.9,105.9,0.0,0.0
2018-08-12,106.87,106.87,0.0,0.0,106.92,106.92,0.0,0.0,106.63,106.63,0.0,0.0,106.88,106.88,0.0,0.0
2018-08-19,107.31,107.31,0.0,0.0,107.63,107.63,0.0,0.0,107.31,107.31,0.0,0.0,107.54,107.54,0.0,0.0
2018-08-26,106.12,106.12,0.0,0.0,106.6,106.6,0.0,0.0,106.06,106.06,0.0,0.0,106.1,106.1,0.0,0.0
2018-09-02,105.57,105.57,0.0,0.0,105.59,105.59,0.0,0.0,105.35,105.35,0.0,0.0,105.4,105.4,0.0,0.0
2018-09-09,106.4,106.4,0.0,0.0,106.56,106.56,0.0,0.0,106.24,106.24,0.0,0.0,106.36,106.36,0.0,0.0
2018-09-16,107.29,107.29,0.0,0.0,107.44,107.44,0.0,0.0,107.12,107.12,0.0,0.0,107.13,107.13,0.0,0.0
2018-09-23,107.52,107.52,0.0,0.0,107.72,107.72,0.0,0.0,107.33,107.33,0.0,0.0,107.36,107.36,0.0,0.0
2018-09-30,105.65,105.65,0.0,0.0,105.9,105.9,0.0,0.0,105.65,105.65,0.0,0.0,105.81,105.81,0.0,0.0
2018-10-07,105.73,105.73,0.0,0.0,105.97,105.97,0.0,0.0,105.73,105.73,0.0,0.0,105.83,105.83,0.0,0.0
2018-10-14,105.56,105.56,0.0,0.0,105.69,105.69,0.0,0.0,105.3,105.3,0.0,0.0,105.35,105.35,0.0,0.0
2018-10-21,105.4,105.4,0.0,0.0,105.48,105.48,0.0,0.0,104.95,104.95,0.0,0.0,104.99,104.99,0.0,0.0
2018-10-28,104.78,104.78,0.0,0.0,104.95,104.95,0.0,0.0,104.63,104.63,0.0,0.0,104.83,104.83,0.0,0.0
2018-11-04,104.45,104.45,0.0,0.0,104.46,104.46,0.0,0.0,104.19,104.19,0.0,0.0,104.23,104.23,0.0,0.0
2018-11-11,103.95,103.95,0.0,0.0,104.0,104.0,0.0,0.0,103.63,103.63,0.0,0.0,103.66,103.66,0.0,0.0
2018-11-18,102.96,102.96,0.0,0.0,103.21,103.21,0.0,0.0,102.85,102.85,0.0,0.0,103.08,103.08,0.0,0.0
2018-11-25,104.33,104.33,0.0,0.0,104.44,104.44,0.0,0.0,103.89,103.89,0.0,0.0,103.96,103.96,0.0,0.0
2018-12-02,104.18,104.18,0.0,0.0,104.27,104.27,0.0,0.0,103.84,103.84,0.0,0.0,104.07,104.07,0.0,0.0
2018-12-09,104.85,104.85,0.0,0.0,104.93,104.93,0.0,0.0,104.58,104.58,0.0,0.0,104.79,104.79,0.0,0.0
2018-12-16,103.11,103.11,0.0,0.0,103.14,103.14,0.0,0.0,102.73,102.73,0.0,0.0,102.9,102.9,0.0,0.0
2018-12-23,103.71,103.71,0.0,0.0,103.95,103.95,0.0,0.0,103.59,103.59,0.0,0.0,103.91,103.91,0.0,0.0
2018-12-30,105.36,105.36,0.0,0.0,105.69,105.69,0.0,0.0,105.24,105.24,0.0,0.0,105.59,105.59,0.0,0.0
2019-01-06,105.33,105.33,0.0,0.0,105.52,105.52,0.0,0.0,105.28,105.28,0.0,0.0,105.4,105.4,0.0,0.0
2019-01-13,106.59,106.59,0.0,0.0,106.92,106.92,0.0,0.0,106.47,106.47,0.0,0.0,106.72,106.72,0.0,0.0
2019-01-20,107.29,107.29,0.0,0.0,107.29,107.29,0.0,0.0,107.0,107.0,0.0,0.0,107.21,107.21,0.0,0.0
2019-01-27,108.23,108.23,0.0,0.0,108.42,108.42,0.0,0.0,108.01,108.01,0.0,0.0,108.22,108.22,0.0,0.0
2019-02-03,107.5,107.5,0.0,0.0,107.69,107.69,0.0,0.0,107.36,107.36,0.0,0.0,107.45,107.45,0.0,0.0
2019-02-10,108.28,108.28,0.0,0.0,108.32,108.32,0.0,0.0,108.03,108.03,0.0,0.0,108.23,108.23,0.0,0.0
2019-02-17,108.96,108.96,0.0,0.0,109.05,109.05,0.0,0.0,108.56,108.56,0.0,0.0,108.59,108.59,0.0,0.0
2019-02-24,108.25,108.25,0.0,0.0,108.25,108.25,0.0,0.0,107.76,107.76,0.0,0.0,107.98,107.98,0.0,0.0
2019-03-03,108.25,108.25,0.0,0.0,108.46,108.46,0.0,0.0,108.21,108.21,0.0,0.0,108.39,108.39,0.0,0.0
2019-03-10,109.18,109.18,0.0,0.0,109.3,109.3,0.0,0.0,109.01,109.01,0.0,0.0,109.14,109.14,0.0,0.0
2019-03-17,109.4,109.4,0.0,0.0,110.04,110.04,0.0,0.0,109.34,109.34,0.0,0.0,110.04,110.04,0.0,0.0
2019-03-24,110.0,110.0,0.0,0.0,110.09,110.09,0.0,0.0,109.76,109.76,0.0,0.0,109.8,109.8,0.0,0.0
2019-03-31,109.96,109.96,0.0,0.0,109.97,109.97,0.0,0.0,109.58,109.58,0.0,0.0,109.58,109.58,0.0,0.0
2019-04-07,109.53,109.53,0.0,0.0,109.72,109.72,0.0,0.0,109.36,109.36,0.0,0.0,109.53,109.53,0.0,0.0
2019-04-14,109.45,109.45,0.0,0.0,109.55,109.55,0.0,0.0,109.22,109.22,0.0,0.0,109.43,109.43,0.0,0.0
2019-04-21,109.54,109.54,0.0,0.0,109.81,109.81,0.0,0.0,109.45,109.45,0.0,0.0,109.64,109.64,0.0,0.0
2019-04-28,109.41,109.41,0.0,0.0,109.77,109.77,0.0,0.0,109.32,109.32,0.0,0.0,109.75,109.75,0.0,0.0
2019-05-05,108.87,108.87,0.0,0.0,108.94,108.94,0.0,0.0,108.41,108.41,0.0,0.0,108.45,108.45,0.0,0.0
2019-05-12,109.13,109.13,0.0,0.0,109.48,109.48,0.0,0.0,109.01,109.01,0.0,0.0,109.45,109.45,0.0,0.0
2019-05-19,109.61,109.61,0.0,0.0,109.82,109.82,0.0,0.0,109.39,109.39,0.0,0.0,109.48,109.48,0.0,0.0
2019-05-26,109.09,109.09,0.0,0.0,109.4,109.4,0.0,0.0,109.08,109.08,0.0,0.0,109.39,109.39,0.0,0.0
2019-06-02,111.37,111.37,0.0,0.0,111.51,111.51,0.0,0.0,111.33,111.33,0.0,0.0,111.35,111.35,0.0,0.0
2019-06-09,111.28,111.28,0.0,0.0,111.39,111.39,0.0,0.0,111.1,111.1,0.0,0.0,111.32,111.32,0.0,0.0
2019-06-16,113.18,113.18,0.0,0.0,113.24,113.24,0.0,0.0,112.99,112.99,0.0,0.0,113.05,113.05,0.0,0.0
2019-06-23,113.6,113.6,0.0,0.0,113.68,113.68,0.0,0.0,113.13,113.13,0.0,0.0,113.43,113.43,0.0,0.0
2019-06-30,113.45,113.45,0.0,0.0,113.46,113.46,0.0,0.0,113.19,113.19,0.0,0.0,113.19,113.19,0.0,0.0
2019-07-07,112.98,112.98,0.0,0.0,113.3,113.3,0.0,0.0,112.98,112.98,0.0,0.0,113.23,113.23,0.0,0.0
2019-07-14,113.7,113.7,0.0,0.0,113.81,113.81,0.0,0.0,113.63,113.63,0.0,0.0,113.74,113.74,0.0,0.0
2019-07-21,114.09,114.09,0.0,0.0,114.13,114.13,0.0,0.0,113.92,113.92,0.0,0.0,114.11,114.11,0.0,0.0
2019-07-28,112.93,112.93,0.0,0.0,113.2,113.2,0.0,0.0,112.48,112.48,0.0,0.0,112.56,112.56,0.0,0.0
