Date,iShares Treasury Floating Rate Bond_Open_average,iShares Treasury Floating Rate Bond_Open_max,iShares Treasury Floating Rate Bond_Open_volatility,iShares Treasury Floating Rate Bond_Open_change,iShares Treasury Floating Rate Bond_High_average,iShares Treasury Floating Rate Bond_High_max,iShares Treasury Floating Rate Bond_High_volatility,iShares Treasury Floating Rate Bond_High_change,iShares Treasury Floating Rate Bond_Low_average,iShares Treasury Floating Rate Bond_Low_max,iShares Treasury Floating Rate Bond_Low_volatility,iShares Treasury Floating Rate Bond_Low_change,iShares Treasury Floating Rate Bond_Close_average,iShares Treasury Floating Rate Bond_Close_max,iShares Treasury Floating Rate Bond_Close_volatility,iShares Treasury Floating Rate Bond_Close_change
2018-01-14,50.2,50.2,0.0,0.0,50.25,50.25,0.0,0.0,50.2,50.2,0.0,0.0,50.24,50.24,0.0,0.0
2018-01-21,50.26,50.26,0.0,0.0,50.27,50.27,0.0,0.0,50.21,50.21,0.0,0.0,50.24,50.24,0.0,0.0
2018-01-28,50.22,50.22,0.0,0.0,50.24,50.24,0.0,0.0,50.18,50.18,0.0,0.0,50.24,50.24,0.0,0.0
2018-02-04,50.24,50.24,0.0,0.0,50.25,50.25,0.0,0.0,50.2,50.2,0.0,0.0,50.25,50.25,0.0,0.0
2018-02-11,50.25,50.25,0.0,0.0,50.26,50.26,0.0,0.0,50.23,50.23,0.0,0.0,50.25,50.25,0.0,0.0
2018-02-18,50.21,50.21,0.0,0.0,50.27,50.27,0.0,0.0,50.18,50.18,0.0,0.0,50.18,50.18,0.0,0.0
2018-02-25,50.23,50.23,0.0,0.0,50.23,50.23,0.0,0.0,50.2,50.2,0.0,0.0,50.22,50.22,0.0,0.0
2018-03-04,50.25,50.25,0.0,0.0,50.25,50.25,0.0,0.0,50.21,50.21,0.0,0.0,50.23,50.23,0.0,0.0
2018-03-11,50.26,50.26,0.0,0.0,50.26,50.26,0.0,0.0,50.25,50.25,0.0,0.0,50.26,50.26,0.0,0.0
2018-03-18,50.27,50.27,0.0,0.0,50.27,50.27,0.0,0.0,50.24,50.24,0.0,0.0,50.27,50.27,0.0,0.0
2018-03-25,50.23,50.23,0.0,0.0,50.23,50.23,0.0,0.0,50.21,50.21,0.0,0.0,50.23,50.23,0.0,0.0
2018-04-01,50.25,50.25,0.0,0.0,50.25,50.25,0.0,0.0,50.21,50.21,0.0,0.0,50.25,50.25,0.0,0.0
2018-04-08,50.27,50.27,0.0,0.0,50.27,50.27,0.0,0.0,50.21,50.21,0.0,0.0,50.27,50.27,0.0,0.0
2018-04-15,50.28,50.28,0.0,0.0,50.28,50.28,0.0,0.0,50.26,50.26,0.0,0.0,50.27,50.27,0.0,0.0
2018-04-22,50.28,50.28,0.0,0.0,50.28,50.28,0.0,0.0,50.27,50.27,0.0,0.0,50.28,50.28,0.0,0.0
2018-04-29,50.25,50.25,0.0,0.0,50.25,50.25,0.0,0.0,50.22,50.22,0.0,0.0,50.25,50.25,0.0,0.0
2018-05-06,50.27,50.27,0.0,0.0,50.29,50.29,0.0,0.0,50.27,50.27,0.0,0.0,50.27,50.27,0.0,0.0
2018-05-13,50.29,50.29,0.0,0.0,50.29,50.29,0.0,0.0,50.26,50.26,0.0,0.0,50.27,50.27,0.0,0.0
2018-05-20,50.27,50.27,0.0,0.0,50.31,50.31,0.0,0.0,50.27,50.27,0.0,0.0,50.31,50.31,0.0,0.0
2018-05-27,50.25,50.25,0.0,0.0,50.25,50.25,0.0,0.0,50.24,50.24,0.0,0.0,50.24,50.24,0.0,0.0
2018-06-03,50.27,50.27,0.0,0.0,50.27,50.27,0.0,0.0,50.24,50.24,0.0,0.0,50.27,50.27,0.0,0.0
2018-06-10,50.29,50.29,0.0,0.0,50.29,50.29,0.0,0.0,50.27,50.27,0.0,0.0,50.29,50.29,0.0,0.0
2018-06-17,50.3,50.3,0.0,0.0,50.3,50.3,0.0,0.0,50.27,50.27,0.0,0.0,50.3,50.3,0.0,0.0
2018-06-24,50.25,50.25,0.0,0.0,50.25,50.25,0.0,0.0,50.22,50.22,0.0,0.0,50.25,50.25,0.0,0.0
2018-07-01,50.26,50.26,0.0,0.0,50.27,50.27,0.0,0.0,50.24,50.24,0.0,0.0,50.26,50.26,0.0,0.0
2018-07-08,50.27,50.27,0.0,0.0,50.27,50.27,0.0,0.0,50.25,50.25,0.0,0.0,50.26,50.26,0.0,0.0
2018-07-15,50.33,50.33,0.0,0.0,50.33,50.33,0.0,0.0,50.28,50.28,0.0,0.0,50.29,50.29,0.0,0.0
2018-07-22,50.28,50.28,0.0,0.0,50.28,50.28,0.0,0.0,50.27,50.27,0.0,0.0,50.28,50.28,0.0,0.0
2018-07-29,50.27,50.27,0.0,0.0,50.27,50.27,0.0,0.0,50.25,50.25,0.0,0.0,50.26,50.26,0.0,0.0
2018-08-05,50.28,50.28,0.0,0.0,50.28,50.28,0.0,0.0,50.25,50.25,0.0,0.0,50.27,50.27,0.0,0.0
2018-08-12,50.29,50.29,0.0,0.0,50.29,50.29,0.0,0.0,50.26,50.26,0.0,0.0,50.29,50.29,0.0,0.0
2018-08-19,50.31,50.31,0.0,0.0,50.31,50.31,0.0,0.0,50.29,50.29,0.0,0.0,50.31,50.31,0.0,0.0
2018-08-26,50.34,50.34,0.0,0.0,50.34,50.34,0.0,0.0,50.31,50.31,0.0,0.0,50.33,50.33,0.0,0.0
2018-09-02,50.27,50.27,0.0,0.0,50.27,50.27,0.0,0.0,50.24,50.24,0.0,0.0,50.26,50.26,0.0,0.0
2018-09-09,50.26,50.26,0.0,0.0,50.27,50.27,0.0,0.0,50.26,50.26,0.0,0.0,50.27,50.27,0.0,0.0
2018-09-16,50.31,50.31,0.0,0.0,50.31,50.31,0.0,0.0,50.28,50.28,0.0,0.0,50.28,50.28,0.0,0.0
2018-09-23,50.25,50.25,0.0,0.0,50.25,50.25,0.0,0.0,50.23,50.23,0.0,0.0,50.24,50.24,0.0,0.0
2018-09-30,50.27,50.27,0.0,0.0,50.27,50.27,0.0,0.0,50.26,50.26,0.0,0.0,50.26,50.26,0.0,0.0
2018-10-07,50.29,50.29,0.0,0.0,50.29,50.29,0.0,0.0,50.27,50.27,0.0,0.0,50.28,50.28,0.0,0.0
2018-10-14,50.32,50.32,0.0,0.0,50.32,50.32,0.0,0.0,50.3,50.3,0.0,0.0,50.31,50.31,0.0,0.0
2018-10-21,50.32,50.32,0.0,0.0,50.32,50.32,0.0,0.0,50.3,50.3,0.0,0.0,50.31,50.31,0.0,0.0
2018-10-28,50.27,50.27,0.0,0.0,50.28,50.28,0.0,0.0,50.27,50.27,0.0,0.0,50.27,50.27,0.0,0.0
2018-11-04,50.3,50.3,0.0,0.0,50.3,50.3,0.0,0.0,50.29,50.29,0.0,0.0,50.29,50.29,0.0,0.0
2018-11-11,50.32,50.32,0.0,0.0,50.32,50.32,0.0,0.0,50.29,50.29,0.0,0.0,50.31,50.31,0.0,0.0
2018-11-18,50.34,50.34,0.0,0.0,50.34,50.34,0.0,0.0,50.32,50.32,0.0,0.0,50.34,50.34,0.0,0.0
2018-11-25,50.27,50.27,0.0,0.0,50.28,50.28,0.0,0.0,50.26,50.26,0.0,0.0,50.27,50.27,0.0,0.0
2018-12-02,50.27,50.27,0.0,0.0,50.3,50.3,0.0,0.0,50.27,50.27,0.0,0.0,50.3,50.3,0.0,0.0
2018-12-09,50.32,50.32,0.0,0.0,50.32,50.32,0.0,0.0,50.29,50.29,0.0,0.0,50.31,50.31,0.0,0.0
2018-12-16,50.26,50.26,0.0,0.0,50.26,50.26,0.0,0.0,50.23,50.23,0.0,0.0,50.26,50.26,0.0,0.0
2018-12-23,50.27,50.27,0.0,0.0,50.27,50.27,0.0,0.0,50.24,50.24,0.0,0.0,50.27,50.27,0.0,0.0
2018-12-30,50.27,50.27,0.0,0.0,50.29,50.29,0.0,0.0,50.27,50.27,0.0,0.0,50.28,50.28,0.0,0.0
2019-01-06,50.29,50.29,0.0,0.0,50.31,50.31,0.0,0.0,50.29,50.29,0.0,0.0,50.3,50.3,0.0,0.0
2019-01-13,50.33,50.33,0.0,0.0,50.34,50.34,0.0,0.0,50.32,50.32,0.0,0.0,50.34,50.34,0.0,0.0
2019-01-20,50.36,50.36,0.0,0.0,50.36,50.36,0.0,0.0,50.34,50.34,0.0,0.0,50.35,50.35,0.0,0.0
2019-01-27,50.27,50.27,0.0,0.0,50.29,50.29,0.0,0.0,50.27,50.27,0.0,0.0,50.28,50.28,0.0,0.0
2019-02-03,50.32,50.32,0.0,0.0,50.32,50.32,0.0,0.0,50.28,50.28,0.0,0.0,50.3,50.3,0.0,0.0
2019-02-10,50.32,50.32,0.0,0.0,50.33,50.33,0.0,0.0,50.31,50.31,0.0,0.0,50.31,50.31,0.0,0.0
2019-02-17,50.35,50.35,0.0,0.0,50.35,50.35,0.0,0.0,50.32,50.32,0.0,0.0,50.33,50.33,0.0,0.0
2019-02-24,50.29,50.29,0.0,0.0,50.29,50.29,0.0,0.0,50.26,50.26,0.0,0.0,50.27,50.27,0.0,0.0
2019-03-03,50.28,50.28,0.0,0.0,50.31,50.31,0.0,0.0,50.28,50.28,0.0,0.0,50.31,50.31,0.0,0.0
2019-03-10,50.33,50.33,0.0,0.0,50.34,50.34,0.0,0.0,50.31,50.31,0.0,0.0,50.33,50.33,0.0,0.0
2019-03-17,50.31,50.31,0.0,0.0,50.33,50.33,0.0,0.0,50.31,50.31,0.0,0.0,50.33,50.33,0.0,0.0
2019-03-24,50.27,50.27,0.0,0.0,50.27,50.27,0.0,0.0,50.23,50.23,0.0,0.0,50.25,50.25,0.0,0.0
2019-03-31,50.28,50.28,0.0,0.0,50.3,50.3,0.0,0.0,50.28,50.28,0.0,0.0,50.3,50.3,0.0,0.0
2019-04-07,50.31,50.31,0.0,0.0,50.33,50.33,0.0,0.0,50.31,50.31,0.0,0.0,50.31,50.31,0.0,0.0
2019-04-14,50.33,50.33,0.0,0.0,50.35,50.35,0.0,0.0,50.33,50.33,0.0,0.0,50.34,50.34,0.0,0.0
2019-04-21,50.34,50.34,0.0,0.0,50.36,50.36,0.0,0.0,50.34,50.34,0.0,0.0,50.35,50.35,0.0,0.0
2019-04-28,50.3,50.3,0.0,0.0,50.3,50.3,0.0,0.0,50.28,50.28,0.0,0.0,50.3,50.3,0.0,0.0
2019-05-05,50.33,50.33,0.0,0.0,50.33,50.33,0.0,0.0,50.3,50.3,0.0,0.0,50.32,50.32,0.0,0.0
2019-05-12,50.35,50.35,0.0,0.0,50.35,50.35,0.0,0.0,50.32,50.32,0.0,0.0,50.33,50.33,0.0,0.0
2019-05-19,50.35,50.35,0.0,0.0,50.36,50.36,0.0,0.0,50.35,50.35,0.0,0.0,50.36,50.36,0.0,0.0
2019-05-26,50.3,50.3,0.0,0.0,50.3,50.3,0.0,0.0,50.27,50.27,0.0,0.0,50.28,50.28,0.0,0.0
2019-06-02,50.3,50.3,0.0,0.0,50.3,50.3,0.0,0.0,50.29,50.29,0.0,0.0,50.3,50.3,0.0,0.0
2019-06-09,50.29,50.29,0.0,0.0,50.3,50.3,0.0,0.0,50.29,50.29,0.0,0.0,50.3,50.3,0.0,0.0
2019-06-16,50.29,50.29,0.0,0.0,50.31,50.31,0.0,0.0,50.29,50.29,0.0,0.0,50.31,50.31,0.0,0.0
2019-06-23,50.25,50.25,0.0,0.0,50.25,50.25,0.0,0.0,50.22,50.22,0.0,0.0,50.23,50.23,0.0,0.0
2019-06-30,50.27,50.27,0.0,0.0,50.27,50.27,0.0,0.0,50.25,50.25,0.0,0.0,50.26,50.26,0.0,0.0
2019-07-07,50.29,50.29,0.0,0.0,50.29,50.29,0.0,0.0,50.26,50.26,0.0,0.0,50.26,50.26,0.0,0.0
2019-07-14,50.28,50.28,0.0,0.0,50.3,50.3,0.0,0.0,50.28,50.28,0.0,0.0,50.28,50.28,0.0,0.0
2019-07-21,50.32,50.32,0.0,0.0,50.32,50.32,0.0,0.0,50.31,50.31,0.0,0.0,50.31,50.31,0.0,0.0
2019-07-28,50.25,50.25,0.0,0.0,50.25,50.25,0.0,0.0,50.22,50.22,0.0,0.0,50.23,50.23,0.0,0.0
