Date,ProShares UltraShort Nasdaq Biotechnology_Open_average,ProShares UltraShort Nasdaq Biotechnology_Open_max,ProShares UltraShort Nasdaq Biotechnology_Open_volatility,ProShares UltraShort Nasdaq Biotechnology_Open_change,ProShares UltraShort Nasdaq Biotechnology_High_average,ProShares UltraShort Nasdaq Biotechnology_High_max,ProShares UltraShort Nasdaq Biotechnology_High_volatility,ProShares UltraShort Nasdaq Biotechnology_High_change,ProShares UltraShort Nasdaq Biotechnology_Low_average,ProShares UltraShort Nasdaq Biotechnology_Low_max,ProShares UltraShort Nasdaq Biotechnology_Low_volatility,ProShares UltraShort Nasdaq Biotechnology_Low_change,ProShares UltraShort Nasdaq Biotechnology_Close_average,ProShares UltraShort Nasdaq Biotechnology_Close_max,ProShares UltraShort Nasdaq Biotechnology_Close_volatility,ProShares UltraShort Nasdaq Biotechnology_Close_change
2016-11-20,31.0,31.0,0.0,0.0,31.87,31.87,0.0,0.0,30.95,30.95,0.0,0.0,31.8,31.8,0.0,0.0
2016-11-27,33.42,33.42,0.0,0.0,33.95,33.95,0.0,0.0,32.79,32.79,0.0,0.0,33.62,33.62,0.0,0.0
2016-12-04,34.57,34.57,0.0,0.0,35.04,35.04,0.0,0.0,34.22,34.22,0.0,0.0,34.54,34.54,0.0,0.0
2016-12-11,33.34,33.34,0.0,0.0,34.35,34.35,0.0,0.0,32.8,32.8,0.0,0.0,34.3,34.3,0.0,0.0
2016-12-18,34.76,34.76,0.0,0.0,34.76,34.76,0.0,0.0,33.14,33.14,0.0,0.0,33.23,33.23,0.0,0.0
2016-12-25,34.56,34.56,0.0,0.0,35.36,35.36,0.0,0.0,34.31,34.31,0.0,0.0,34.99,34.99,0.0,0.0
2017-01-01,30.66,30.66,0.0,0.0,31.31,31.31,0.0,0.0,30.21,30.21,0.0,0.0,30.39,30.39,0.0,0.0
2017-01-08,31.53,31.53,0.0,0.0,31.53,31.53,0.0,0.0,30.63,30.63,0.0,0.0,31.23,31.23,0.0,0.0
2017-01-15,32.88,32.88,0.0,0.0,33.5,33.5,0.0,0.0,32.39,32.39,0.0,0.0,33.29,33.29,0.0,0.0
2017-01-22,32.67,32.67,0.0,0.0,33.73,33.73,0.0,0.0,32.64,32.64,0.0,0.0,33.35,33.35,0.0,0.0
2017-01-29,30.46,30.46,0.0,0.0,30.79,30.79,0.0,0.0,30.21,30.21,0.0,0.0,30.24,30.24,0.0,0.0
2017-02-05,29.9,29.9,0.0,0.0,29.94,29.94,0.0,0.0,29.5,29.5,0.0,0.0,29.63,29.63,0.0,0.0
2017-02-12,28.71,28.71,0.0,0.0,28.71,28.71,0.0,0.0,27.96,27.96,0.0,0.0,27.99,27.99,0.0,0.0
2017-02-19,28.84,28.84,0.0,0.0,28.84,28.84,0.0,0.0,27.13,27.13,0.0,0.0,27.19,27.19,0.0,0.0
2017-02-26,26.6,26.6,0.0,0.0,27.15,27.15,0.0,0.0,26.6,26.6,0.0,0.0,26.87,26.87,0.0,0.0
2017-03-05,26.63,26.63,0.0,0.0,27.03,27.03,0.0,0.0,26.62,26.62,0.0,0.0,26.67,26.67,0.0,0.0
2017-03-12,27.62,27.62,0.0,0.0,27.69,27.69,0.0,0.0,27.17,27.17,0.0,0.0,27.33,27.33,0.0,0.0
2017-03-19,29.03,29.03,0.0,0.0,29.05,29.05,0.0,0.0,27.72,27.72,0.0,0.0,27.84,27.84,0.0,0.0
2017-03-26,27.75,27.75,0.0,0.0,28.27,28.27,0.0,0.0,27.36,27.36,0.0,0.0,28.2,28.2,0.0,0.0
2017-04-02,28.2,28.2,0.0,0.0,28.57,28.57,0.0,0.0,28.01,28.01,0.0,0.0,28.51,28.51,0.0,0.0
2017-04-09,28.31,28.31,0.0,0.0,28.65,28.65,0.0,0.0,28.2,28.2,0.0,0.0,28.3,28.3,0.0,0.0
2017-04-16,28.14,28.14,0.0,0.0,28.39,28.39,0.0,0.0,27.93,27.93,0.0,0.0,28.02,28.02,0.0,0.0
2017-04-23,26.94,26.94,0.0,0.0,26.95,26.95,0.0,0.0,26.51,26.51,0.0,0.0,26.58,26.58,0.0,0.0
2017-04-30,27.22,27.22,0.0,0.0,28.49,28.49,0.0,0.0,27.22,27.22,0.0,0.0,28.38,28.38,0.0,0.0
2017-05-07,27.72,27.72,0.0,0.0,27.79,27.79,0.0,0.0,27.42,27.42,0.0,0.0,27.49,27.49,0.0,0.0
2017-05-14,28.07,28.07,0.0,0.0,28.35,28.35,0.0,0.0,27.94,27.94,0.0,0.0,27.96,27.96,0.0,0.0
2017-05-21,28.15,28.15,0.0,0.0,28.56,28.56,0.0,0.0,28.01,28.01,0.0,0.0,28.56,28.56,0.0,0.0
2017-05-28,26.81,26.81,0.0,0.0,27.77,27.77,0.0,0.0,26.81,26.81,0.0,0.0,27.4,27.4,0.0,0.0
2017-06-04,27.46,27.46,0.0,0.0,27.91,27.91,0.0,0.0,27.02,27.02,0.0,0.0,27.56,27.56,0.0,0.0
2017-06-11,27.29,27.29,0.0,0.0,27.42,27.42,0.0,0.0,26.07,26.07,0.0,0.0,26.27,26.27,0.0,0.0
2017-06-18,22.6,22.6,0.0,0.0,23.23,23.23,0.0,0.0,22.6,22.6,0.0,0.0,22.93,22.93,0.0,0.0
2017-06-25,24.01,24.01,0.0,0.0,24.24,24.24,0.0,0.0,23.82,23.82,0.0,0.0,24.07,24.07,0.0,0.0
2017-07-02,23.81,23.81,0.0,0.0,24.47,24.47,0.0,0.0,23.81,23.81,0.0,0.0,24.21,24.21,0.0,0.0
2017-07-09,23.24,23.24,0.0,0.0,23.47,23.47,0.0,0.0,22.99,22.99,0.0,0.0,23.44,23.44,0.0,0.0
2017-07-16,22.14,22.14,0.0,0.0,22.31,22.31,0.0,0.0,21.69,21.69,0.0,0.0,21.7,21.7,0.0,0.0
2017-07-23,22.5,22.5,0.0,0.0,22.84,22.84,0.0,0.0,22.35,22.35,0.0,0.0,22.8,22.8,0.0,0.0
2017-07-30,23.25,23.25,0.0,0.0,23.44,23.44,0.0,0.0,22.98,22.98,0.0,0.0,23.03,23.03,0.0,0.0
2017-08-06,24.3,24.3,0.0,0.0,24.32,24.32,0.0,0.0,24.04,24.04,0.0,0.0,24.14,24.14,0.0,0.0
2017-08-13,25.18,25.18,0.0,0.0,25.18,25.18,0.0,0.0,24.75,24.75,0.0,0.0,24.92,24.92,0.0,0.0
2017-08-20,23.44,23.44,0.0,0.0,23.44,23.44,0.0,0.0,22.8,22.8,0.0,0.0,22.96,22.96,0.0,0.0
2017-08-27,20.69,20.69,0.0,0.0,20.9,20.9,0.0,0.0,20.26,20.26,0.0,0.0,20.35,20.35,0.0,0.0
2017-09-03,20.26,20.26,0.0,0.0,20.73,20.73,0.0,0.0,20.26,20.26,0.0,0.0,20.54,20.54,0.0,0.0
2017-09-10,20.83,20.83,0.0,0.0,21.0,21.0,0.0,0.0,20.58,20.58,0.0,0.0,20.83,20.83,0.0,0.0
2017-09-17,20.97,20.97,0.0,0.0,21.12,21.12,0.0,0.0,20.71,20.71,0.0,0.0,20.9,20.9,0.0,0.0
2017-09-24,20.38,20.38,0.0,0.0,20.46,20.46,0.0,0.0,19.95,19.95,0.0,0.0,19.95,19.95,0.0,0.0
2017-10-01,19.72,19.72,0.0,0.0,19.9,19.9,0.0,0.0,19.72,19.72,0.0,0.0,19.87,19.87,0.0,0.0
2017-10-08,20.2,20.2,0.0,0.0,20.33,20.33,0.0,0.0,19.6,19.6,0.0,0.0,20.18,20.18,0.0,0.0
2017-10-15,20.89,20.89,0.0,0.0,21.31,21.31,0.0,0.0,20.8,20.8,0.0,0.0,21.27,21.27,0.0,0.0
2017-10-22,22.84,22.84,0.0,0.0,23.01,23.01,0.0,0.0,22.28,22.28,0.0,0.0,22.75,22.75,0.0,0.0
2017-10-29,22.54,22.54,0.0,0.0,22.9,22.9,0.0,0.0,22.44,22.44,0.0,0.0,22.86,22.86,0.0,0.0
2017-11-05,23.44,23.44,0.0,0.0,23.83,23.83,0.0,0.0,23.44,23.44,0.0,0.0,23.71,23.71,0.0,0.0
2017-11-12,23.53,23.53,0.0,0.0,23.95,23.95,0.0,0.0,23.49,23.49,0.0,0.0,23.92,23.92,0.0,0.0
2017-11-19,23.18,23.18,0.0,0.0,23.66,23.66,0.0,0.0,23.07,23.07,0.0,0.0,23.54,23.54,0.0,0.0
2017-11-26,22.37,22.37,0.0,0.0,23.4,23.4,0.0,0.0,22.06,22.06,0.0,0.0,23.35,23.35,0.0,0.0
2017-12-03,21.8,21.8,0.0,0.0,22.49,22.49,0.0,0.0,21.77,21.77,0.0,0.0,22.31,22.31,0.0,0.0
2017-12-10,21.86,21.86,0.0,0.0,22.27,22.27,0.0,0.0,21.86,21.86,0.0,0.0,22.27,22.27,0.0,0.0
2017-12-17,22.12,22.12,0.0,0.0,22.25,22.25,0.0,0.0,21.78,21.78,0.0,0.0,21.93,21.93,0.0,0.0
2017-12-24,21.73,21.73,0.0,0.0,22.05,22.05,0.0,0.0,21.45,21.45,0.0,0.0,22.05,22.05,0.0,0.0
2017-12-31,20.63,20.63,0.0,0.0,21.57,21.57,0.0,0.0,20.63,20.63,0.0,0.0,21.32,21.32,0.0,0.0
2018-01-07,20.19,20.19,0.0,0.0,20.3,20.3,0.0,0.0,19.84,19.84,0.0,0.0,19.94,19.94,0.0,0.0
2018-01-14,19.53,19.53,0.0,0.0,19.59,19.59,0.0,0.0,18.64,18.64,0.0,0.0,18.65,18.65,0.0,0.0
2018-01-21,17.91,17.91,0.0,0.0,17.91,17.91,0.0,0.0,17.52,17.52,0.0,0.0,17.72,17.72,0.0,0.0
2018-01-28,20.02,20.02,0.0,0.0,21.49,21.49,0.0,0.0,19.65,19.65,0.0,0.0,21.49,21.49,0.0,0.0
2018-02-04,21.47,21.47,0.0,0.0,21.85,21.85,0.0,0.0,20.85,20.85,0.0,0.0,21.28,21.28,0.0,0.0
2018-02-11,20.01,20.01,0.0,0.0,20.24,20.24,0.0,0.0,19.73,19.73,0.0,0.0,20.11,20.11,0.0,0.0
2018-02-18,19.83,19.83,0.0,0.0,19.94,19.94,0.0,0.0,19.6,19.6,0.0,0.0,19.66,19.66,0.0,0.0
2018-02-25,20.55,20.55,0.0,0.0,20.55,20.55,0.0,0.0,19.75,19.75,0.0,0.0,19.83,19.83,0.0,0.0
2018-03-04,18.6,18.6,0.0,0.0,18.76,18.76,0.0,0.0,18.44,18.44,0.0,0.0,18.53,18.53,0.0,0.0
2018-03-11,19.55,19.55,0.0,0.0,20.26,20.26,0.0,0.0,19.21,19.21,0.0,0.0,19.91,19.91,0.0,0.0
2018-03-18,21.06,21.06,0.0,0.0,21.9,21.9,0.0,0.0,20.65,20.65,0.0,0.0,20.69,20.69,0.0,0.0
2018-03-25,21.22,21.22,0.0,0.0,23.29,23.29,0.0,0.0,21.22,21.22,0.0,0.0,22.86,22.86,0.0,0.0
2018-04-01,22.68,22.68,0.0,0.0,22.92,22.92,0.0,0.0,21.79,21.79,0.0,0.0,22.59,22.59,0.0,0.0
2018-04-08,20.91,20.91,0.0,0.0,21.53,21.53,0.0,0.0,20.91,20.91,0.0,0.0,21.48,21.48,0.0,0.0
2018-04-15,21.32,21.32,0.0,0.0,21.9,21.9,0.0,0.0,21.32,21.32,0.0,0.0,21.68,21.68,0.0,0.0
2018-04-22,21.11,21.11,0.0,0.0,22.15,22.15,0.0,0.0,21.05,21.05,0.0,0.0,22.12,22.12,0.0,0.0
2018-04-29,22.31,22.31,0.0,0.0,22.53,22.53,0.0,0.0,22.24,22.24,0.0,0.0,22.36,22.36,0.0,0.0
2018-05-06,20.68,20.68,0.0,0.0,20.68,20.68,0.0,0.0,20.12,20.12,0.0,0.0,20.44,20.44,0.0,0.0
2018-05-13,20.17,20.17,0.0,0.0,21.03,21.03,0.0,0.0,20.1,20.1,0.0,0.0,20.88,20.88,0.0,0.0
2018-05-20,20.48,20.48,0.0,0.0,20.53,20.53,0.0,0.0,20.37,20.37,0.0,0.0,20.45,20.45,0.0,0.0
2018-05-27,19.7,19.7,0.0,0.0,20.33,20.33,0.0,0.0,19.7,19.7,0.0,0.0,19.84,19.84,0.0,0.0
2018-06-03,19.56,19.56,0.0,0.0,19.63,19.63,0.0,0.0,19.48,19.48,0.0,0.0,19.56,19.56,0.0,0.0
2018-06-10,19.49,19.49,0.0,0.0,19.67,19.67,0.0,0.0,19.38,19.38,0.0,0.0,19.39,19.39,0.0,0.0
2018-06-17,19.0,19.0,0.0,0.0,19.67,19.67,0.0,0.0,18.91,18.91,0.0,0.0,19.42,19.42,0.0,0.0
2018-06-24,19.74,19.74,0.0,0.0,19.87,19.87,0.0,0.0,19.15,19.15,0.0,0.0,19.15,19.15,0.0,0.0
2018-07-01,17.15,17.15,0.0,0.0,17.39,17.39,0.0,0.0,17.11,17.11,0.0,0.0,17.14,17.14,0.0,0.0
2018-07-08,16.8,16.8,0.0,0.0,17.05,17.05,0.0,0.0,16.8,16.8,0.0,0.0,16.93,16.93,0.0,0.0
2018-07-15,16.85,16.85,0.0,0.0,16.85,16.85,0.0,0.0,16.68,16.68,0.0,0.0,16.75,16.75,0.0,0.0
2018-07-22,17.56,17.56,0.0,0.0,17.98,17.98,0.0,0.0,17.56,17.56,0.0,0.0,17.9,17.9,0.0,0.0
2018-07-29,17.02,17.02,0.0,0.0,17.27,17.27,0.0,0.0,16.93,16.93,0.0,0.0,17.05,17.05,0.0,0.0
2018-08-05,17.1,17.1,0.0,0.0,17.29,17.29,0.0,0.0,17.01,17.01,0.0,0.0,17.18,17.18,0.0,0.0
2018-08-12,17.15,17.15,0.0,0.0,17.36,17.36,0.0,0.0,17.15,17.15,0.0,0.0,17.3,17.3,0.0,0.0
2018-08-19,16.71,16.71,0.0,0.0,16.72,16.72,0.0,0.0,16.24,16.24,0.0,0.0,16.29,16.29,0.0,0.0
2018-08-26,15.55,15.55,0.0,0.0,15.74,15.74,0.0,0.0,15.55,15.55,0.0,0.0,15.6,15.6,0.0,0.0
2018-09-02,16.66,16.66,0.0,0.0,16.8,16.8,0.0,0.0,16.53,16.53,0.0,0.0,16.71,16.71,0.0,0.0
2018-09-09,16.87,16.87,0.0,0.0,17.28,17.28,0.0,0.0,16.67,16.67,0.0,0.0,17.22,17.22,0.0,0.0
2018-09-16,16.5,16.5,0.0,0.0,16.5,16.5,0.0,0.0,16.14,16.14,0.0,0.0,16.15,16.15,0.0,0.0
2018-09-23,15.54,15.54,0.0,0.0,15.92,15.92,0.0,0.0,15.38,15.38,0.0,0.0,15.88,15.88,0.0,0.0
2018-09-30,17.12,17.12,0.0,0.0,17.7,17.7,0.0,0.0,17.03,17.03,0.0,0.0,17.32,17.32,0.0,0.0
2018-10-07,18.82,18.82,0.0,0.0,19.12,19.12,0.0,0.0,18.65,18.65,0.0,0.0,18.97,18.97,0.0,0.0
2018-10-14,18.41,18.41,0.0,0.0,19.36,19.36,0.0,0.0,18.41,18.41,0.0,0.0,19.03,19.03,0.0,0.0
2018-10-21,20.39,20.39,0.0,0.0,22.24,22.24,0.0,0.0,20.2,20.2,0.0,0.0,21.51,21.51,0.0,0.0
2018-10-28,19.2,19.2,0.0,0.0,19.76,19.76,0.0,0.0,19.13,19.13,0.0,0.0,19.25,19.25,0.0,0.0
2018-11-04,19.27,19.27,0.0,0.0,20.62,20.62,0.0,0.0,19.27,19.27,0.0,0.0,20.54,20.54,0.0,0.0
2018-11-11,20.44,20.44,0.0,0.0,21.44,21.44,0.0,0.0,20.25,20.25,0.0,0.0,21.09,21.09,0.0,0.0
2018-11-18,20.37,20.37,0.0,0.0,20.6,20.6,0.0,0.0,20.08,20.08,0.0,0.0,20.2,20.2,0.0,0.0
2018-11-25,17.89,17.89,0.0,0.0,18.52,18.52,0.0,0.0,17.89,17.89,0.0,0.0,18.24,18.24,0.0,0.0
2018-12-02,20.36,20.36,0.0,0.0,21.45,21.45,0.0,0.0,20.36,20.36,0.0,0.0,20.42,20.42,0.0,0.0
2018-12-09,21.39,21.39,0.0,0.0,22.28,22.28,0.0,0.0,20.67,20.67,0.0,0.0,22.06,22.06,0.0,0.0
2018-12-16,27.01,27.01,0.0,0.0,27.62,27.62,0.0,0.0,26.08,26.08,0.0,0.0,27.27,27.27,0.0,0.0
2018-12-23,23.26,23.26,0.0,0.0,23.67,23.67,0.0,0.0,22.87,22.87,0.0,0.0,23.1,23.1,0.0,0.0
2018-12-30,19.94,19.94,0.0,0.0,19.94,19.94,0.0,0.0,18.65,18.65,0.0,0.0,19.02,19.02,0.0,0.0
2019-01-06,18.14,18.14,0.0,0.0,18.54,18.54,0.0,0.0,18.14,18.14,0.0,0.0,18.54,18.54,0.0,0.0
2019-01-13,17.44,17.44,0.0,0.0,17.96,17.96,0.0,0.0,17.41,17.41,0.0,0.0,17.41,17.41,0.0,0.0
2019-01-20,18.16,18.16,0.0,0.0,18.63,18.63,0.0,0.0,18.16,18.16,0.0,0.0,18.47,18.47,0.0,0.0
2019-01-27,17.48,17.48,0.0,0.0,17.81,17.81,0.0,0.0,17.48,17.48,0.0,0.0,17.5,17.5,0.0,0.0
2019-02-03,17.95,17.95,0.0,0.0,18.36,18.36,0.0,0.0,17.91,17.91,0.0,0.0,18.08,18.08,0.0,0.0
2019-02-10,17.42,17.42,0.0,0.0,17.42,17.42,0.0,0.0,16.91,16.91,0.0,0.0,16.91,16.91,0.0,0.0
2019-02-17,16.76,16.76,0.0,0.0,16.88,16.88,0.0,0.0,16.49,16.49,0.0,0.0,16.59,16.59,0.0,0.0
2019-02-24,15.74,15.74,0.0,0.0,16.65,16.65,0.0,0.0,15.74,15.74,0.0,0.0,16.27,16.27,0.0,0.0
2019-03-03,17.68,17.68,0.0,0.0,17.76,17.76,0.0,0.0,17.08,17.08,0.0,0.0,17.1,17.1,0.0,0.0
2019-03-10,16.15,16.15,0.0,0.0,16.37,16.37,0.0,0.0,15.91,15.91,0.0,0.0,16.2,16.2,0.0,0.0
2019-03-17,17.83,17.83,0.0,0.0,18.23,18.23,0.0,0.0,17.67,17.67,0.0,0.0,17.78,17.78,0.0,0.0
2019-03-24,16.48,16.48,0.0,0.0,16.67,16.67,0.0,0.0,16.35,16.35,0.0,0.0,16.65,16.65,0.0,0.0
2019-03-31,15.89,15.89,0.0,0.0,16.21,16.21,0.0,0.0,15.89,15.89,0.0,0.0,15.93,15.93,0.0,0.0
2019-04-07,16.84,16.84,0.0,0.0,17.32,17.32,0.0,0.0,16.72,16.72,0.0,0.0,17.08,17.08,0.0,0.0
2019-04-14,18.85,18.85,0.0,0.0,19.22,19.22,0.0,0.0,18.63,18.63,0.0,0.0,18.95,18.95,0.0,0.0
2019-04-21,18.0,18.0,0.0,0.0,18.05,18.05,0.0,0.0,17.8,17.8,0.0,0.0,17.96,17.96,0.0,0.0
2019-04-28,18.25,18.25,0.0,0.0,18.25,18.25,0.0,0.0,17.4,17.4,0.0,0.0,17.43,17.43,0.0,0.0
2019-05-05,19.34,19.34,0.0,0.0,20.19,20.19,0.0,0.0,19.34,19.34,0.0,0.0,20.02,20.02,0.0,0.0
2019-05-12,19.15,19.15,0.0,0.0,19.69,19.69,0.0,0.0,19.15,19.15,0.0,0.0,19.66,19.66,0.0,0.0
2019-05-19,18.95,18.95,0.0,0.0,19.01,19.01,0.0,0.0,18.62,18.62,0.0,0.0,18.94,18.94,0.0,0.0
2019-05-26,20.31,20.31,0.0,0.0,20.35,20.35,0.0,0.0,19.65,19.65,0.0,0.0,20.04,20.04,0.0,0.0
2019-06-02,18.9,18.9,0.0,0.0,19.22,19.22,0.0,0.0,18.71,18.71,0.0,0.0,19.18,19.18,0.0,0.0
2019-06-09,18.87,18.87,0.0,0.0,18.87,18.87,0.0,0.0,18.07,18.07,0.0,0.0,18.14,18.14,0.0,0.0
2019-06-16,17.08,17.08,0.0,0.0,17.8,17.8,0.0,0.0,17.08,17.08,0.0,0.0,17.78,17.78,0.0,0.0
2019-06-23,16.58,16.58,0.0,0.0,16.99,16.99,0.0,0.0,16.53,16.53,0.0,0.0,16.84,16.84,0.0,0.0
2019-06-30,17.17,17.17,0.0,0.0,17.73,17.73,0.0,0.0,17.17,17.17,0.0,0.0,17.47,17.47,0.0,0.0
2019-07-07,18.13,18.13,0.0,0.0,18.2,18.2,0.0,0.0,17.85,17.85,0.0,0.0,17.95,17.95,0.0,0.0
