Date,iShares Global High Yield Corporate Bond_Open_average,iShares Global High Yield Corporate Bond_Open_max,iShares Global High Yield Corporate Bond_Open_volatility,iShares Global High Yield Corporate Bond_Open_change,iShares Global High Yield Corporate Bond_High_average,iShares Global High Yield Corporate Bond_High_max,iShares Global High Yield Corporate Bond_High_volatility,iShares Global High Yield Corporate Bond_High_change,iShares Global High Yield Corporate Bond_Low_average,iShares Global High Yield Corporate Bond_Low_max,iShares Global High Yield Corporate Bond_Low_volatility,iShares Global High Yield Corporate Bond_Low_change,iShares Global High Yield Corporate Bond_Close_average,iShares Global High Yield Corporate Bond_Close_max,iShares Global High Yield Corporate Bond_Close_volatility,iShares Global High Yield Corporate Bond_Close_change
2017-11-05,50.57,50.57,0.0,0.0,50.64,50.64,0.0,0.0,50.53,50.53,0.0,0.0,50.63,50.63,0.0,0.0
2017-11-12,50.85,50.85,0.0,0.0,50.89,50.89,0.0,0.0,50.77,50.77,0.0,0.0,50.88,50.88,0.0,0.0
2017-11-19,51.12,51.12,0.0,0.0,51.17,51.17,0.0,0.0,51.07,51.07,0.0,0.0,51.13,51.13,0.0,0.0
2017-11-26,50.96,50.96,0.0,0.0,50.96,50.96,0.0,0.0,50.77,50.77,0.0,0.0,50.86,50.86,0.0,0.0
2017-12-03,50.82,50.82,0.0,0.0,50.83,50.83,0.0,0.0,50.7,50.7,0.0,0.0,50.82,50.82,0.0,0.0
2017-12-10,50.86,50.86,0.0,0.0,50.86,50.86,0.0,0.0,50.72,50.72,0.0,0.0,50.72,50.72,0.0,0.0
2017-12-17,50.3,50.3,0.0,0.0,50.35,50.35,0.0,0.0,50.24,50.24,0.0,0.0,50.27,50.27,0.0,0.0
2017-12-24,50.56,50.56,0.0,0.0,50.68,50.68,0.0,0.0,50.45,50.45,0.0,0.0,50.45,50.45,0.0,0.0
2017-12-31,50.99,50.99,0.0,0.0,51.16,51.16,0.0,0.0,50.93,50.93,0.0,0.0,51.15,51.15,0.0,0.0
2018-01-07,51.02,51.02,0.0,0.0,51.31,51.31,0.0,0.0,50.97,50.97,0.0,0.0,51.31,51.31,0.0,0.0
2018-01-14,51.24,51.24,0.0,0.0,51.32,51.32,0.0,0.0,51.13,51.13,0.0,0.0,51.16,51.16,0.0,0.0
2018-01-21,51.43,51.43,0.0,0.0,51.45,51.45,0.0,0.0,51.29,51.29,0.0,0.0,51.42,51.42,0.0,0.0
2018-01-28,50.76,50.76,0.0,0.0,50.87,50.87,0.0,0.0,50.46,50.46,0.0,0.0,50.47,50.47,0.0,0.0
2018-02-04,49.86,49.86,0.0,0.0,50.12,50.12,0.0,0.0,49.86,49.86,0.0,0.0,50.11,50.11,0.0,0.0
2018-02-11,50.55,50.55,0.0,0.0,50.67,50.67,0.0,0.0,50.53,50.53,0.0,0.0,50.57,50.57,0.0,0.0
2018-02-18,50.52,50.52,0.0,0.0,50.58,50.58,0.0,0.0,50.43,50.43,0.0,0.0,50.47,50.47,0.0,0.0
2018-02-25,50.0,50.0,0.0,0.0,50.34,50.34,0.0,0.0,50.0,50.0,0.0,0.0,50.34,50.34,0.0,0.0
2018-03-04,50.3,50.3,0.0,0.0,50.43,50.43,0.0,0.0,50.21,50.21,0.0,0.0,50.4,50.4,0.0,0.0
2018-03-11,50.14,50.14,0.0,0.0,50.16,50.16,0.0,0.0,49.98,49.98,0.0,0.0,50.16,50.16,0.0,0.0
2018-03-18,50.16,50.16,0.0,0.0,50.18,50.18,0.0,0.0,49.94,49.94,0.0,0.0,50.04,50.04,0.0,0.0
2018-03-25,49.95,49.95,0.0,0.0,49.95,49.95,0.0,0.0,49.59,49.59,0.0,0.0,49.66,49.66,0.0,0.0
2018-04-01,50.01,50.01,0.0,0.0,50.42,50.42,0.0,0.0,50.01,50.01,0.0,0.0,50.27,50.27,0.0,0.0
2018-04-08,50.62,50.62,0.0,0.0,50.69,50.69,0.0,0.0,50.54,50.54,0.0,0.0,50.54,50.54,0.0,0.0
2018-04-15,50.3,50.3,0.0,0.0,50.3,50.3,0.0,0.0,50.11,50.11,0.0,0.0,50.11,50.11,0.0,0.0
2018-04-22,50.03,50.03,0.0,0.0,50.06,50.06,0.0,0.0,49.9,49.9,0.0,0.0,49.9,49.9,0.0,0.0
2018-04-29,49.59,49.59,0.0,0.0,49.6,49.6,0.0,0.0,49.48,49.48,0.0,0.0,49.58,49.58,0.0,0.0
2018-05-06,49.7,49.7,0.0,0.0,49.79,49.79,0.0,0.0,49.61,49.61,0.0,0.0,49.62,49.62,0.0,0.0
2018-05-13,49.26,49.26,0.0,0.0,49.39,49.39,0.0,0.0,49.19,49.19,0.0,0.0,49.38,49.38,0.0,0.0
2018-05-20,49.17,49.17,0.0,0.0,49.17,49.17,0.0,0.0,49.05,49.05,0.0,0.0,49.12,49.12,0.0,0.0
2018-05-27,48.97,48.97,0.0,0.0,49.08,49.08,0.0,0.0,48.94,48.94,0.0,0.0,49.08,49.08,0.0,0.0
2018-06-03,49.25,49.25,0.0,0.0,49.35,49.35,0.0,0.0,49.25,49.25,0.0,0.0,49.33,49.33,0.0,0.0
2018-06-10,49.21,49.21,0.0,0.0,49.33,49.33,0.0,0.0,49.21,49.21,0.0,0.0,49.28,49.28,0.0,0.0
2018-06-17,49.26,49.26,0.0,0.0,49.26,49.26,0.0,0.0,49.07,49.07,0.0,0.0,49.12,49.12,0.0,0.0
2018-06-24,48.61,48.61,0.0,0.0,48.76,48.76,0.0,0.0,48.61,48.61,0.0,0.0,48.76,48.76,0.0,0.0
2018-07-01,49.12,49.12,0.0,0.0,49.14,49.14,0.0,0.0,49.03,49.03,0.0,0.0,49.13,49.13,0.0,0.0
2018-07-08,49.19,49.19,0.0,0.0,49.19,49.19,0.0,0.0,49.12,49.12,0.0,0.0,49.13,49.13,0.0,0.0
2018-07-15,49.2,49.2,0.0,0.0,49.21,49.21,0.0,0.0,49.17,49.17,0.0,0.0,49.19,49.19,0.0,0.0
2018-07-22,49.31,49.31,0.0,0.0,49.4,49.4,0.0,0.0,49.28,49.28,0.0,0.0,49.28,49.28,0.0,0.0
2018-07-29,49.17,49.17,0.0,0.0,49.17,49.17,0.0,0.0,49.14,49.14,0.0,0.0,49.17,49.17,0.0,0.0
2018-08-05,49.06,49.06,0.0,0.0,49.06,49.06,0.0,0.0,48.89,48.89,0.0,0.0,48.89,48.89,0.0,0.0
2018-08-12,49.11,49.11,0.0,0.0,49.11,49.11,0.0,0.0,49.01,49.01,0.0,0.0,49.07,49.07,0.0,0.0
2018-08-19,49.36,49.36,0.0,0.0,49.51,49.51,0.0,0.0,49.36,49.36,0.0,0.0,49.42,49.42,0.0,0.0
2018-08-26,49.4,49.4,0.0,0.0,49.43,49.43,0.0,0.0,49.29,49.29,0.0,0.0,49.3,49.3,0.0,0.0
2018-09-02,49.12,49.12,0.0,0.0,49.12,49.12,0.0,0.0,49.03,49.03,0.0,0.0,49.11,49.11,0.0,0.0
2018-09-09,49.54,49.54,0.0,0.0,49.54,49.54,0.0,0.0,49.44,49.44,0.0,0.0,49.44,49.44,0.0,0.0
2018-09-16,49.72,49.72,0.0,0.0,49.72,49.72,0.0,0.0,49.58,49.58,0.0,0.0,49.65,49.65,0.0,0.0
2018-09-23,49.46,49.46,0.0,0.0,49.46,49.46,0.0,0.0,49.32,49.32,0.0,0.0,49.33,49.33,0.0,0.0
2018-09-30,48.93,48.93,0.0,0.0,49.04,49.04,0.0,0.0,48.91,48.91,0.0,0.0,48.99,48.99,0.0,0.0
2018-10-07,48.96,48.96,0.0,0.0,48.96,48.96,0.0,0.0,48.86,48.86,0.0,0.0,48.86,48.86,0.0,0.0
2018-10-14,48.68,48.68,0.0,0.0,48.7,48.7,0.0,0.0,48.6,48.6,0.0,0.0,48.69,48.69,0.0,0.0
2018-10-21,48.33,48.33,0.0,0.0,48.33,48.33,0.0,0.0,48.03,48.03,0.0,0.0,48.06,48.06,0.0,0.0
2018-10-28,48.18,48.18,0.0,0.0,48.23,48.23,0.0,0.0,48.1,48.1,0.0,0.0,48.13,48.13,0.0,0.0
2018-11-04,48.04,48.04,0.0,0.0,48.04,48.04,0.0,0.0,47.8,47.8,0.0,0.0,47.85,47.85,0.0,0.0
2018-11-11,47.46,47.46,0.0,0.0,47.46,47.46,0.0,0.0,47.27,47.27,0.0,0.0,47.36,47.36,0.0,0.0
2018-11-18,47.42,47.42,0.0,0.0,47.43,47.43,0.0,0.0,47.35,47.35,0.0,0.0,47.42,47.42,0.0,0.0
2018-11-25,47.57,47.57,0.0,0.0,47.57,47.57,0.0,0.0,47.42,47.42,0.0,0.0,47.45,47.45,0.0,0.0
2018-12-02,46.96,46.96,0.0,0.0,47.08,47.08,0.0,0.0,46.87,46.87,0.0,0.0,46.93,46.93,0.0,0.0
2018-12-09,47.11,47.11,0.0,0.0,47.23,47.23,0.0,0.0,46.92,46.92,0.0,0.0,46.99,46.99,0.0,0.0
2018-12-16,45.62,45.62,0.0,0.0,45.81,45.81,0.0,0.0,45.07,45.07,0.0,0.0,45.07,45.07,0.0,0.0
2018-12-23,45.99,45.99,0.0,0.0,46.05,46.05,0.0,0.0,45.96,45.96,0.0,0.0,46.03,46.03,0.0,0.0
2018-12-30,46.69,46.69,0.0,0.0,46.94,46.94,0.0,0.0,46.6,46.6,0.0,0.0,46.85,46.85,0.0,0.0
2019-01-06,47.19,47.19,0.0,0.0,47.39,47.39,0.0,0.0,47.03,47.03,0.0,0.0,47.23,47.23,0.0,0.0
2019-01-13,47.6,47.6,0.0,0.0,47.72,47.72,0.0,0.0,47.57,47.57,0.0,0.0,47.7,47.7,0.0,0.0
2019-01-20,47.4,47.4,0.0,0.0,47.71,47.71,0.0,0.0,47.4,47.4,0.0,0.0,47.7,47.7,0.0,0.0
2019-01-27,47.83,47.83,0.0,0.0,48.0,48.0,0.0,0.0,47.83,47.83,0.0,0.0,47.9,47.9,0.0,0.0
2019-02-03,47.8,47.8,0.0,0.0,47.83,47.83,0.0,0.0,47.68,47.68,0.0,0.0,47.71,47.71,0.0,0.0
2019-02-10,48.24,48.24,0.0,0.0,48.28,48.28,0.0,0.0,48.11,48.11,0.0,0.0,48.22,48.22,0.0,0.0
2019-02-17,48.84,48.84,0.0,0.0,48.84,48.84,0.0,0.0,48.43,48.43,0.0,0.0,48.46,48.46,0.0,0.0
2019-02-24,48.57,48.57,0.0,0.0,48.58,48.58,0.0,0.0,48.39,48.39,0.0,0.0,48.53,48.53,0.0,0.0
2019-03-03,48.11,48.11,0.0,0.0,48.35,48.35,0.0,0.0,48.07,48.07,0.0,0.0,48.35,48.35,0.0,0.0
2019-03-10,48.69,48.69,0.0,0.0,48.76,48.76,0.0,0.0,48.62,48.62,0.0,0.0,48.74,48.74,0.0,0.0
2019-03-17,48.61,48.61,0.0,0.0,48.7,48.7,0.0,0.0,48.57,48.57,0.0,0.0,48.66,48.66,0.0,0.0
2019-03-24,48.74,48.74,0.0,0.0,48.84,48.84,0.0,0.0,48.67,48.67,0.0,0.0,48.74,48.74,0.0,0.0
2019-03-31,48.98,48.98,0.0,0.0,48.99,48.99,0.0,0.0,48.88,48.88,0.0,0.0,48.99,48.99,0.0,0.0
2019-04-07,49.31,49.31,0.0,0.0,49.31,49.31,0.0,0.0,49.15,49.15,0.0,0.0,49.18,49.18,0.0,0.0
2019-04-14,49.1,49.1,0.0,0.0,49.16,49.16,0.0,0.0,49.07,49.07,0.0,0.0,49.11,49.11,0.0,0.0
2019-04-21,49.05,49.05,0.0,0.0,49.14,49.14,0.0,0.0,49.05,49.05,0.0,0.0,49.09,49.09,0.0,0.0
2019-04-28,48.84,48.84,0.0,0.0,48.93,48.93,0.0,0.0,48.81,48.81,0.0,0.0,48.93,48.93,0.0,0.0
2019-05-05,48.9,48.9,0.0,0.0,48.9,48.9,0.0,0.0,48.4,48.4,0.0,0.0,48.48,48.48,0.0,0.0
2019-05-12,48.31,48.31,0.0,0.0,48.5,48.5,0.0,0.0,48.31,48.31,0.0,0.0,48.42,48.42,0.0,0.0
2019-05-19,48.52,48.52,0.0,0.0,48.54,48.54,0.0,0.0,48.42,48.42,0.0,0.0,48.47,48.47,0.0,0.0
2019-05-26,47.99,47.99,0.0,0.0,48.0,48.0,0.0,0.0,47.79,47.79,0.0,0.0,47.8,47.8,0.0,0.0
2019-06-02,48.61,48.61,0.0,0.0,48.74,48.74,0.0,0.0,48.59,48.59,0.0,0.0,48.66,48.66,0.0,0.0
2019-06-09,48.65,48.65,0.0,0.0,48.66,48.66,0.0,0.0,48.6,48.6,0.0,0.0,48.61,48.61,0.0,0.0
2019-06-16,49.4,49.4,0.0,0.0,49.4,49.4,0.0,0.0,49.28,49.28,0.0,0.0,49.28,49.28,0.0,0.0
2019-06-23,49.23,49.23,0.0,0.0,49.3,49.3,0.0,0.0,49.16,49.16,0.0,0.0,49.19,49.19,0.0,0.0
2019-06-30,49.02,49.02,0.0,0.0,49.12,49.12,0.0,0.0,48.99,48.99,0.0,0.0,48.99,48.99,0.0,0.0
2019-07-07,49.06,49.06,0.0,0.0,49.13,49.13,0.0,0.0,48.97,48.97,0.0,0.0,49.01,49.01,0.0,0.0
2019-07-14,48.96,48.96,0.0,0.0,49.0,49.0,0.0,0.0,48.88,48.88,0.0,0.0,48.97,48.97,0.0,0.0
2019-07-21,49.05,49.05,0.0,0.0,49.14,49.14,0.0,0.0,49.01,49.01,0.0,0.0,49.08,49.08,0.0,0.0
2019-07-28,48.47,48.47,0.0,0.0,48.49,48.49,0.0,0.0,48.34,48.34,0.0,0.0,48.34,48.34,0.0,0.0
