Date,PowerShares S&P SmallCap Materials_Open_average,PowerShares S&P SmallCap Materials_Open_max,PowerShares S&P SmallCap Materials_Open_volatility,PowerShares S&P SmallCap Materials_Open_change,PowerShares S&P SmallCap Materials_High_average,PowerShares S&P SmallCap Materials_High_max,PowerShares S&P SmallCap Materials_High_volatility,PowerShares S&P SmallCap Materials_High_change,PowerShares S&P SmallCap Materials_Low_average,PowerShares S&P SmallCap Materials_Low_max,PowerShares S&P SmallCap Materials_Low_volatility,PowerShares S&P SmallCap Materials_Low_change,PowerShares S&P SmallCap Materials_Close_average,PowerShares S&P SmallCap Materials_Close_max,PowerShares S&P SmallCap Materials_Close_volatility,PowerShares S&P SmallCap Materials_Close_change
2017-09-10,46.41,46.41,0.0,0.0,47.13,47.13,0.0,0.0,46.41,46.41,0.0,0.0,47.13,47.13,0.0,0.0
2017-09-17,47.97,47.97,0.0,0.0,48.22,48.22,0.0,0.0,47.94,47.94,0.0,0.0,48.02,48.02,0.0,0.0
2017-09-24,50.0,50.0,0.0,0.0,50.5,50.5,0.0,0.0,49.96,49.96,0.0,0.0,50.49,50.49,0.0,0.0
2017-10-01,50.73,50.73,0.0,0.0,50.73,50.73,0.0,0.0,50.35,50.35,0.0,0.0,50.42,50.42,0.0,0.0
2017-10-08,51.17,51.17,0.0,0.0,51.25,51.25,0.0,0.0,50.89,50.89,0.0,0.0,51.07,51.07,0.0,0.0
2017-10-15,51.14,51.14,0.0,0.0,51.14,51.14,0.0,0.0,51.02,51.02,0.0,0.0,51.11,51.11,0.0,0.0
2017-10-22,51.35,51.35,0.0,0.0,51.35,51.35,0.0,0.0,50.63,50.63,0.0,0.0,50.63,50.63,0.0,0.0
2017-10-29,51.1,51.1,0.0,0.0,51.24,51.24,0.0,0.0,51.05,51.05,0.0,0.0,51.09,51.09,0.0,0.0
2017-11-05,50.11,50.11,0.0,0.0,50.27,50.27,0.0,0.0,50.03,50.03,0.0,0.0,50.27,50.27,0.0,0.0
2017-11-12,50.5,50.5,0.0,0.0,50.57,50.57,0.0,0.0,50.5,50.5,0.0,0.0,50.52,50.52,0.0,0.0
2017-11-19,51.18,51.18,0.0,0.0,51.18,51.18,0.0,0.0,51.03,51.03,0.0,0.0,51.03,51.03,0.0,0.0
2017-11-26,52.23,52.23,0.0,0.0,52.31,52.31,0.0,0.0,52.23,52.23,0.0,0.0,52.31,52.31,0.0,0.0
2017-12-03,51.06,51.06,0.0,0.0,51.24,51.24,0.0,0.0,51.06,51.06,0.0,0.0,51.21,51.21,0.0,0.0
2017-12-10,51.23,51.23,0.0,0.0,51.57,51.57,0.0,0.0,51.23,51.23,0.0,0.0,51.57,51.57,0.0,0.0
2017-12-17,51.85,51.85,0.0,0.0,52.03,52.03,0.0,0.0,51.75,51.75,0.0,0.0,51.87,51.87,0.0,0.0
2017-12-24,52.67,52.67,0.0,0.0,52.67,52.67,0.0,0.0,52.2,52.2,0.0,0.0,52.33,52.33,0.0,0.0
2017-12-31,53.78,53.78,0.0,0.0,53.98,53.98,0.0,0.0,53.63,53.63,0.0,0.0,53.85,53.85,0.0,0.0
2018-01-07,55.01,55.01,0.0,0.0,55.12,55.12,0.0,0.0,54.62,54.62,0.0,0.0,54.7,54.7,0.0,0.0
2018-01-14,54.29,54.29,0.0,0.0,54.34,54.34,0.0,0.0,54.04,54.04,0.0,0.0,54.27,54.27,0.0,0.0
2018-01-21,55.6,55.6,0.0,0.0,55.75,55.75,0.0,0.0,55.09,55.09,0.0,0.0,55.22,55.22,0.0,0.0
2018-01-28,51.57,51.57,0.0,0.0,52.46,52.46,0.0,0.0,50.2,50.2,0.0,0.0,50.21,50.21,0.0,0.0
2018-02-04,50.09,50.09,0.0,0.0,50.7,50.7,0.0,0.0,50.09,50.09,0.0,0.0,50.48,50.48,0.0,0.0
2018-02-11,52.29,52.29,0.0,0.0,52.87,52.87,0.0,0.0,52.16,52.16,0.0,0.0,52.83,52.83,0.0,0.0
2018-02-18,52.76,52.76,0.0,0.0,53.01,53.01,0.0,0.0,52.33,52.33,0.0,0.0,53.01,53.01,0.0,0.0
2018-02-25,51.59,51.59,0.0,0.0,52.2,52.2,0.0,0.0,51.59,51.59,0.0,0.0,52.2,52.2,0.0,0.0
2018-03-04,54.76,54.76,0.0,0.0,54.76,54.76,0.0,0.0,53.99,53.99,0.0,0.0,54.0,54.0,0.0,0.0
2018-03-11,52.32,52.32,0.0,0.0,52.32,52.32,0.0,0.0,52.17,52.17,0.0,0.0,52.19,52.19,0.0,0.0
2018-03-18,50.51,50.51,0.0,0.0,50.94,50.94,0.0,0.0,50.31,50.31,0.0,0.0,50.94,50.94,0.0,0.0
2018-03-25,50.51,50.51,0.0,0.0,50.69,50.69,0.0,0.0,49.12,49.12,0.0,0.0,49.5,49.5,0.0,0.0
2018-04-01,51.48,51.48,0.0,0.0,51.48,51.48,0.0,0.0,51.02,51.02,0.0,0.0,51.02,51.02,0.0,0.0
2018-04-08,53.08,53.08,0.0,0.0,53.12,53.12,0.0,0.0,53.08,53.08,0.0,0.0,53.12,53.12,0.0,0.0
2018-04-15,53.15,53.15,0.0,0.0,53.15,53.15,0.0,0.0,52.85,52.85,0.0,0.0,52.85,52.85,0.0,0.0
2018-04-22,51.54,51.54,0.0,0.0,51.72,51.72,0.0,0.0,50.95,50.95,0.0,0.0,51.16,51.16,0.0,0.0
2018-04-29,51.45,51.45,0.0,0.0,51.45,51.45,0.0,0.0,51.26,51.26,0.0,0.0,51.28,51.28,0.0,0.0
2018-05-06,51.9,51.9,0.0,0.0,51.98,51.98,0.0,0.0,51.75,51.75,0.0,0.0,51.75,51.75,0.0,0.0
2018-05-13,53.48,53.48,0.0,0.0,53.48,53.48,0.0,0.0,53.48,53.48,0.0,0.0,53.48,53.48,0.0,0.0
2018-05-20,53.2,53.2,0.0,0.0,53.2,53.2,0.0,0.0,53.01,53.01,0.0,0.0,53.01,53.01,0.0,0.0
2018-05-27,53.49,53.49,0.0,0.0,53.49,53.49,0.0,0.0,53.49,53.49,0.0,0.0,53.49,53.49,0.0,0.0
2018-06-03,54.56,54.56,0.0,0.0,55.07,55.07,0.0,0.0,54.56,54.56,0.0,0.0,55.07,55.07,0.0,0.0
2018-06-10,53.91,53.91,0.0,0.0,53.91,53.91,0.0,0.0,53.91,53.91,0.0,0.0,53.91,53.91,0.0,0.0
2018-06-17,52.7,52.7,0.0,0.0,52.7,52.7,0.0,0.0,52.68,52.68,0.0,0.0,52.68,52.68,0.0,0.0
2018-06-24,52.89,52.89,0.0,0.0,52.9,52.9,0.0,0.0,52.88,52.88,0.0,0.0,52.89,52.89,0.0,0.0
2018-07-01,54.14,54.14,0.0,0.0,54.57,54.57,0.0,0.0,54.14,54.14,0.0,0.0,54.57,54.57,0.0,0.0
2018-07-08,53.87,53.87,0.0,0.0,53.87,53.87,0.0,0.0,53.51,53.51,0.0,0.0,53.85,53.85,0.0,0.0
2018-07-15,54.45,54.45,0.0,0.0,54.45,54.45,0.0,0.0,54.45,54.45,0.0,0.0,54.45,54.45,0.0,0.0
2018-07-22,55.14,55.14,0.0,0.0,55.14,55.14,0.0,0.0,54.79,54.79,0.0,0.0,54.79,54.79,0.0,0.0
2018-07-29,54.64,54.64,0.0,0.0,54.87,54.87,0.0,0.0,54.64,54.64,0.0,0.0,54.87,54.87,0.0,0.0
2018-08-05,54.33,54.33,0.0,0.0,54.33,54.33,0.0,0.0,53.5,53.5,0.0,0.0,53.5,53.5,0.0,0.0
2018-08-12,54.63,54.63,0.0,0.0,54.63,54.63,0.0,0.0,54.63,54.63,0.0,0.0,54.63,54.63,0.0,0.0
2018-08-19,55.48,55.48,0.0,0.0,55.93,55.93,0.0,0.0,55.48,55.48,0.0,0.0,55.75,55.75,0.0,0.0
2018-08-26,55.31,55.31,0.0,0.0,55.42,55.42,0.0,0.0,55.31,55.31,0.0,0.0,55.38,55.38,0.0,0.0
2018-09-02,54.89,54.89,0.0,0.0,54.89,54.89,0.0,0.0,54.75,54.75,0.0,0.0,54.75,54.75,0.0,0.0
2018-09-09,56.0,56.0,0.0,0.0,56.0,56.0,0.0,0.0,55.83,55.83,0.0,0.0,55.88,55.88,0.0,0.0
2018-09-16,56.35,56.35,0.0,0.0,56.35,56.35,0.0,0.0,56.04,56.04,0.0,0.0,56.04,56.04,0.0,0.0
2018-09-23,54.57,54.57,0.0,0.0,54.97,54.97,0.0,0.0,54.57,54.57,0.0,0.0,54.61,54.61,0.0,0.0
2018-09-30,52.14,52.14,0.0,0.0,52.59,52.59,0.0,0.0,52.14,52.14,0.0,0.0,52.59,52.59,0.0,0.0
2018-10-07,48.3,48.3,0.0,0.0,48.65,48.65,0.0,0.0,48.3,48.3,0.0,0.0,48.42,48.42,0.0,0.0
2018-10-14,47.95,47.95,0.0,0.0,47.97,47.97,0.0,0.0,47.62,47.62,0.0,0.0,47.94,47.94,0.0,0.0
2018-10-21,46.2,46.2,0.0,0.0,46.56,46.56,0.0,0.0,45.09,45.09,0.0,0.0,45.09,45.09,0.0,0.0
2018-10-28,49.0,49.0,0.0,0.0,49.0,49.0,0.0,0.0,48.46,48.46,0.0,0.0,48.85,48.85,0.0,0.0
2018-11-04,47.56,47.56,0.0,0.0,47.56,47.56,0.0,0.0,46.95,46.95,0.0,0.0,47.09,47.09,0.0,0.0
2018-11-11,47.32,47.32,0.0,0.0,47.32,47.32,0.0,0.0,46.59,46.59,0.0,0.0,46.59,46.59,0.0,0.0
2018-11-18,45.85,45.85,0.0,0.0,46.7,46.7,0.0,0.0,45.85,45.85,0.0,0.0,45.9,45.9,0.0,0.0
2018-11-25,46.42,46.42,0.0,0.0,46.74,46.74,0.0,0.0,46.42,46.42,0.0,0.0,46.74,46.74,0.0,0.0
2018-12-02,42.21,42.21,0.0,0.0,42.32,42.32,0.0,0.0,41.57,41.57,0.0,0.0,42.08,42.08,0.0,0.0
2018-12-09,41.23,41.23,0.0,0.0,41.64,41.64,0.0,0.0,40.58,40.58,0.0,0.0,40.58,40.58,0.0,0.0
2018-12-16,38.05,38.05,0.0,0.0,38.57,38.57,0.0,0.0,37.59,37.59,0.0,0.0,37.59,37.59,0.0,0.0
2018-12-23,39.92,39.92,0.0,0.0,39.92,39.92,0.0,0.0,39.36,39.36,0.0,0.0,39.74,39.74,0.0,0.0
2018-12-30,41.11,41.11,0.0,0.0,41.87,41.87,0.0,0.0,41.11,41.11,0.0,0.0,41.81,41.81,0.0,0.0
2019-01-06,42.87,42.87,0.0,0.0,43.26,43.26,0.0,0.0,42.87,42.87,0.0,0.0,43.26,43.26,0.0,0.0
2019-01-13,44.97,44.97,0.0,0.0,45.55,45.55,0.0,0.0,44.97,44.97,0.0,0.0,45.28,45.28,0.0,0.0
2019-01-20,44.81,44.81,0.0,0.0,45.21,45.21,0.0,0.0,44.81,44.81,0.0,0.0,45.18,45.18,0.0,0.0
2019-01-27,46.99,46.99,0.0,0.0,47.05,47.05,0.0,0.0,46.93,46.93,0.0,0.0,47.05,47.05,0.0,0.0
2019-02-03,45.99,45.99,0.0,0.0,46.23,46.23,0.0,0.0,45.92,45.92,0.0,0.0,46.23,46.23,0.0,0.0
2019-02-10,48.58,48.58,0.0,0.0,48.58,48.58,0.0,0.0,48.58,48.58,0.0,0.0,48.58,48.58,0.0,0.0
2019-02-17,51.54,51.54,0.0,0.0,51.75,51.75,0.0,0.0,51.18,51.18,0.0,0.0,51.38,51.38,0.0,0.0
2019-02-24,50.89,50.89,0.0,0.0,50.99,50.99,0.0,0.0,50.45,50.45,0.0,0.0,50.87,50.87,0.0,0.0
2019-03-03,48.87,48.87,0.0,0.0,49.64,49.64,0.0,0.0,48.87,48.87,0.0,0.0,49.62,49.62,0.0,0.0
2019-03-10,48.03,48.03,0.0,0.0,48.62,48.62,0.0,0.0,47.85,47.85,0.0,0.0,48.62,48.62,0.0,0.0
2019-03-17,46.53,46.53,0.0,0.0,46.84,46.84,0.0,0.0,46.45,46.45,0.0,0.0,46.72,46.72,0.0,0.0
2019-03-24,47.79,47.79,0.0,0.0,48.11,48.11,0.0,0.0,47.75,47.75,0.0,0.0,48.11,48.11,0.0,0.0
2019-03-31,48.49,48.49,0.0,0.0,49.07,49.07,0.0,0.0,48.49,48.49,0.0,0.0,49.0,49.0,0.0,0.0
2019-04-07,48.66,48.66,0.0,0.0,48.76,48.76,0.0,0.0,48.66,48.66,0.0,0.0,48.76,48.76,0.0,0.0
2019-04-14,49.13,49.13,0.0,0.0,49.13,49.13,0.0,0.0,49.13,49.13,0.0,0.0,49.13,49.13,0.0,0.0
2019-04-21,48.15,48.15,0.0,0.0,48.39,48.39,0.0,0.0,48.14,48.14,0.0,0.0,48.39,48.39,0.0,0.0
2019-04-28,48.61,48.61,0.0,0.0,48.78,48.78,0.0,0.0,48.61,48.61,0.0,0.0,48.78,48.78,0.0,0.0
2019-05-05,45.33,45.33,0.0,0.0,45.51,45.51,0.0,0.0,44.45,44.45,0.0,0.0,44.45,44.45,0.0,0.0
2019-05-12,43.8,43.8,0.0,0.0,43.8,43.8,0.0,0.0,43.8,43.8,0.0,0.0,43.8,43.8,0.0,0.0
2019-05-19,42.89,42.89,0.0,0.0,42.89,42.89,0.0,0.0,42.89,42.89,0.0,0.0,42.89,42.89,0.0,0.0
2019-05-26,40.63,40.63,0.0,0.0,41.57,41.57,0.0,0.0,40.63,40.63,0.0,0.0,41.26,41.26,0.0,0.0
2019-06-02,43.54,43.54,0.0,0.0,43.73,43.73,0.0,0.0,43.54,43.54,0.0,0.0,43.62,43.62,0.0,0.0
2019-06-09,43.81,43.81,0.0,0.0,43.84,43.84,0.0,0.0,43.81,43.81,0.0,0.0,43.84,43.84,0.0,0.0
2019-06-16,44.1,44.1,0.0,0.0,44.1,44.1,0.0,0.0,44.1,44.1,0.0,0.0,44.1,44.1,0.0,0.0
2019-06-23,46.64,46.64,0.0,0.0,46.94,46.94,0.0,0.0,45.99,45.99,0.0,0.0,45.99,45.99,0.0,0.0
2019-06-30,45.61,45.61,0.0,0.0,45.75,45.75,0.0,0.0,45.61,45.61,0.0,0.0,45.74,45.74,0.0,0.0
2019-07-07,44.25,44.25,0.0,0.0,44.25,44.25,0.0,0.0,44.13,44.13,0.0,0.0,44.22,44.22,0.0,0.0
2019-07-14,44.46,44.46,0.0,0.0,44.76,44.76,0.0,0.0,44.33,44.33,0.0,0.0,44.45,44.45,0.0,0.0
2019-07-21,45.08,45.08,0.0,0.0,45.2,45.2,0.0,0.0,44.87,44.87,0.0,0.0,44.88,44.88,0.0,0.0
2019-07-28,41.78,41.78,0.0,0.0,41.78,41.78,0.0,0.0,41.28,41.28,0.0,0.0,41.28,41.28,0.0,0.0
