Date,PowerShares DB Oil_Open_average,PowerShares DB Oil_Open_max,PowerShares DB Oil_Open_volatility,PowerShares DB Oil_Open_change,PowerShares DB Oil_High_average,PowerShares DB Oil_High_max,PowerShares DB Oil_High_volatility,PowerShares DB Oil_High_change,PowerShares DB Oil_Low_average,PowerShares DB Oil_Low_max,PowerShares DB Oil_Low_volatility,PowerShares DB Oil_Low_change,PowerShares DB Oil_Close_average,PowerShares DB Oil_Close_max,PowerShares DB Oil_Close_volatility,PowerShares DB Oil_Close_change
2016-12-11,9.5,9.5,0.0,0.0,9.57,9.57,0.0,0.0,9.47,9.47,0.0,0.0,9.5,9.5,0.0,0.0
2016-12-18,9.46,9.46,0.0,0.0,9.55,9.55,0.0,0.0,9.46,9.46,0.0,0.0,9.55,9.55,0.0,0.0
2016-12-25,9.63,9.63,0.0,0.0,9.68,9.68,0.0,0.0,9.63,9.63,0.0,0.0,9.68,9.68,0.0,0.0
2017-01-01,9.5,9.5,0.0,0.0,9.51,9.51,0.0,0.0,9.33,9.33,0.0,0.0,9.35,9.35,0.0,0.0
2017-01-08,9.46,9.46,0.0,0.0,9.52,9.52,0.0,0.0,9.39,9.39,0.0,0.0,9.42,9.42,0.0,0.0
2017-01-15,9.25,9.25,0.0,0.0,9.39,9.39,0.0,0.0,9.25,9.25,0.0,0.0,9.34,9.34,0.0,0.0
2017-01-22,9.36,9.36,0.0,0.0,9.37,9.37,0.0,0.0,9.27,9.27,0.0,0.0,9.32,9.32,0.0,0.0
2017-01-29,9.51,9.51,0.0,0.0,9.53,9.53,0.0,0.0,9.37,9.37,0.0,0.0,9.4,9.4,0.0,0.0
2017-02-05,9.33,9.33,0.0,0.0,9.36,9.36,0.0,0.0,9.28,9.28,0.0,0.0,9.3,9.3,0.0,0.0
2017-02-12,9.18,9.18,0.0,0.0,9.24,9.24,0.0,0.0,9.18,9.18,0.0,0.0,9.24,9.24,0.0,0.0
2017-02-19,9.3,9.3,0.0,0.0,9.3,9.3,0.0,0.0,9.25,9.25,0.0,0.0,9.26,9.26,0.0,0.0
2017-02-26,9.25,9.25,0.0,0.0,9.28,9.28,0.0,0.0,9.22,9.22,0.0,0.0,9.26,9.26,0.0,0.0
2017-03-05,8.53,8.53,0.0,0.0,8.57,8.57,0.0,0.0,8.5,8.5,0.0,0.0,8.54,8.54,0.0,0.0
2017-03-12,8.47,8.47,0.0,0.0,8.54,8.54,0.0,0.0,8.46,8.46,0.0,0.0,8.52,8.52,0.0,0.0
2017-03-19,8.33,8.33,0.0,0.0,8.44,8.44,0.0,0.0,8.31,8.31,0.0,0.0,8.43,8.43,0.0,0.0
2017-03-26,8.81,8.81,0.0,0.0,8.82,8.82,0.0,0.0,8.76,8.76,0.0,0.0,8.77,8.77,0.0,0.0
2017-04-02,9.1,9.1,0.0,0.0,9.16,9.16,0.0,0.0,9.08,9.08,0.0,0.0,9.14,9.14,0.0,0.0
2017-04-09,9.21,9.21,0.0,0.0,9.24,9.24,0.0,0.0,9.16,9.16,0.0,0.0,9.16,9.16,0.0,0.0
2017-04-16,8.65,8.65,0.0,0.0,8.65,8.65,0.0,0.0,8.58,8.58,0.0,0.0,8.6,8.6,0.0,0.0
2017-04-23,8.5,8.5,0.0,0.0,8.51,8.51,0.0,0.0,8.45,8.45,0.0,0.0,8.48,8.48,0.0,0.0
2017-04-30,8.19,8.19,0.0,0.0,8.26,8.26,0.0,0.0,8.09,8.09,0.0,0.0,8.22,8.22,0.0,0.0
2017-05-07,8.55,8.55,0.0,0.0,8.55,8.55,0.0,0.0,8.45,8.45,0.0,0.0,8.47,8.47,0.0,0.0
2017-05-14,8.77,8.77,0.0,0.0,8.79,8.79,0.0,0.0,8.73,8.73,0.0,0.0,8.75,8.75,0.0,0.0
2017-05-21,8.43,8.43,0.0,0.0,8.55,8.55,0.0,0.0,8.41,8.41,0.0,0.0,8.52,8.52,0.0,0.0
2017-05-28,8.14,8.14,0.0,0.0,8.2,8.2,0.0,0.0,8.11,8.11,0.0,0.0,8.17,8.17,0.0,0.0
2017-06-04,8.1,8.1,0.0,0.0,8.13,8.13,0.0,0.0,8.02,8.02,0.0,0.0,8.02,8.02,0.0,0.0
2017-06-11,7.9,7.9,0.0,0.0,7.91,7.91,0.0,0.0,7.77,7.77,0.0,0.0,7.78,7.78,0.0,0.0
2017-06-18,7.58,7.58,0.0,0.0,7.63,7.63,0.0,0.0,7.5,7.5,0.0,0.0,7.61,7.61,0.0,0.0
2017-06-25,8.11,8.11,0.0,0.0,8.17,8.17,0.0,0.0,8.11,8.11,0.0,0.0,8.14,8.14,0.0,0.0
2017-07-02,7.67,7.67,0.0,0.0,7.81,7.81,0.0,0.0,7.67,7.67,0.0,0.0,7.77,7.77,0.0,0.0
2017-07-09,8.05,8.05,0.0,0.0,8.09,8.09,0.0,0.0,8.0,8.0,0.0,0.0,8.0,8.0,0.0,0.0
2017-07-16,8.0,8.0,0.0,0.0,8.02,8.02,0.0,0.0,7.98,7.98,0.0,0.0,8.02,8.02,0.0,0.0
2017-07-23,8.43,8.43,0.0,0.0,8.57,8.57,0.0,0.0,8.4,8.4,0.0,0.0,8.54,8.54,0.0,0.0
2017-07-30,8.38,8.38,0.0,0.0,8.47,8.47,0.0,0.0,8.33,8.33,0.0,0.0,8.44,8.44,0.0,0.0
2017-08-06,8.33,8.33,0.0,0.0,8.4,8.4,0.0,0.0,8.14,8.14,0.0,0.0,8.16,8.16,0.0,0.0
2017-08-13,8.22,8.22,0.0,0.0,8.25,8.25,0.0,0.0,8.06,8.06,0.0,0.0,8.12,8.12,0.0,0.0
2017-08-20,8.2,8.2,0.0,0.0,8.2,8.2,0.0,0.0,8.03,8.03,0.0,0.0,8.1,8.1,0.0,0.0
2017-08-27,8.35,8.35,0.0,0.0,8.38,8.38,0.0,0.0,8.29,8.29,0.0,0.0,8.37,8.37,0.0,0.0
2017-09-03,8.29,8.29,0.0,0.0,8.43,8.43,0.0,0.0,8.27,8.27,0.0,0.0,8.4,8.4,0.0,0.0
2017-09-10,8.62,8.62,0.0,0.0,8.66,8.66,0.0,0.0,8.54,8.54,0.0,0.0,8.62,8.62,0.0,0.0
2017-09-17,8.77,8.77,0.0,0.0,8.92,8.92,0.0,0.0,8.76,8.76,0.0,0.0,8.91,8.91,0.0,0.0
2017-09-24,8.61,8.61,0.0,0.0,8.66,8.66,0.0,0.0,8.57,8.57,0.0,0.0,8.66,8.66,0.0,0.0
2017-10-01,8.53,8.53,0.0,0.0,8.56,8.56,0.0,0.0,8.48,8.48,0.0,0.0,8.52,8.52,0.0,0.0
2017-10-08,8.92,8.92,0.0,0.0,8.92,8.92,0.0,0.0,8.84,8.84,0.0,0.0,8.88,8.88,0.0,0.0
2017-10-15,8.87,8.87,0.0,0.0,8.87,8.87,0.0,0.0,8.79,8.79,0.0,0.0,8.81,8.81,0.0,0.0
2017-10-22,9.21,9.21,0.0,0.0,9.24,9.24,0.0,0.0,9.13,9.13,0.0,0.0,9.19,9.19,0.0,0.0
2017-10-29,9.47,9.47,0.0,0.0,9.78,9.78,0.0,0.0,9.46,9.46,0.0,0.0,9.73,9.73,0.0,0.0
2017-11-05,9.69,9.69,0.0,0.0,9.72,9.72,0.0,0.0,9.59,9.59,0.0,0.0,9.64,9.64,0.0,0.0
2017-11-12,9.51,9.51,0.0,0.0,9.55,9.55,0.0,0.0,9.44,9.44,0.0,0.0,9.54,9.54,0.0,0.0
2017-11-19,9.82,9.82,0.0,0.0,9.83,9.83,0.0,0.0,9.71,9.71,0.0,0.0,9.78,9.78,0.0,0.0
2017-11-26,9.73,9.73,0.0,0.0,9.76,9.76,0.0,0.0,9.68,9.68,0.0,0.0,9.69,9.69,0.0,0.0
2017-12-03,9.74,9.74,0.0,0.0,9.81,9.81,0.0,0.0,9.72,9.72,0.0,0.0,9.8,9.8,0.0,0.0
2017-12-10,9.7,9.7,0.0,0.0,9.73,9.73,0.0,0.0,9.61,9.61,0.0,0.0,9.65,9.65,0.0,0.0
2017-12-17,9.79,9.79,0.0,0.0,9.88,9.88,0.0,0.0,9.79,9.79,0.0,0.0,9.85,9.85,0.0,0.0
2017-12-24,10.15,10.15,0.0,0.0,10.21,10.21,0.0,0.0,10.12,10.12,0.0,0.0,10.15,10.15,0.0,0.0
2017-12-31,10.39,10.39,0.0,0.0,10.45,10.45,0.0,0.0,10.36,10.36,0.0,0.0,10.44,10.44,0.0,0.0
2018-01-07,10.7,10.7,0.0,0.0,10.87,10.87,0.0,0.0,10.68,10.68,0.0,0.0,10.86,10.86,0.0,0.0
2018-01-14,10.69,10.69,0.0,0.0,10.82,10.82,0.0,0.0,10.66,10.66,0.0,0.0,10.77,10.77,0.0,0.0
2018-01-21,11.06,11.06,0.0,0.0,11.09,11.09,0.0,0.0,10.98,10.98,0.0,0.0,11.06,11.06,0.0,0.0
2018-01-28,10.98,10.98,0.0,0.0,11.02,11.02,0.0,0.0,10.76,10.76,0.0,0.0,10.79,10.79,0.0,0.0
2018-02-04,10.17,10.17,0.0,0.0,10.24,10.24,0.0,0.0,10.1,10.1,0.0,0.0,10.11,10.11,0.0,0.0
2018-02-11,10.34,10.34,0.0,0.0,10.45,10.45,0.0,0.0,10.3,10.3,0.0,0.0,10.42,10.42,0.0,0.0
2018-02-18,10.83,10.83,0.0,0.0,10.94,10.94,0.0,0.0,10.78,10.78,0.0,0.0,10.92,10.92,0.0,0.0
2018-02-25,10.48,10.48,0.0,0.0,10.71,10.71,0.0,0.0,10.46,10.46,0.0,0.0,10.66,10.66,0.0,0.0
2018-03-04,10.68,10.68,0.0,0.0,10.7,10.7,0.0,0.0,10.53,10.53,0.0,0.0,10.66,10.66,0.0,0.0
2018-03-11,10.79,10.79,0.0,0.0,10.79,10.79,0.0,0.0,10.65,10.65,0.0,0.0,10.73,10.73,0.0,0.0
2018-03-18,11.23,11.23,0.0,0.0,11.25,11.25,0.0,0.0,11.15,11.15,0.0,0.0,11.2,11.2,0.0,0.0
2018-03-25,11.1,11.1,0.0,0.0,11.11,11.11,0.0,0.0,10.89,10.89,0.0,0.0,10.91,10.91,0.0,0.0
2018-04-01,11.02,11.02,0.0,0.0,11.11,11.11,0.0,0.0,11.01,11.01,0.0,0.0,11.06,11.06,0.0,0.0
2018-04-08,11.47,11.47,0.0,0.0,11.48,11.48,0.0,0.0,11.4,11.4,0.0,0.0,11.42,11.42,0.0,0.0
2018-04-15,11.62,11.62,0.0,0.0,11.85,11.85,0.0,0.0,11.62,11.62,0.0,0.0,11.83,11.83,0.0,0.0
2018-04-22,11.7,11.7,0.0,0.0,11.97,11.97,0.0,0.0,11.69,11.69,0.0,0.0,11.82,11.82,0.0,0.0
2018-04-29,12.16,12.16,0.0,0.0,12.27,12.27,0.0,0.0,12.09,12.09,0.0,0.0,12.15,12.15,0.0,0.0
2018-05-06,12.42,12.42,0.0,0.0,12.52,12.52,0.0,0.0,12.42,12.42,0.0,0.0,12.49,12.49,0.0,0.0
2018-05-13,12.52,12.52,0.0,0.0,12.65,12.65,0.0,0.0,12.5,12.5,0.0,0.0,12.64,12.64,0.0,0.0
2018-05-20,12.16,12.16,0.0,0.0,12.18,12.18,0.0,0.0,11.97,11.97,0.0,0.0,12.03,12.03,0.0,0.0
2018-05-27,11.81,11.81,0.0,0.0,11.83,11.83,0.0,0.0,11.66,11.66,0.0,0.0,11.71,11.71,0.0,0.0
2018-06-03,11.74,11.74,0.0,0.0,11.9,11.9,0.0,0.0,11.71,11.71,0.0,0.0,11.85,11.85,0.0,0.0
2018-06-10,11.62,11.62,0.0,0.0,11.76,11.76,0.0,0.0,11.59,11.59,0.0,0.0,11.7,11.7,0.0,0.0
2018-06-17,11.82,11.82,0.0,0.0,11.94,11.94,0.0,0.0,11.8,11.8,0.0,0.0,11.93,11.93,0.0,0.0
2018-06-24,12.38,12.38,0.0,0.0,12.38,12.38,0.0,0.0,12.16,12.16,0.0,0.0,12.18,12.18,0.0,0.0
2018-07-01,12.44,12.44,0.0,0.0,12.51,12.51,0.0,0.0,12.39,12.39,0.0,0.0,12.48,12.48,0.0,0.0
2018-07-08,11.95,11.95,0.0,0.0,11.97,11.97,0.0,0.0,11.71,11.71,0.0,0.0,11.75,11.75,0.0,0.0
2018-07-15,12.1,12.1,0.0,0.0,12.15,12.15,0.0,0.0,11.98,11.98,0.0,0.0,12.07,12.07,0.0,0.0
2018-07-22,12.41,12.41,0.0,0.0,12.44,12.44,0.0,0.0,12.36,12.36,0.0,0.0,12.38,12.38,0.0,0.0
2018-07-29,12.29,12.29,0.0,0.0,12.38,12.38,0.0,0.0,12.19,12.19,0.0,0.0,12.21,12.21,0.0,0.0
2018-08-05,12.06,12.06,0.0,0.0,12.1,12.1,0.0,0.0,11.81,11.81,0.0,0.0,12.07,12.07,0.0,0.0
2018-08-12,11.81,11.81,0.0,0.0,11.91,11.91,0.0,0.0,11.8,11.8,0.0,0.0,11.86,11.86,0.0,0.0
2018-08-19,12.48,12.48,0.0,0.0,12.5,12.5,0.0,0.0,12.43,12.43,0.0,0.0,12.49,12.49,0.0,0.0
2018-08-26,12.67,12.67,0.0,0.0,12.71,12.71,0.0,0.0,12.61,12.61,0.0,0.0,12.64,12.64,0.0,0.0
2018-09-02,12.49,12.49,0.0,0.0,12.52,12.52,0.0,0.0,12.34,12.34,0.0,0.0,12.38,12.38,0.0,0.0
2018-09-09,12.72,12.72,0.0,0.0,12.78,12.78,0.0,0.0,12.59,12.59,0.0,0.0,12.63,12.63,0.0,0.0
2018-09-16,13.12,13.12,0.0,0.0,13.23,13.23,0.0,0.0,13.09,13.09,0.0,0.0,13.22,13.22,0.0,0.0
2018-09-23,13.5,13.5,0.0,0.0,13.93,13.93,0.0,0.0,13.46,13.46,0.0,0.0,13.9,13.9,0.0,0.0
2018-09-30,13.61,13.61,0.0,0.0,13.71,13.71,0.0,0.0,13.59,13.59,0.0,0.0,13.69,13.69,0.0,0.0
2018-10-07,13.2,13.2,0.0,0.0,13.26,13.26,0.0,0.0,13.09,13.09,0.0,0.0,13.23,13.23,0.0,0.0
2018-10-14,12.87,12.87,0.0,0.0,12.98,12.98,0.0,0.0,12.79,12.79,0.0,0.0,12.97,12.97,0.0,0.0
2018-10-21,12.54,12.54,0.0,0.0,12.6,12.6,0.0,0.0,12.41,12.41,0.0,0.0,12.45,12.45,0.0,0.0
2018-10-28,11.9,11.9,0.0,0.0,11.98,11.98,0.0,0.0,11.71,11.71,0.0,0.0,11.71,11.71,0.0,0.0
2018-11-04,11.37,11.37,0.0,0.0,11.47,11.47,0.0,0.0,11.01,11.01,0.0,0.0,11.04,11.04,0.0,0.0
2018-11-11,10.5,10.5,0.0,0.0,10.74,10.74,0.0,0.0,10.35,10.35,0.0,0.0,10.7,10.7,0.0,0.0
2018-11-18,9.67,9.67,0.0,0.0,9.77,9.77,0.0,0.0,9.63,9.63,0.0,0.0,9.69,9.69,0.0,0.0
2018-11-25,9.97,9.97,0.0,0.0,9.98,9.98,0.0,0.0,9.75,9.75,0.0,0.0,9.97,9.97,0.0,0.0
2018-12-02,9.65,9.65,0.0,0.0,9.77,9.77,0.0,0.0,9.48,9.48,0.0,0.0,9.54,9.54,0.0,0.0
2018-12-09,9.65,9.65,0.0,0.0,9.68,9.68,0.0,0.0,9.25,9.25,0.0,0.0,9.27,9.27,0.0,0.0
2018-12-16,8.3,8.3,0.0,0.0,8.32,8.32,0.0,0.0,8.12,8.12,0.0,0.0,8.12,8.12,0.0,0.0
2018-12-23,8.42,8.42,0.0,0.0,8.49,8.49,0.0,0.0,8.26,8.26,0.0,0.0,8.47,8.47,0.0,0.0
2018-12-30,8.99,8.99,0.0,0.0,9.19,9.19,0.0,0.0,8.95,8.95,0.0,0.0,9.0,9.0,0.0,0.0
2019-01-06,9.45,9.45,0.0,0.0,9.55,9.55,0.0,0.0,9.3,9.3,0.0,0.0,9.35,9.35,0.0,0.0
2019-01-13,9.73,9.73,0.0,0.0,9.94,9.94,0.0,0.0,9.66,9.66,0.0,0.0,9.89,9.89,0.0,0.0
2019-01-20,9.57,9.57,0.0,0.0,9.59,9.59,0.0,0.0,9.43,9.43,0.0,0.0,9.58,9.58,0.0,0.0
2019-01-27,9.96,9.96,0.0,0.0,10.08,10.08,0.0,0.0,9.79,9.79,0.0,0.0,10.08,10.08,0.0,0.0
2019-02-03,9.58,9.58,0.0,0.0,9.74,9.74,0.0,0.0,9.56,9.56,0.0,0.0,9.71,9.71,0.0,0.0
2019-02-10,10.14,10.14,0.0,0.0,10.28,10.28,0.0,0.0,10.1,10.1,0.0,0.0,10.28,10.28,0.0,0.0
2019-02-17,10.21,10.21,0.0,0.0,10.25,10.25,0.0,0.0,10.06,10.06,0.0,0.0,10.08,10.08,0.0,0.0
2019-02-24,10.29,10.29,0.0,0.0,10.35,10.35,0.0,0.0,10.19,10.19,0.0,0.0,10.28,10.28,0.0,0.0
2019-03-03,10.31,10.31,0.0,0.0,10.34,10.34,0.0,0.0,10.24,10.24,0.0,0.0,10.31,10.31,0.0,0.0
2019-03-10,10.45,10.45,0.0,0.0,10.52,10.52,0.0,0.0,10.44,10.44,0.0,0.0,10.49,10.49,0.0,0.0
2019-03-17,10.39,10.39,0.0,0.0,10.5,10.5,0.0,0.0,10.34,10.34,0.0,0.0,10.45,10.45,0.0,0.0
2019-03-24,10.6,10.6,0.0,0.0,10.69,10.69,0.0,0.0,10.57,10.57,0.0,0.0,10.68,10.68,0.0,0.0
2019-03-31,10.83,10.83,0.0,0.0,10.89,10.89,0.0,0.0,10.82,10.82,0.0,0.0,10.87,10.87,0.0,0.0
2019-04-07,10.91,10.91,0.0,0.0,10.97,10.97,0.0,0.0,10.89,10.89,0.0,0.0,10.97,10.97,0.0,0.0
2019-04-14,11.13,11.13,0.0,0.0,11.15,11.15,0.0,0.0,11.07,11.07,0.0,0.0,11.08,11.08,0.0,0.0
2019-04-21,10.87,10.87,0.0,0.0,10.92,10.92,0.0,0.0,10.81,10.81,0.0,0.0,10.89,10.89,0.0,0.0
2019-04-28,10.63,10.63,0.0,0.0,10.81,10.81,0.0,0.0,10.6,10.6,0.0,0.0,10.8,10.8,0.0,0.0
2019-05-05,10.9,10.9,0.0,0.0,10.93,10.93,0.0,0.0,10.51,10.51,0.0,0.0,10.52,10.52,0.0,0.0
2019-05-12,10.9,10.9,0.0,0.0,10.96,10.96,0.0,0.0,10.84,10.84,0.0,0.0,10.9,10.9,0.0,0.0
2019-05-19,10.2,10.2,0.0,0.0,10.25,10.25,0.0,0.0,10.01,10.01,0.0,0.0,10.25,10.25,0.0,0.0
2019-05-26,9.51,9.51,0.0,0.0,9.52,9.52,0.0,0.0,9.26,9.26,0.0,0.0,9.28,9.28,0.0,0.0
2019-06-02,9.51,9.51,0.0,0.0,9.61,9.61,0.0,0.0,9.39,9.39,0.0,0.0,9.46,9.46,0.0,0.0
2019-06-09,9.27,9.27,0.0,0.0,9.35,9.35,0.0,0.0,9.17,9.17,0.0,0.0,9.24,9.24,0.0,0.0
2019-06-16,9.99,9.99,0.0,0.0,10.06,10.06,0.0,0.0,9.87,9.87,0.0,0.0,10.05,10.05,0.0,0.0
2019-06-23,10.37,10.37,0.0,0.0,10.38,10.38,0.0,0.0,10.12,10.12,0.0,0.0,10.24,10.24,0.0,0.0
2019-06-30,10.1,10.1,0.0,0.0,10.2,10.2,0.0,0.0,10.04,10.04,0.0,0.0,10.05,10.05,0.0,0.0
2019-07-07,10.54,10.54,0.0,0.0,10.54,10.54,0.0,0.0,10.29,10.29,0.0,0.0,10.29,10.29,0.0,0.0
2019-07-14,9.87,9.87,0.0,0.0,9.94,9.94,0.0,0.0,9.83,9.83,0.0,0.0,9.92,9.92,0.0,0.0
2019-07-21,10.0,10.0,0.0,0.0,10.04,10.04,0.0,0.0,9.87,9.87,0.0,0.0,10.03,10.03,0.0,0.0
2019-07-28,9.56,9.56,0.0,0.0,9.69,9.69,0.0,0.0,9.52,9.52,0.0,0.0,9.58,9.58,0.0,0.0
2019-08-04,9.41,9.41,0.0,0.0,9.47,9.47,0.0,0.0,9.37,9.37,0.0,0.0,9.45,9.45,0.0,0.0
2019-08-11,9.55,9.55,0.0,0.0,9.59,9.59,0.0,0.0,9.5,9.5,0.0,0.0,9.57,9.57,0.0,0.0
