Date,Open,High,Low,Close,Volume,Currency
2016-09-14,77.17,79.09,76.62,78.69,1829464,USD
2016-09-15,78.72,79.63,78.19,79.31,1341593,USD
2016-09-16,78.32,78.68,77.07,77.64,2139375,USD
2016-09-19,78.77,80.33,78.45,79.18,1172239,USD
2016-09-20,79.49,79.49,75.56,75.56,2470635,USD
2016-09-21,76.34,76.97,74.6,75.66,2638985,USD
2016-09-22,76.42,76.89,74.97,75.39,2330978,USD
2016-09-23,75.28,77.24,74.99,75.55,2158085,USD
2016-09-26,75.36,76.0,73.82,73.95,1994297,USD
2016-09-27,73.52,73.95,72.85,73.22,1916232,USD
2016-09-28,73.47,75.29,73.23,75.14,2529137,USD
2016-09-29,75.0,76.98,74.76,76.34,2522367,USD
2016-09-30,77.11,78.91,76.86,78.49,2598349,USD
2016-10-03,78.38,79.54,78.02,78.93,1657868,USD
2016-10-04,80.15,80.88,78.83,79.16,1970021,USD
2016-10-05,79.98,81.54,79.63,80.58,2055415,USD
2016-10-06,80.64,83.56,80.64,83.21,2570612,USD
2016-10-07,82.83,82.83,80.42,80.76,2086308,USD
2016-10-10,81.39,82.24,80.69,81.28,1316823,USD
2016-10-11,81.28,81.28,78.94,79.5,1341809,USD
2016-10-12,79.61,80.56,79.18,80.18,1073938,USD
2016-10-13,79.13,79.16,77.17,78.21,1542540,USD
2016-10-14,76.39,76.9,75.05,75.27,2695566,USD
2016-10-17,74.91,76.02,74.31,75.7,2203747,USD
2016-10-18,76.86,77.22,76.06,76.44,1768583,USD
2016-10-19,76.65,76.85,75.44,75.58,2826333,USD
2016-10-20,80.0,81.5,77.04,79.13,4268736,USD
2016-10-21,78.3,79.8,78.04,79.18,1785395,USD
2016-10-24,78.65,78.65,76.35,76.57,2169788,USD
2016-10-25,76.2,77.48,75.6,76.49,1967652,USD
2016-10-26,75.92,76.82,75.31,76.19,1834452,USD
2016-10-27,76.59,76.78,75.4,76.27,1358518,USD
2016-10-28,76.36,76.72,74.86,75.39,1380997,USD
2016-10-31,75.6,75.95,74.9,75.66,1361533,USD
2016-11-01,75.89,76.06,72.26,73.03,1943089,USD
2016-11-02,72.61,73.36,70.58,70.92,2378402,USD
2016-11-03,71.31,73.03,70.74,72.29,2340051,USD
2016-11-04,72.37,73.75,71.55,72.16,1783799,USD
2016-11-07,74.39,76.16,74.24,76.11,1712246,USD
2016-11-08,75.4,76.24,74.43,75.87,1817198,USD
2016-11-09,82.9,90.07,82.7,88.86,9739027,USD
2016-11-10,89.04,92.8,88.46,89.5,4807380,USD
2016-11-11,88.96,91.23,88.17,91.2,2953164,USD
2016-11-14,91.9,96.6,91.28,94.69,3713596,USD
2016-11-15,93.91,94.18,91.57,94.14,2062710,USD
2016-11-16,91.01,93.2,90.78,92.12,1948065,USD
2016-11-17,92.0,92.88,91.51,92.23,1181109,USD
2016-11-18,92.74,92.8,90.77,90.95,1449679,USD
2016-11-21,91.87,94.15,91.72,93.86,2048436,USD
2016-11-22,94.39,94.6,93.28,94.06,1380926,USD
2016-11-23,94.23,97.67,94.23,97.35,2451183,USD
2016-11-25,97.35,98.12,96.76,98.12,652259,USD
2016-11-28,97.11,97.93,94.83,96.19,1977582,USD
2016-11-29,94.59,97.29,94.2,96.3,1586882,USD
2016-11-30,98.51,101.87,98.51,101.11,3275398,USD
2016-12-01,101.47,105.7,101.25,104.29,3847652,USD
2016-12-02,103.89,105.57,103.25,104.85,2206761,USD
2016-12-05,105.27,106.42,104.87,105.31,1904005,USD
2016-12-06,104.62,107.58,104.4,107.17,1524927,USD
2016-12-07,107.02,109.75,106.76,109.12,1926973,USD
2016-12-08,109.39,109.9,106.59,108.3,1871984,USD
2016-12-09,108.68,109.63,107.25,108.0,1527643,USD
2016-12-12,108.68,108.83,103.71,107.03,1848405,USD
2016-12-13,106.88,107.4,105.36,106.3,1602468,USD
2016-12-14,105.59,107.16,104.65,105.05,1399603,USD
2016-12-15,104.88,108.24,104.22,107.14,1907407,USD
2016-12-16,107.42,107.49,105.56,105.71,1998191,USD
2016-12-19,106.18,107.68,105.64,106.27,982815,USD
2016-12-20,106.46,108.06,106.14,107.25,1013761,USD
2016-12-21,107.06,108.62,106.95,108.48,1480679,USD
2016-12-22,108.26,108.98,106.11,106.86,1047870,USD
2016-12-23,107.46,108.53,107.46,108.06,539649,USD
2016-12-27,108.5,109.31,108.25,108.58,584306,USD
2016-12-28,108.76,109.55,105.73,106.21,1170003,USD
2016-12-29,106.58,107.77,105.87,106.7,751568,USD
2016-12-30,107.1,107.55,104.7,105.58,1168489,USD
2017-01-03,107.88,110.79,107.3,109.31,1903183,USD
2017-01-04,109.5,110.5,108.4,109.87,1090853,USD
2017-01-05,109.9,111.81,108.22,110.15,1348320,USD
2017-01-06,110.29,111.0,108.91,109.38,1147753,USD
2017-01-09,108.12,108.9,106.12,106.16,1811425,USD
2017-01-10,106.81,110.61,106.81,108.9,2139026,USD
2017-01-11,108.91,109.99,107.69,109.26,1538483,USD
2017-01-12,109.0,109.35,105.33,106.54,1490947,USD
2017-01-13,106.5,108.3,106.24,107.05,953646,USD
2017-01-17,106.72,108.11,105.65,107.23,1219629,USD
2017-01-18,107.47,111.3,107.09,111.02,2067511,USD
2017-01-19,110.71,112.5,109.61,110.45,1614742,USD
2017-01-20,110.98,111.94,110.44,111.19,1252302,USD
2017-01-23,110.98,111.25,109.41,110.11,1312167,USD
2017-01-24,111.15,114.47,110.53,113.61,1783756,USD
2017-01-25,115.0,115.61,112.59,114.26,3048053,USD
2017-01-26,123.42,129.39,122.05,127.06,6527764,USD
2017-01-27,126.6,128.64,125.2,128.26,2471217,USD
2017-01-30,128.74,128.93,124.72,128.77,2762396,USD
2017-01-31,129.0,129.6,124.13,126.51,3671240,USD
2017-02-01,127.53,131.19,127.53,129.89,2868404,USD
2017-02-02,127.34,128.9,126.28,127.09,1764819,USD
2017-02-03,127.82,129.6,127.82,128.65,1576429,USD
2017-02-06,127.8,128.72,125.88,126.31,1382357,USD
2017-02-07,126.68,127.49,125.4,126.24,1255041,USD
2017-02-08,125.89,125.89,123.06,124.65,1863360,USD
2017-02-09,125.0,126.64,123.77,125.44,1531925,USD
2017-02-10,126.15,127.54,125.39,127.12,1313726,USD
2017-02-13,127.31,128.91,127.15,127.78,1789809,USD
2017-02-14,127.24,129.0,126.06,128.79,953538,USD
2017-02-15,128.5,129.57,127.19,129.18,1135234,USD
2017-02-16,128.67,129.28,126.43,127.86,989567,USD
2017-02-17,126.95,126.95,125.02,126.03,1120698,USD
2017-02-21,126.65,129.52,126.44,128.93,1311905,USD
2017-02-22,127.84,128.14,126.35,128.06,1125137,USD
2017-02-23,129.06,129.86,120.34,120.9,3065963,USD
2017-02-24,119.36,124.7,119.11,124.15,2269350,USD
2017-02-27,124.71,128.86,124.21,128.21,1748867,USD
2017-02-28,126.81,128.69,126.0,128.03,1539734,USD
2017-03-01,130.79,134.28,130.77,133.36,2489110,USD
2017-03-02,133.11,133.24,128.65,129.01,1962750,USD
2017-03-03,129.01,130.15,126.92,128.72,1470844,USD
2017-03-06,127.22,130.16,126.9,129.78,1443563,USD
2017-03-07,129.37,130.5,127.46,128.15,1497110,USD
2017-03-08,128.84,129.97,124.16,124.3,2010196,USD
2017-03-09,124.0,125.22,120.59,121.98,3077047,USD
2017-03-10,123.62,124.8,121.34,122.95,1453985,USD
2017-03-13,122.98,125.06,122.98,124.2,1362806,USD
2017-03-14,122.16,122.18,119.3,122.12,2049695,USD
2017-03-15,123.2,127.04,122.76,126.35,2135101,USD
2017-03-16,127.0,128.46,124.92,125.28,1369699,USD
2017-03-17,125.72,126.78,125.15,125.19,977990,USD
2017-03-20,124.47,125.84,123.01,124.99,950029,USD
2017-03-21,125.33,125.75,119.59,120.01,1795441,USD
2017-03-22,119.33,121.48,118.14,120.38,1394253,USD
2017-03-23,119.7,122.48,119.43,120.82,1058618,USD
2017-03-24,121.33,122.75,119.53,120.69,1259849,USD
2017-03-27,117.45,120.01,115.1,119.56,1422380,USD
2017-03-28,119.59,124.66,119.22,123.24,1636583,USD
2017-03-29,123.06,125.03,122.57,123.64,1069554,USD
2017-03-30,123.66,124.55,122.97,124.17,873688,USD
2017-03-31,123.35,126.19,123.18,125.05,979314,USD
2017-04-03,125.11,125.28,121.62,123.83,1258014,USD
2017-04-04,123.12,124.89,122.73,123.77,831541,USD
2017-04-05,125.0,126.77,120.28,121.06,1657547,USD
2017-04-06,121.51,124.96,121.2,124.0,1263309,USD
2017-04-07,123.59,125.43,123.08,123.41,1264630,USD
2017-04-10,124.37,126.57,123.94,125.96,1442285,USD
2017-04-11,125.99,126.56,124.02,125.93,954204,USD
2017-04-12,125.56,126.06,120.82,121.13,1505961,USD
2017-04-13,121.32,123.21,119.25,119.29,1324175,USD
2017-04-17,120.01,120.97,119.05,120.95,1302928,USD
2017-04-18,119.77,120.5,117.93,119.86,1339190,USD
2017-04-19,120.96,122.59,118.98,119.45,2840120,USD
2017-04-20,113.74,114.64,110.6,113.24,6931688,USD
2017-04-21,112.9,113.25,108.82,111.46,3743439,USD
2017-04-24,113.71,114.79,113.11,113.56,2589236,USD
2017-04-25,114.35,115.23,112.53,113.3,2021258,USD
2017-04-26,113.3,114.86,113.17,113.4,1534379,USD
2017-04-27,112.89,113.4,108.01,109.52,2798810,USD
2017-04-28,111.94,112.88,109.23,109.66,2562314,USD
2017-05-01,109.81,110.0,107.06,108.88,1640155,USD
2017-05-02,108.98,109.78,107.62,108.62,1400893,USD
2017-05-03,107.67,108.77,106.61,107.7,1434252,USD
2017-05-04,107.7,107.93,105.73,107.36,1606037,USD
2017-05-05,107.57,109.05,106.85,108.96,1365250,USD
2017-05-08,110.74,112.15,110.68,111.68,2212846,USD
2017-05-09,112.02,112.55,111.07,111.7,1324199,USD
2017-05-10,111.75,114.95,111.37,114.23,1779940,USD
2017-05-11,113.8,115.17,111.38,114.43,1491353,USD
2017-05-12,113.6,113.66,111.24,112.16,1200066,USD
2017-05-15,113.13,114.75,112.65,113.83,1333047,USD
2017-05-16,113.68,114.02,110.62,111.72,1357993,USD
2017-05-17,109.94,110.5,104.72,105.1,2397764,USD
2017-05-18,104.21,107.4,102.73,106.5,2588699,USD
2017-05-19,106.92,110.59,106.91,110.1,1706189,USD
2017-05-22,110.68,111.26,109.19,110.6,1006998,USD
2017-05-23,110.58,111.31,109.26,111.3,1047870,USD
2017-05-24,111.21,113.35,110.27,110.81,1457946,USD
2017-05-25,110.86,113.93,110.26,111.4,1684925,USD
2017-05-26,111.0,111.86,109.95,111.17,787333,USD
2017-05-30,110.73,112.07,109.97,110.65,1122125,USD
2017-05-31,110.35,111.07,106.32,108.73,2129400,USD
2017-06-01,109.58,112.36,109.0,109.97,1759250,USD
2017-06-02,109.66,109.71,108.16,108.49,1582747,USD
2017-06-05,108.4,108.4,104.24,105.74,2856445,USD
2017-06-06,105.05,106.59,103.48,106.32,1993843,USD
2017-06-07,106.67,106.81,104.58,105.26,1496167,USD
2017-06-08,105.13,108.08,104.87,106.54,1242857,USD
2017-06-09,106.84,110.8,106.61,110.22,2118862,USD
2017-06-12,110.67,112.5,109.92,111.82,1946524,USD
2017-06-13,111.35,111.95,109.64,111.66,1614923,USD
2017-06-14,111.24,111.24,104.07,104.81,3048774,USD
2017-06-15,103.76,105.67,102.86,103.49,2141304,USD
2017-06-16,103.66,105.22,102.73,105.2,1882246,USD
2017-06-19,105.64,107.45,105.38,106.95,1018160,USD
2017-06-20,106.22,106.22,102.42,103.91,2093050,USD
2017-06-21,104.26,104.74,100.62,101.62,1902782,USD
2017-06-22,102.17,104.35,101.3,103.82,1377152,USD
2017-06-23,104.0,105.75,103.28,104.85,1580009,USD
2017-06-26,104.96,107.18,104.96,106.11,862372,USD
2017-06-27,106.79,108.65,105.75,105.78,1292659,USD
2017-06-28,107.09,109.09,106.82,108.49,1264341,USD
2017-06-29,109.71,113.66,108.79,109.7,2428393,USD
2017-06-30,110.71,113.87,110.52,112.71,2065235,USD
2017-07-03,113.6,115.08,112.6,113.21,747904,USD
2017-07-05,113.76,117.55,112.76,114.27,1906074,USD
2017-07-06,114.18,115.39,111.92,112.35,2251166,USD
2017-07-07,112.39,113.02,111.11,112.55,1024759,USD
2017-07-10,112.06,114.65,111.09,113.54,1114824,USD
2017-07-11,113.83,114.08,111.92,113.69,817543,USD
2017-07-12,114.73,117.32,114.06,114.26,1258245,USD
2017-07-13,116.1,116.1,113.34,114.74,1844270,USD
2017-07-14,115.07,117.65,114.33,117.21,1260469,USD
2017-07-17,118.62,119.44,117.16,117.79,1506042,USD
2017-07-18,117.34,117.84,116.3,117.48,1723720,USD
2017-07-19,117.48,119.19,117.04,118.7,1781705,USD
2017-07-20,124.0,126.26,121.39,122.54,3581607,USD
2017-07-21,120.75,121.53,119.25,119.31,1782197,USD
2017-07-24,119.5,120.46,117.53,118.39,1355798,USD
2017-07-25,119.77,122.96,119.69,121.18,1749359,USD
2017-07-26,122.17,122.17,119.76,120.17,949536,USD
2017-07-27,120.19,121.23,118.71,120.77,1087528,USD
2017-07-28,120.61,120.94,119.03,119.73,1109360,USD
2017-07-31,119.92,120.25,118.42,118.96,869708,USD
2017-08-01,119.47,119.57,115.67,116.56,1597830,USD
2017-08-02,115.87,117.04,114.06,115.03,1307115,USD
2017-08-03,115.48,117.08,115.21,116.31,1177313,USD
2017-08-04,117.2,118.66,117.01,118.37,920644,USD
2017-08-07,118.52,118.83,117.44,118.1,830539,USD
2017-08-08,117.4,119.42,116.88,117.38,848730,USD
2017-08-09,116.08,116.81,114.6,115.31,945180,USD
2017-08-10,114.71,115.5,111.56,111.62,1697831,USD
2017-08-11,111.42,112.25,110.7,111.54,982676,USD
2017-08-14,113.0,113.67,111.99,112.2,1210578,USD
2017-08-15,113.1,113.22,111.6,111.99,681931,USD
2017-08-16,112.82,113.33,111.16,111.97,995912,USD
2017-08-17,115.75,116.0,111.59,111.82,2070230,USD
2017-08-18,112.96,113.21,110.65,111.86,1411868,USD
2017-08-21,111.71,111.86,107.67,108.4,1366683,USD
2017-08-22,109.0,112.56,109.0,112.44,1378650,USD
2017-08-23,111.36,111.74,108.69,108.69,1019276,USD
2017-08-24,109.0,109.76,107.33,107.61,973585,USD
2017-08-25,108.05,108.39,106.52,107.26,1073001,USD
2017-08-28,108.5,110.77,108.22,110.71,1338229,USD
2017-08-29,109.58,115.84,109.43,114.94,2941873,USD
2017-08-30,115.1,119.8,113.13,119.19,3207177,USD
2017-08-31,119.59,120.71,117.54,118.06,1734265,USD
2017-09-01,118.37,121.18,118.37,120.56,1646493,USD
2017-09-05,120.56,121.68,117.86,119.09,1508664,USD
2017-09-06,120.46,121.43,119.79,121.16,1439456,USD
2017-09-07,121.5,123.16,120.33,123.09,1871370,USD
2017-09-08,123.5,128.0,123.5,126.69,2616453,USD
2017-09-11,125.4,126.34,123.45,125.03,2174607,USD
2017-09-12,127.11,128.49,126.17,127.69,1418599,USD
2017-09-13,127.5,129.63,126.11,128.82,1435196,USD
2017-09-14,128.27,128.75,126.79,127.36,1301850,USD
2017-09-15,127.15,128.82,126.97,128.1,1119491,USD
2017-09-18,128.1,129.51,128.09,129.43,920101,USD
2017-09-19,129.5,129.96,128.12,129.89,846804,USD
2017-09-20,130.0,132.3,129.72,130.74,1041624,USD
2017-09-21,131.21,131.21,129.9,130.12,894847,USD
2017-09-22,129.72,132.81,129.01,132.31,998025,USD
2017-09-25,132.72,132.98,131.22,132.21,1023859,USD
2017-09-26,132.4,134.57,132.02,133.94,1040747,USD
2017-09-27,134.63,137.12,134.15,135.69,1236709,USD
2017-09-28,135.77,138.33,135.18,137.97,1039295,USD
2017-09-29,137.96,139.98,136.96,138.74,1224408,USD
2017-10-02,139.2,139.75,136.84,139.2,1368309,USD
2017-10-03,139.71,142.71,138.98,142.71,1670161,USD
2017-10-04,142.22,142.31,139.46,140.75,1654326,USD
2017-10-05,141.54,143.15,140.81,141.98,997729,USD
2017-10-06,141.43,143.07,141.0,142.24,865296,USD
2017-10-09,142.66,142.88,141.09,142.49,810836,USD
2017-10-10,143.6,144.19,140.35,141.55,1105772,USD
2017-10-11,141.83,142.44,140.91,142.16,826267,USD
2017-10-12,140.99,144.35,140.16,144.01,1120115,USD
2017-10-13,144.9,145.56,143.43,144.21,885179,USD
2017-10-16,145.89,146.67,144.45,145.79,1203988,USD
2017-10-17,145.43,145.63,143.01,143.34,1525591,USD
2017-10-18,144.07,144.6,142.16,144.32,1922436,USD
2017-10-19,144.8,147.6,140.94,144.4,2955807,USD
2017-10-20,144.81,146.69,144.03,144.4,2525019,USD
2017-10-23,144.44,144.64,141.2,141.48,1372425,USD
2017-10-24,142.45,145.5,142.18,143.94,1420408,USD
2017-10-25,143.25,144.1,138.19,138.91,2508062,USD
2017-10-26,139.75,142.22,139.3,141.24,2020988,USD
2017-10-27,141.34,146.06,141.34,145.94,1365757,USD
2017-10-30,145.32,146.72,143.25,143.59,1256862,USD
2017-10-31,143.6,144.82,141.23,141.48,1329063,USD
2017-11-01,143.34,144.59,142.6,143.67,1147428,USD
2017-11-02,143.37,146.87,143.0,145.58,1026466,USD
2017-11-03,145.09,146.0,144.46,144.71,708200,USD
2017-11-06,145.26,148.52,145.12,148.4,1092399,USD
