Date,Open,High,Low,Close,Volume,Currency
2018-11-02,141.97,142.0,139.66,140.68,7673303,USD
2018-11-05,141.0,142.74,139.0,142.2,5601398,USD
2018-11-06,141.53,142.83,141.06,142.57,5798915,USD
2018-11-07,143.1,144.87,142.97,144.75,7173590,USD
2018-11-08,144.31,145.79,144.0,145.3,5497130,USD
2018-11-09,145.04,145.74,144.38,145.34,5343206,USD
2018-11-12,144.99,146.24,144.73,145.62,7013577,USD
2018-11-13,146.19,146.75,143.42,144.68,7432438,USD
2018-11-14,145.02,145.31,143.56,144.25,6433077,USD
2018-11-15,143.41,144.51,142.48,144.5,6658019,USD
2018-11-16,144.71,146.74,144.55,145.99,8494311,USD
2018-11-19,146.43,148.44,146.37,147.73,8714603,USD
2018-11-20,147.5,148.75,146.35,146.45,8937990,USD
2018-11-21,146.23,146.23,140.78,141.99,10275810,USD
2018-11-23,141.85,142.73,141.6,142.23,3404882,USD
2018-11-26,142.0,142.05,140.72,141.37,7590941,USD
2018-11-27,140.57,143.35,139.66,143.22,5962112,USD
2018-11-28,143.83,146.56,143.36,146.44,8411383,USD
2018-11-29,145.62,147.2,144.84,145.85,6900046,USD
2018-11-30,145.34,147.0,145.1,146.9,12517550,USD
2018-12-03,145.57,146.63,144.94,146.21,8826313,USD
2018-12-04,146.32,148.99,145.82,146.03,9803458,USD
2018-12-06,144.5,146.45,142.79,145.91,11572488,USD
2018-12-07,145.49,147.34,144.12,145.43,9444459,USD
2018-12-10,145.39,145.88,142.38,145.26,6848441,USD
2018-12-11,146.29,148.21,145.79,146.5,9857360,USD
2018-12-12,147.0,148.49,147.0,147.1,8869173,USD
2018-12-13,146.96,148.59,146.8,147.84,6008330,USD
2018-12-14,144.34,145.38,130.2,133.0,58140192,USD
2018-12-17,128.32,131.65,126.83,129.14,36933136,USD
2018-12-18,132.05,132.8,129.2,130.42,24640096,USD
2018-12-19,129.87,131.35,127.09,127.61,21232072,USD
2018-12-20,127.72,129.75,126.76,128.27,16609606,USD
2018-12-21,127.8,130.6,127.12,128.09,19732932,USD
2018-12-24,127.3,128.0,121.0,122.84,7531885,USD
2018-12-26,123.42,126.76,122.01,126.71,9253404,USD
2018-12-27,125.87,127.41,123.07,127.41,9918687,USD
2018-12-28,127.91,128.75,126.75,127.27,6537240,USD
2018-12-31,128.18,129.55,127.42,129.05,7409858,USD
2019-01-02,128.13,128.38,126.28,127.75,7631672,USD
2019-01-03,128.13,128.27,125.36,125.72,8654685,USD
2019-01-04,127.12,128.65,126.73,127.83,8831997,USD
2019-01-07,127.63,128.35,126.8,127.01,8404653,USD
2019-01-08,128.18,130.5,127.73,129.96,9351570,USD
2019-01-09,129.83,130.24,128.33,128.93,7403525,USD
2019-01-10,127.69,129.89,127.69,129.71,6224419,USD
2019-01-11,129.0,129.84,128.31,129.75,5300666,USD
2019-01-14,128.74,128.96,127.59,128.28,7374457,USD
2019-01-15,128.52,129.49,127.65,129.36,5194405,USD
2019-01-16,129.41,129.41,127.9,128.04,6264150,USD
2019-01-17,127.71,129.52,127.46,129.09,7631960,USD
2019-01-18,129.9,131.18,129.45,130.69,10592972,USD
2019-01-22,128.2,129.5,127.01,128.8,10568128,USD
2019-01-23,128.5,129.3,127.93,128.8,9267966,USD
2019-01-24,128.49,128.7,125.0,127.03,9917100,USD
2019-01-25,128.13,128.45,127.18,128.23,7585947,USD
2019-01-28,127.81,129.15,127.29,128.99,6927661,USD
2019-01-29,128.95,130.47,128.5,130.33,6669289,USD
2019-01-30,130.37,132.19,130.3,131.64,7299455,USD
2019-01-31,131.63,135.19,130.87,133.08,17298062,USD
2019-02-01,134.02,134.69,133.47,134.2,9575150,USD
2019-02-04,133.96,134.15,132.21,132.88,7759043,USD
2019-02-05,133.52,133.88,132.75,132.88,6449787,USD
2019-02-06,133.08,133.56,132.3,133.0,5066324,USD
2019-02-07,132.45,132.64,131.53,132.05,6085346,USD
2019-02-08,131.95,132.46,131.54,132.4,4436768,USD
2019-02-11,132.31,132.67,131.26,132.0,4962617,USD
2019-02-12,132.08,134.3,132.08,134.16,6262320,USD
2019-02-13,134.07,134.98,133.21,134.45,7902181,USD
2019-02-14,134.3,134.82,133.35,134.31,3910454,USD
2019-02-15,135.19,136.41,135.01,136.38,6665038,USD
2019-02-19,136.14,136.38,135.63,135.69,5935948,USD
2019-02-20,135.97,136.73,135.73,136.35,6089752,USD
2019-02-21,134.98,135.79,134.27,135.42,6665481,USD
2019-02-22,135.29,136.64,134.82,136.6,5223858,USD
2019-02-25,136.35,137.49,135.86,136.2,6846581,USD
2019-02-26,136.44,136.96,136.05,136.11,5106878,USD
2019-02-27,135.52,136.25,135.39,135.87,4378066,USD
2019-02-28,135.95,137.95,135.69,136.64,10133160,USD
2019-03-01,137.22,138.61,137.01,138.35,5641586,USD
2019-03-04,138.85,139.41,137.51,138.48,8378067,USD
2019-03-05,138.81,139.14,138.36,138.77,6568870,USD
2019-03-06,139.47,139.65,138.6,139.09,6236946,USD
2019-03-07,138.53,139.12,137.7,138.24,6100380,USD
2019-03-08,138.09,139.3,136.42,138.06,7046830,USD
2019-03-11,138.11,139.03,137.52,138.56,6150442,USD
2019-03-12,138.65,140.0,138.5,139.18,5553235,USD
2019-03-13,139.59,139.84,139.02,139.41,6446942,USD
2019-03-14,138.34,138.8,137.94,138.02,8493603,USD
2019-03-15,138.0,138.26,136.83,137.6,11922855,USD
2019-03-18,137.65,137.78,136.72,137.17,7369629,USD
2019-03-19,137.61,138.82,137.47,138.44,5882503,USD
2019-03-20,138.33,138.51,136.65,137.29,5475863,USD
2019-03-21,137.0,138.78,136.95,138.1,5765119,USD
2019-03-22,137.75,138.39,136.86,136.91,6528782,USD
2019-03-25,136.91,137.01,135.74,136.61,4500368,USD
2019-03-26,136.93,139.27,136.93,138.57,4758846,USD
2019-03-27,138.59,139.48,138.07,138.7,6764854,USD
2019-03-28,139.06,139.46,138.71,138.88,4602073,USD
2019-03-29,139.28,139.88,138.88,139.79,7168449,USD
2019-04-01,139.99,140.29,138.74,138.98,5885401,USD
2019-04-02,139.01,139.01,136.91,137.71,5517817,USD
2019-04-03,138.2,138.24,136.87,137.17,5947020,USD
2019-04-04,136.87,137.0,135.13,135.57,5844786,USD
2019-04-05,136.04,136.58,135.7,136.18,4759699,USD
2019-04-08,136.05,136.51,135.7,136.14,4330048,USD
2019-04-09,136.0,136.26,134.56,135.57,5210317,USD
2019-04-10,135.89,136.13,135.33,135.58,4194170,USD
2019-04-11,135.96,136.18,134.42,135.21,4485211,USD
2019-04-12,135.22,136.35,134.75,135.98,5756816,USD
2019-04-15,136.0,136.79,135.8,136.52,5380891,USD
2019-04-16,138.32,140.7,137.56,138.02,10745724,USD
2019-04-17,139.0,140.15,137.67,138.52,9543743,USD
2019-04-18,139.35,140.24,135.75,137.52,10485289,USD
2019-04-22,136.98,138.49,136.46,137.83,4666537,USD
2019-04-23,137.42,140.85,137.25,139.9,5790482,USD
2019-04-24,139.65,140.14,138.86,139.2,5676338,USD
2019-04-25,138.52,139.77,137.96,139.65,5218088,USD
2019-04-26,139.88,140.52,139.31,140.39,4613583,USD
2019-04-29,140.35,140.43,139.58,139.84,4275158,USD
2019-04-30,140.19,141.45,138.96,141.2,6003702,USD
2019-05-01,140.95,142.35,139.75,141.95,6656335,USD
2019-05-02,141.91,142.15,140.12,141.28,8835587,USD
2019-05-03,141.29,142.09,141.08,142.01,5281630,USD
2019-05-06,140.25,142.24,139.93,142.09,5818880,USD
2019-05-07,140.82,141.38,139.06,139.97,6606664,USD
2019-05-08,140.2,140.92,139.7,139.79,4667257,USD
2019-05-09,138.95,139.32,137.64,138.73,5604201,USD
2019-05-10,138.43,139.25,136.41,139.05,4771626,USD
2019-05-13,137.85,138.06,136.53,137.2,5560421,USD
2019-05-14,137.04,137.84,136.73,136.82,7179438,USD
2019-05-15,136.9,137.49,135.33,136.91,6429352,USD
2019-05-16,137.39,139.19,136.97,138.21,6857180,USD
2019-05-17,137.0,139.03,136.86,138.61,6915286,USD
2019-05-20,138.61,138.96,137.68,138.42,4771127,USD
2019-05-21,139.12,139.57,138.08,138.12,4859048,USD
2019-05-22,138.35,138.95,137.49,138.76,5456839,USD
2019-05-23,138.5,139.85,137.67,139.79,6951797,USD
2019-05-24,139.5,139.5,138.56,138.85,5473499,USD
2019-05-28,139.0,140.49,137.0,137.07,11919579,USD
2019-05-29,135.89,135.89,128.52,131.33,23247404,USD
2019-05-30,131.44,132.82,131.17,132.11,7361016,USD
2019-05-31,131.52,132.0,129.61,131.15,7810987,USD
2019-06-03,131.5,132.4,131.04,131.44,8434761,USD
2019-06-04,132.6,134.3,132.58,133.73,6649100,USD
2019-06-05,134.7,135.13,133.86,134.38,6860551,USD
2019-06-06,134.9,137.66,134.59,136.68,9115846,USD
2019-06-07,137.59,139.59,137.14,138.55,6533960,USD
2019-06-10,138.6,139.15,137.6,139.02,4994790,USD
2019-06-11,139.68,140.66,139.5,139.78,8230527,USD
2019-06-12,140.3,142.91,140.3,141.68,9216636,USD
2019-06-13,141.72,141.95,140.21,140.71,7500807,USD
2019-06-14,141.23,141.49,140.04,140.09,6548166,USD
2019-06-17,140.0,140.24,139.21,139.44,5562791,USD
2019-06-18,140.56,140.93,139.79,140.23,7122711,USD
2019-06-19,140.01,140.97,139.91,140.45,6393620,USD
2019-06-20,141.25,142.4,141.0,142.21,7335833,USD
2019-06-21,141.46,142.43,141.01,142.09,11272212,USD
2019-06-24,142.42,143.7,142.09,143.06,5894683,USD
2019-06-25,143.27,144.98,143.19,144.24,7517135,USD
2019-06-26,143.85,143.85,140.76,141.85,7674128,USD
2019-06-27,142.23,142.5,140.6,140.69,5233481,USD
2019-06-28,140.74,141.1,138.5,139.28,12792462,USD
2019-07-01,140.2,140.26,138.72,139.36,5875080,USD
2019-07-02,139.22,140.03,138.69,140.03,4501207,USD
2019-07-03,141.0,142.18,140.79,142.14,3436339,USD
2019-07-05,141.74,141.86,140.37,140.57,4652419,USD
2019-07-08,140.12,141.08,139.63,140.97,4078372,USD
2019-07-09,141.46,142.47,140.91,141.41,4217453,USD
2019-07-10,141.78,141.99,140.67,141.21,4874373,USD
2019-07-11,140.94,141.21,139.02,140.11,5817412,USD
2019-07-12,140.12,140.12,132.32,134.3,17780112,USD
2019-07-15,135.39,136.36,134.45,134.71,10038224,USD
2019-07-16,132.93,133.83,131.75,132.5,10214538,USD
2019-07-17,132.49,133.58,131.41,131.86,8862093,USD
2019-07-18,132.13,132.51,131.17,132.07,6203739,USD
2019-07-19,132.25,132.39,130.19,130.31,8340239,USD
2019-07-22,130.0,130.15,127.84,128.64,12625513,USD
2019-07-23,128.61,129.45,128.16,128.84,5803625,USD
2019-07-24,128.88,129.79,128.57,129.78,6838620,USD
2019-07-25,130.06,131.53,129.67,131.12,8897902,USD
2019-07-26,131.3,131.3,130.49,130.73,4894714,USD
2019-07-29,131.0,133.31,130.21,133.02,7831982,USD
2019-07-30,132.47,132.49,131.27,132.08,5509621,USD
2019-07-31,131.64,132.0,130.18,130.22,8559201,USD
2019-08-01,130.26,130.74,129.02,130.29,7870738,USD
2019-08-02,130.86,131.47,129.77,131.07,6574944,USD
2019-08-05,130.91,131.46,129.01,130.16,9480016,USD
2019-08-06,130.34,131.22,129.59,130.77,7880567,USD
2019-08-07,129.36,130.91,128.19,130.21,6771743,USD
2019-08-08,130.98,131.94,130.23,131.68,5260533,USD
2019-08-09,131.8,132.76,131.23,132.04,4677327,USD
2019-08-12,131.5,132.7,131.29,131.93,6852115,USD
2019-08-13,132.3,134.1,132.0,133.42,5101835,USD
2019-08-14,132.53,132.54,130.13,130.26,7736420,USD
2019-08-15,130.17,131.07,129.25,130.54,7251225,USD
2019-08-16,131.47,131.67,130.59,131.36,5858866,USD
2019-08-19,132.5,132.57,131.82,132.25,4958004,USD
2019-08-20,131.96,132.66,130.46,130.6,7302016,USD
2019-08-21,131.7,132.41,130.85,131.53,6914009,USD
2019-08-22,131.6,132.13,130.8,131.27,7213567,USD
2019-08-23,131.07,131.26,127.13,127.73,15714753,USD
2019-08-26,127.42,128.08,126.63,127.8,8916621,USD
2019-08-27,129.88,132.4,129.1,129.64,20186780,USD
2019-08-28,127.86,128.87,127.01,128.68,9885221,USD
2019-08-29,128.84,129.2,126.83,128.24,6750113,USD
2019-08-30,128.27,129.1,127.62,128.36,7371134,USD
2019-09-03,127.99,128.98,127.51,128.74,5710249,USD
2019-09-04,129.49,129.59,128.08,128.86,4821460,USD
2019-09-05,129.9,129.9,128.31,128.58,4754074,USD
2019-09-06,128.88,129.23,128.07,128.21,6758329,USD
2019-09-09,128.0,128.16,126.59,126.95,7684665,USD
2019-09-10,127.34,129.55,126.34,129.55,8239733,USD
2019-09-11,129.86,131.28,129.08,131.17,6203628,USD
2019-09-12,131.36,131.77,130.06,130.43,5250032,USD
2019-09-13,131.33,131.57,129.96,130.78,5369774,USD
2019-09-16,130.11,130.75,129.33,129.54,5101689,USD
2019-09-17,129.6,130.5,129.11,129.67,5002870,USD
2019-09-18,129.9,130.56,128.78,130.41,4450707,USD
2019-09-19,129.63,131.19,129.36,130.11,4857275,USD
2019-09-20,131.0,132.0,130.29,131.65,12335326,USD
2019-09-23,131.02,132.05,130.49,131.74,5422371,USD
2019-09-24,132.1,132.78,131.34,131.55,7131472,USD
2019-09-25,131.5,131.57,130.23,130.99,4569635,USD
2019-09-26,131.09,131.31,128.03,128.85,7706003,USD
2019-09-27,128.61,129.4,126.7,128.6,6006690,USD
2019-09-30,129.07,130.28,129.0,129.38,6825489,USD
2019-10-01,130.02,130.8,129.77,129.99,7706218,USD
2019-10-02,132.76,134.7,131.22,132.0,12088624,USD
2019-10-03,131.64,132.37,130.01,131.19,7413819,USD
2019-10-04,131.34,133.72,131.25,133.66,7240361,USD
2019-10-07,133.09,133.82,132.14,133.16,5437161,USD
2019-10-08,132.45,133.26,131.49,131.84,7926935,USD
2019-10-09,131.14,131.25,128.52,129.22,7854729,USD
2019-10-10,128.95,130.12,128.63,129.06,5265916,USD
2019-10-11,131.14,132.62,130.82,131.33,7187687,USD
2019-10-14,131.36,131.36,130.42,130.72,5851866,USD
2019-10-15,133.0,134.25,132.1,132.84,10048879,USD
2019-10-16,134.9,136.59,133.8,135.17,12463867,USD
2019-10-17,135.96,137.49,135.65,136.17,8612673,USD
2019-10-18,133.31,134.39,127.7,127.7,25879464,USD
2019-10-21,128.67,129.67,127.06,128.02,14107414,USD
2019-10-22,128.76,130.54,128.09,129.2,7625647,USD
2019-10-23,129.66,130.48,129.07,129.9,6722254,USD
2019-10-24,130.42,130.58,126.1,127.5,12146358,USD
2019-10-25,127.83,129.1,127.31,128.35,6947250,USD
2019-10-28,128.62,130.0,128.51,129.18,7876303,USD
2019-10-29,129.7,129.97,128.56,129.12,4506298,USD
2019-10-30,133.3,133.53,131.73,132.84,9627603,USD
2019-10-31,132.38,132.84,130.89,132.04,7686682,USD
2019-11-01,132.05,133.0,131.14,131.2,5541792,USD
2019-11-04,131.8,131.95,130.09,130.23,6140323,USD
2019-11-05,130.53,131.47,129.68,130.42,6257266,USD
2019-11-06,130.42,131.48,129.7,130.96,5450031,USD
2019-11-07,131.73,132.38,131.01,131.43,5874081,USD
2019-11-08,131.3,133.04,130.97,133.0,5003528,USD
2019-11-11,132.27,132.52,131.33,131.98,4371362,USD
2019-11-12,132.0,132.09,131.02,131.35,5229157,USD
2019-11-13,131.04,131.49,130.72,131.27,5921414,USD
2019-11-14,131.03,131.36,130.14,130.96,4217472,USD
2019-11-15,131.25,134.97,130.78,134.94,10495624,USD
2019-11-18,134.22,135.69,132.66,134.83,9293614,USD
