Date,Guggenheim CurrencyShares Japanese Yen_Open_average,Guggenheim CurrencyShares Japanese Yen_Open_max,Guggenheim CurrencyShares Japanese Yen_High_average,Guggenheim CurrencyShares Japanese Yen_High_max,Guggenheim CurrencyShares Japanese Yen_Low_average,Guggenheim CurrencyShares Japanese Yen_Low_max,Guggenheim CurrencyShares Japanese Yen_Close_average,Guggenheim CurrencyShares Japanese Yen_Close_max
2017-09-03,1.2669475396267809,1.2669475396267809,1.2024423391398626,1.2024423391398626,0.9787943936674691,0.9787943936674691,0.9153188673763005,0.9153188673763005
2017-09-10,-0.42938188680509015,-0.42938188680509015,-0.4430990030068043,-0.4430990030068043,-0.39177876226314234,-0.39177876226314234,-0.3508489634201763,-0.3508489634201763
2017-09-17,-0.8410728987925926,-0.8410728987925926,-0.506788269851086,-0.506788269851086,-0.7413342964731798,-0.7413342964731798,-0.4912361920171397,-0.4912361920171397
2017-09-24,-1.083491259429003,-1.083491259429003,-1.181535489281706,-1.181535489281706,-1.1440209135611534,-1.1440209135611534,-1.2369306861020142,-1.2369306861020142
2017-10-01,-1.3536077945053278,-1.3536077945053278,-1.3928591020731,-1.3928591020731,-1.265410513296407,-1.265410513296407,-1.3505676659074477,-1.3505676659074477
2017-10-08,-0.8396121453564555,-0.8396121453564555,-0.8783123288574997,-0.8783123288574997,-1.0045562052746475,-1.0045562052746475,-1.0992418077157606,-1.0992418077157606
2017-10-15,-1.7523202396687059,-1.7523202396687059,-1.6565555931206755,-1.6565555931206755,-1.7060715267082354,-1.7060715267082354,-1.596088631261117,-1.596088631261117
2017-10-22,-1.27972935010529,-1.27972935010529,-1.2593133204083973,-1.2593133204083973,-1.26021114408445,-1.26021114408445,-1.2494241583335457,-1.2494241583335457
2017-10-29,-1.3774193743238976,-1.3774193743238976,-1.3817870483598096,-1.3817870483598096,-1.3608074122767793,-1.3608074122767793,-1.3650877151491858,-1.3650877151491858
2017-11-05,-0.8324156350253027,-0.8324156350253027,-0.9905684648954638,-0.9905684648954638,-0.9386792456102204,-0.9386792456102204,-1.0813783457234787,-1.0813783457234787
2017-11-12,-0.2237223547754487,-0.2237223547754487,-0.3538095581999785,-0.3538095581999785,-0.35598568061633445,-0.35598568061633445,-0.4580492271949805,-0.4580492271949805
2017-11-19,0.7055468765666699,0.7055468765666699,0.6519839728810661,0.6519839728810661,0.7703670059343657,0.7703670059343657,0.7560145107836,0.7560145107836
2017-11-26,-0.4837423614962072,-0.4837423614962072,-0.3408828165357364,-0.3408828165357364,-0.41824175100621197,-0.41824175100621197,-0.24389880735570035,-0.24389880735570035
2017-12-03,-0.7906941139388384,-0.7906941139388384,-0.9814449402121209,-0.9814449402121209,-0.8227610226746499,-0.8227610226746499,-1.0840637240654392,-1.0840637240654392
2017-12-10,0.366655122120163,0.366655122120163,0.1717723223395493,0.1717723223395493,0.3521941864906531,0.3521941864906531,0.11064759953233069,0.11064759953233069
2017-12-17,-0.6311820066213317,-0.6311820066213317,-0.8282739634869013,-0.8282739634869013,-0.5490687588307084,-0.5490687588307084,-0.6737721820165714,-0.6737721820165714
2017-12-24,0.2726148920363471,0.2726148920363471,0.14188263060236675,0.14188263060236675,0.31417650109976253,0.31417650109976253,0.09478646219491373,0.09478646219491373
2017-12-31,-0.1500598540738677,-0.1500598540738677,-0.3845961118048022,-0.3845961118048022,-0.16044406854460203,-0.16044406854460203,-0.36480929989692856,-0.36480929989692856
2018-01-07,1.5567392603740247,1.5567392603740247,1.892993899978116,1.892993899978116,1.687225408833912,1.687225408833912,2.0020368154410875,2.0020368154410875
2018-01-14,1.8058596979466093,1.8058596979466093,1.6787423663326364,1.6787423663326364,1.655738135473974,1.655738135473974,1.6610770948855087,1.6610770948855087
2018-01-21,2.4453450112097928,2.4453450112097928,2.412825819851789,2.412825819851789,2.45218646247508,2.45218646247508,2.414221687079041,2.414221687079041
2018-01-28,1.3615711423007575,1.3615711423007575,1.6636435844505975,1.6636435844505975,1.3659684452175342,1.3659684452175342,1.7236414940853426,1.7236414940853426
2018-02-04,1.7791755544747647,1.7791755544747647,1.7251617912841808,1.7251617912841808,1.9016077338348834,1.9016077338348834,1.7132090753362332,1.7132090753362332
2018-02-11,2.234429266152189,2.234429266152189,2.239580320139326,2.239580320139326,2.333346109722883,2.333346109722883,2.1990229666843737,2.1990229666843737
2018-02-18,1.5438132569912344,1.5438132569912344,1.4900031772171074,1.4900031772171074,1.6136041029155714,1.6136041029155714,1.5243732686090459,1.5243732686090459
2018-02-25,1.6645180999350202,1.6645180999350202,1.5921032079155575,1.5921032079155575,1.5928357870054182,1.5928357870054182,1.5248389913722493,1.5248389913722493
2018-03-04,1.1345154683356764,1.1345154683356764,1.1562771816183923,1.1562771816183923,1.2245797686345197,1.2245797686345197,1.2455150756310727,1.2455150756310727
2018-03-11,1.0944484576806175,1.0944484576806175,1.1555456363083334,1.1555456363083334,1.1682207222506071,1.1682207222506071,1.1236009930395785,1.1236009930395785
2018-03-18,1.2765711867557703,1.2765711867557703,1.2982142462797253,1.2982142462797253,1.2612856637129972,1.2612856637129972,1.2169121893225443,1.2169121893225443
2018-03-25,0.7045918964612422,0.7045918964612422,0.8631324995018826,0.8631324995018826,0.7521101639920517,0.7521101639920517,0.9040622810570976,0.9040622810570976
2018-04-01,0.3153326260936564,0.3153326260936564,0.3262389565275184,0.3262389565275184,0.3333376740701864,0.3333376740701864,0.43699179170039687,0.43699179170039687
2018-04-08,-0.027561265932170103,-0.027561265932170103,-0.05251994014856853,-0.05251994014856853,0.09879183918870153,0.09879183918870153,0.042092003983402036,0.042092003983402036
2018-04-15,-1.0324891801850793,-1.0324891801850793,-1.068295897175829,-1.068295897175829,-1.0392305599503529,-1.0392305599503529,-1.3147104001434744,-1.3147104001434744
2018-04-22,-1.558866857277933,-1.558866857277933,-1.5960695771749644,-1.5960695771749644,-1.4410865975852702,-1.4410865975852702,-1.6254426140300458,-1.6254426140300458
2018-04-29,-1.58896717028252,-1.58896717028252,-1.5410966054630035,-1.5410966054630035,-1.5722464373342355,-1.5722464373342355,-1.458901389846901,-1.458901389846901
2018-05-06,-1.557743081324569,-1.557743081324569,-1.6383379129004645,-1.6383379129004645,-1.6057304754760056,-1.6057304754760056,-1.6880086322908596,-1.6880086322908596
2018-05-13,-1.9516927356278397,-1.9516927356278397,-1.9558551964563111,-1.9558551964563111,-1.9641498485440219,-1.9641498485440219,-1.9236956938821443,-1.9236956938821443
2018-05-20,-0.8176085614028115,-0.8176085614028115,-0.8845782229280964,-0.8845782229280964,-0.8823203623655125,-0.8823203623655125,-0.9447353342076253,-0.9447353342076253
2018-05-27,-0.8533404520311195,-0.8533404520311195,-0.909550090897818,-0.909550090897818,-0.9337642157826538,-0.9337642157826538,-0.9930563122311918,-0.9930563122311918
2018-06-03,-0.8865708077049139,-0.8865708077049139,-0.9312537259410668,-0.9312537259410668,-0.9151434327166531,-0.9151434327166531,-0.9345714588313103,-0.9345714588313103
2018-06-10,-1.0432425888626822,-1.0432425888626822,-1.0266563456188653,-1.0266563456188653,-1.013445198851866,-1.013445198851866,-1.0299951619081622,-1.0299951619081622
2018-06-17,-0.45492564627999676,-0.45492564627999676,-0.4027428637302041,-0.4027428637302041,-0.5979740074938872,-0.5979740074938872,-0.5448308999000013,-0.5448308999000013
2018-06-24,-1.2352978922440354,-1.2352978922440354,-1.168309286553225,-1.168309286553225,-1.129614450957192,-1.129614450957192,-1.1272078855016443,-1.1272078855016443
2018-07-01,-0.8843166249791234,-0.8843166249791234,-1.003012316823923,-1.003012316823923,-1.0411535877883253,-1.0411535877883253,-1.0577257645549407,-1.0577257645549407
2018-07-08,-2.289929768408725,-2.289929768408725,-2.219145170547996,-2.219145170547996,-2.261564106539783,-2.261564106539783,-2.2201637566558152,-2.2201637566558152
2018-07-15,-1.0618883518307873,-1.0618883518307873,-1.182197711587492,-1.182197711587492,-1.1953527156659167,-1.1953527156659167,-1.193606282560531,-1.193606282560531
2018-07-22,-0.733507130077857,-0.733507130077857,-0.7331811315951997,-0.7331811315951997,-0.6447678348281352,-0.6447678348281352,-0.7014946748488322,-0.7014946748488322
2018-07-29,-0.9741150432939051,-0.9741150432939051,-1.012630278890661,-1.012630278890661,-0.9244599287731597,-0.9244599287731597,-0.9950623525292573,-0.9950623525292573
2018-08-05,-0.22175928101323925,-0.22175928101323925,-0.16183379968899744,-0.16183379968899744,-0.2213330163059305,-0.2213330163059305,-0.006106219256264244,-0.006106219256264244
2018-08-12,0.12830986051473828,0.12830986051473828,0.321085598794474,0.321085598794474,0.22879148011926229,0.22879148011926229,0.5788046657170031,0.5788046657170031
2018-08-19,-0.42954657944114566,-0.42954657944114566,-0.5096409081365467,-0.5096409081365467,-0.39449578717427347,-0.39449578717427347,-0.5010160459806212,-0.5010160459806212
2018-08-26,-0.08679723668105047,-0.08679723668105047,-0.19215616082820264,-0.19215616082820264,-0.36742728652809964,-0.36742728652809964,-0.4420521880311497,-0.4420521880311497
2018-09-02,-0.4156842151648493,-0.4156842151648493,-0.5438545551151466,-0.5438545551151466,-0.40965775298090545,-0.40965775298090545,-0.4812107426682459,-0.4812107426682459
2018-09-09,-1.4319394691555163,-1.4319394691555163,-1.28253980437175,-1.28253980437175,-1.418026788337157,-1.418026788337157,-1.273098115211091,-1.273098115211091
2018-09-16,-1.9389602534584487,-1.9389602534584487,-1.946789285146877,-1.946789285146877,-2.116688018268204,-2.116688018268204,-2.15510184177601,-2.15510184177601
2018-09-23,-2.4288783552874254,-2.4288783552874254,-2.474470766975619,-2.474470766975619,-2.4700401427460714,-2.4700401427460714,-2.42874358097814,-2.42874358097814
2018-09-30,-1.388499756849083,-1.388499756849083,-1.2403838094930755,-1.2403838094930755,-1.3903761933848653,-1.3903761933848653,-1.3288182351488314,-1.3288182351488314
2018-10-07,-0.18780133125705728,-0.18780133125705728,-0.18781833115527533,-0.18781833115527533,-0.20564161573767115,-0.20564161573767115,-0.17869896716120426,-0.17869896716120426
2018-10-14,-1.018482449989987,-1.018482449989987,-0.983198919375153,-0.983198919375153,-0.9661588991823604,-0.9661588991823604,-1.0090871254448086,-1.0090871254448086
2018-10-21,-0.5490773225413552,-0.5490773225413552,-0.5068401806909945,-0.5068401806909945,-0.5930810137590108,-0.5930810137590108,-0.553791695672726,-0.553791695672726
2018-10-28,-1.0877063537475142,-1.0877063537475142,-1.1412992070020964,-1.1412992070020964,-1.0622304675518472,-1.0622304675518472,-1.0328031713280361,-1.0328031713280361
2018-11-04,-1.3793190865804257,-1.3793190865804257,-1.3753175716904316,-1.3753175716904316,-1.3527994311554963,-1.3527994311554963,-1.3132652509896983,-1.3132652509896983
2018-11-11,-0.476361039874717,-0.476361039874717,-0.21740013291565766,-0.21740013291565766,-0.39056855620120984,-0.39056855620120984,-0.18017914108075586,-0.18017914108075586
2018-11-18,-0.8485977741876273,-0.8485977741876273,-1.0123510765641894,-1.0123510765641894,-1.0218166100433348,-1.0218166100433348,-1.0654436624011208,-1.0654436624011208
2018-11-25,-0.9044280205861145,-0.9044280205861145,-0.9762936095063658,-0.9762936095063658,-0.9781279083684967,-0.9781279083684967,-1.0240819141570179,-1.0240819141570179
2018-12-02,-0.10607119721486713,-0.10607119721486713,-0.17530602488489155,-0.17530602488489155,-0.394659488914978,-0.394659488914978,-0.50891650019525,-0.50891650019525
2018-12-09,-0.12546693943160311,-0.12546693943160311,0.19721801929878416,0.19721801929878416,0.07975762766198455,0.07975762766198455,0.41111413770465144,0.41111413770465144
2018-12-16,2.5867022539096025,2.5867022539096025,2.5250565856097715,2.5250565856097715,2.5679687801595903,2.5679687801595903,2.5680259012014006,2.5680259012014006
2018-12-23,2.2096632194137222,2.2096632194137222,2.2847909537571676,2.2847909537571676,2.261049026593311,2.261049026593311,2.2952640441022156,2.2952640441022156
2018-12-30,2.3999942510713574,2.3999942510713574,2.3033853891704816,2.3033853891704816,2.293884629760801,2.293884629760801,2.153673289389613,2.153673289389613
2019-01-06,1.8993493159693917,1.8993493159693917,1.8528900795448022,1.8528900795448022,1.9442619450417267,1.9442619450417267,1.8961886047535441,1.8961886047535441
2019-01-13,1.0471094390507516,1.0471094390507516,0.9911364666414592,0.9911364666414592,0.979657848495083,0.979657848495083,0.9314707143403927,0.9314707143403927
2019-01-20,0.9873870568032695,0.9873870568032695,0.9620661359720396,0.9620661359720396,1.0348154433975523,1.0348154433975523,0.9564797610589179,0.9564797610589179
2019-01-27,0.5033703194828467,0.5033703194828467,0.5253330466126898,0.5253330466126898,0.5568331316582988,0.5568331316582988,0.5834539856860931,0.5834539856860931
2019-02-03,0.21851810488675033,0.21851810488675033,0.16605492836512192,0.16605492836512192,0.27585619856040666,0.27585619856040666,0.22192660479709467,0.22192660479709467
2019-02-10,0.1519705463580692,0.1519705463580692,0.07814239311053317,0.07814239311053317,0.14045553372520436,0.14045553372520436,0.10157432055153919,0.10157432055153919
2019-02-17,-0.18295906594746664,-0.18295906594746664,-0.2783589886338012,-0.2783589886338012,-0.35801223142838573,-0.35801223142838573,-0.355426163030358,-0.355426163030358
2019-02-24,-1.077995158489937,-1.077995158489937,-1.0232514717623182,-1.0232514717623182,-1.003629595129981,-1.003629595129981,-0.9543982758142892,-0.9543982758142892
2019-03-03,-0.6858853895799076,-0.6858853895799076,-0.8102443094106996,-0.8102443094106996,-0.7399742133836973,-0.7399742133836973,-0.8672108663518271,-0.8672108663518271
2019-03-10,-1.2890626303090098,-1.2890626303090098,-1.2141018537732424,-1.2141018537732424,-1.2143447043235585,-1.2143447043235585,-1.1485363679135765,-1.1485363679135765
2019-03-17,0.0262009952802916,0.0262009952802916,0.1051770226033719,0.1051770226033719,0.06464957652584491,0.06464957652584491,0.06506571376012071,0.06506571376012071
2019-03-24,-0.6814282258169201,-0.6814282258169201,-0.7825693355003313,-0.7825693355003313,-0.960101569836171,-0.960101569836171,-1.0169026055089734,-1.0169026055089734
2019-03-31,-0.9281239076354114,-0.9281239076354114,-1.0030497462438162,-1.0030497462438162,-0.9058000612466072,-0.9058000612466072,-0.9780238707532645,-0.9780238707532645
2019-04-07,-1.4704495744226873,-1.4704495744226873,-1.548340944171962,-1.548340944171962,-1.345869380419235,-1.345869380419235,-1.4368951693222045,-1.4368951693222045
2019-04-14,-1.2651716955875518,-1.2651716955875518,-1.301049280337189,-1.301049280337189,-1.1022598884066581,-1.1022598884066581,-1.2004661310305962,-1.2004661310305962
2019-04-21,-1.0186454659549755,-1.0186454659549755,-0.9456572501586815,-0.9456572501586815,-0.9403043260515418,-0.9403043260515418,-0.8319741114645924,-0.8319741114645924
2019-04-28,0.30935754701868745,0.30935754701868745,0.2780639991600357,0.2780639991600357,0.4361783721449785,0.4361783721449785,0.32178820196597796,0.32178820196597796
2019-05-05,2.2229884274982368,2.2229884274982368,2.1829100366649996,2.1829100366649996,2.252266697753816,2.252266697753816,2.22057423658405,2.22057423658405
2019-05-12,1.163039199708639,1.163039199708639,1.1780680628269908,1.1780680628269908,1.3175952744110806,1.3175952744110806,1.287401431669815,1.287401431669815
2019-05-19,1.3121113093219916,1.3121113093219916,1.475169598088365,1.475169598088365,1.4670327303314925,1.4670327303314925,1.705975222846435,1.705975222846435
2019-05-26,1.9592776532911078,1.9592776532911078,2.1062093797633743,2.1062093797633743,2.0569952723675544,2.0569952723675544,2.1925679157017477,2.1925679157017477
